"age" "sex" "iso3" "deltas"
"1" 0 "Female" "ALB" -0.0959323952495702
"2" 5 "Female" "ALB" -0.0354757592194328
"3" 10 "Female" "ALB" 0.0340553970125449
"4" 15 "Female" "ALB" 0.116386278468873
"5" 20 "Female" "ALB" 0.209289288605256
"6" 25 "Female" "ALB" 0.30773324570273
"7" 30 "Female" "ALB" 0.403586262301031
"8" 35 "Female" "ALB" 0.486652245998732
"9" 40 "Female" "ALB" 0.551815858334875
"10" 45 "Female" "ALB" 0.59997476560408
"11" 50 "Female" "ALB" 0.629169421942902
"12" 55 "Female" "ALB" 0.631217926941153
"13" 60 "Female" "ALB" 0.595238020209231
"14" 65 "Female" "ALB" 0.503758371918461
"15" 70 "Female" "ALB" 0.340639985915216
"16" 75 "Female" "ALB" 0.10549567162404
"17" 80 "Female" "ALB" -0.195475052603591
"18" 85 "Female" "ALB" -0.734070709300786
"19" 0 "Male" "ALB" -0.0570460517729869
"20" 5 "Male" "ALB" -0.0682029908843307
"21" 10 "Male" "ALB" -0.0687260568162911
"22" 15 "Male" "ALB" -0.0535999026158566
"23" 20 "Male" "ALB" -0.022638538568601
"24" 25 "Male" "ALB" 0.0219354378196827
"25" 30 "Male" "ALB" 0.0735632339769495
"26" 35 "Male" "ALB" 0.122806371943238
"27" 40 "Male" "ALB" 0.167689330909118
"28" 45 "Male" "ALB" 0.215085565183368
"29" 50 "Male" "ALB" 0.270167338115132
"30" 55 "Male" "ALB" 0.333813657863523
"31" 60 "Male" "ALB" 0.399300445324007
"32" 65 "Male" "ALB" 0.43630843239415
"33" 70 "Male" "ALB" 0.412131859932105
"34" 75 "Male" "ALB" 0.308674108543756
"35" 80 "Male" "ALB" 0.115703371064954
"36" 85 "Male" "ALB" -0.297857115401157
"37" 0 "Female" "AND" -0.196116733585137
"38" 5 "Female" "AND" -0.162555173896788
"39" 10 "Female" "AND" -0.129239132937681
"40" 15 "Female" "AND" -0.0963698066114747
"41" 20 "Female" "AND" -0.0642591789847025
"42" 25 "Female" "AND" -0.0332772064691997
"43" 30 "Female" "AND" -0.00393021984489667
"44" 35 "Female" "AND" 0.0231814542413981
"45" 40 "Female" "AND" 0.0475858920918871
"46" 45 "Female" "AND" 0.0689640666749838
"47" 50 "Female" "AND" 0.0869061162155737
"48" 55 "Female" "AND" 0.100808682456983
"49" 60 "Female" "AND" 0.11025759136718
"50" 65 "Female" "AND" 0.115540289275629
"51" 70 "Female" "AND" 0.117210673960901
"52" 75 "Female" "AND" 0.11652980753344
"53" 80 "Female" "AND" 0.114945264792314
"54" 85 "Female" "AND" 0.112259987575799
"55" 0 "Male" "AND" 0.243656929312852
"56" 5 "Male" "AND" 0.205586843647767
"57" 10 "Male" "AND" 0.168142872393473
"58" 15 "Male" "AND" 0.131902661403302
"59" 20 "Male" "AND" 0.0976503155134015
"60" 25 "Male" "AND" 0.0662293628259064
"61" 30 "Male" "AND" 0.038077529379564
"62" 35 "Male" "AND" 0.0133311196230407
"63" 40 "Male" "AND" -0.00815412297830739
"64" 45 "Male" "AND" -0.0268482005759219
"65" 50 "Male" "AND" -0.0436084218974229
"66" 55 "Male" "AND" -0.0600083441766701
"67" 60 "Male" "AND" -0.0776604130724084
"68" 65 "Male" "AND" -0.0980330305666877
"69" 70 "Male" "AND" -0.122198729497432
"70" 75 "Male" "AND" -0.149092569148779
"71" 80 "Male" "AND" -0.176956701670379
"72" 85 "Male" "AND" -0.218796244101026
"73" 0 "Female" "ARM" -0.398923430981899
"74" 5 "Female" "ARM" -0.339076467365619
"75" 10 "Female" "ARM" -0.280564078452534
"76" 15 "Female" "ARM" -0.224897541526942
"77" 20 "Female" "ARM" -0.172015810535001
"78" 25 "Female" "ARM" -0.121032606217059
"79" 30 "Female" "ARM" -0.069092528500291
"80" 35 "Female" "ARM" -0.0120213740793278
"81" 40 "Female" "ARM" 0.0512910873791019
"82" 45 "Female" "ARM" 0.118296713623361
"83" 50 "Female" "ARM" 0.184506758753077
"84" 55 "Female" "ARM" 0.242069819550012
"85" 60 "Female" "ARM" 0.284331606310364
"86" 65 "Female" "ARM" 0.309892824858626
"87" 70 "Female" "ARM" 0.31883243983546
"88" 75 "Female" "ARM" 0.313504447103709
"89" 80 "Female" "ARM" 0.296803338936151
"90" 85 "Female" "ARM" 0.249503128117088
"91" 0 "Male" "ARM" -0.293018817260758
"92" 5 "Male" "ARM" 0.197479973239255
"93" 10 "Male" "ARM" 0.602532367193251
"94" 15 "Male" "ARM" 0.86243813629014
"95" 20 "Male" "ARM" 0.956606099478201
"96" 25 "Male" "ARM" 0.88435067302059
"97" 30 "Male" "ARM" 0.685537470935393
"98" 35 "Male" "ARM" 0.428853548760081
"99" 40 "Male" "ARM" 0.172477516023255
"100" 45 "Male" "ARM" -0.0386706695498535
"101" 50 "Male" "ARM" -0.175996828894191
"102" 55 "Male" "ARM" -0.241151884141745
"103" 60 "Male" "ARM" -0.242857004730492
"104" 65 "Male" "ARM" -0.201764924276041
"105" 70 "Male" "ARM" -0.140798885265757
"106" 75 "Male" "ARM" -0.0817063251572765
"107" 80 "Male" "ARM" -0.0444136331497437
"108" 85 "Male" "ARM" -0.0371433894287848
"109" 0 "Female" "AUS" -0.418727093511602
"110" 5 "Female" "AUS" -0.302500075953985
"111" 10 "Female" "AUS" -0.194544348806124
"112" 15 "Female" "AUS" -0.10208422137907
"113" 20 "Female" "AUS" -0.0302769324698934
"114" 25 "Female" "AUS" 0.0170136827588937
"115" 30 "Female" "AUS" 0.0413431446110593
"116" 35 "Female" "AUS" 0.0482286710219459
"117" 40 "Female" "AUS" 0.045119038800796
"118" 45 "Female" "AUS" 0.0416417749458811
"119" 50 "Female" "AUS" 0.048294727999045
"120" 55 "Female" "AUS" 0.0770224724035152
"121" 60 "Female" "AUS" 0.132404218340173
"122" 65 "Female" "AUS" 0.194024288233808
"123" 70 "Female" "AUS" 0.239755175740571
"124" 75 "Female" "AUS" 0.267711658651072
"125" 80 "Female" "AUS" 0.283309849783367
"126" 85 "Female" "AUS" 0.294751045270651
"127" 0 "Male" "AUS" -0.641422927882176
"128" 5 "Male" "AUS" -0.457841272970251
"129" 10 "Male" "AUS" -0.290631876390413
"130" 15 "Male" "AUS" -0.152526636726788
"131" 20 "Male" "AUS" -0.0514587527447052
"132" 25 "Male" "AUS" 0.0074152230149919
"133" 30 "Male" "AUS" 0.0284517529554993
"134" 35 "Male" "AUS" 0.0229263067276056
"135" 40 "Male" "AUS" 0.00444091183849227
"136" 45 "Male" "AUS" -0.0108043330596281
"137" 50 "Male" "AUS" -0.00198043437456579
"138" 55 "Male" "AUS" 0.0604423398796484
"139" 60 "Male" "AUS" 0.18757083676042
"140" 65 "Male" "AUS" 0.326054768710682
"141" 70 "Male" "AUS" 0.418873972988467
"142" 75 "Male" "AUS" 0.465557612328156
"143" 80 "Male" "AUS" 0.485706831899807
"144" 85 "Male" "AUS" 0.498949014315112
"145" 0 "Female" "AUT" -0.0762089224236022
"146" 5 "Female" "AUT" -0.0562193641773614
"147" 10 "Female" "AUT" -0.03740014147225
"148" 15 "Female" "AUT" -0.0215221014477775
"149" 20 "Female" "AUT" -0.00938222713093551
"150" 25 "Female" "AUT" -0.00139159058541729
"151" 30 "Female" "AUT" 0.00155836548505136
"152" 35 "Female" "AUT" -0.00167888174898639
"153" 40 "Female" "AUT" -0.00935169477038728
"154" 45 "Female" "AUT" -0.0163004628065674
"155" 50 "Female" "AUT" -0.018751173493289
"156" 55 "Female" "AUT" -0.0160018812628511
"157" 60 "Female" "AUT" -0.00727265085558823
"158" 65 "Female" "AUT" 0.00964663833312137
"159" 70 "Female" "AUT" 0.0357282599019868
"160" 75 "Female" "AUT" 0.0629856586288641
"161" 80 "Female" "AUT" 0.0810305548658136
"162" 85 "Female" "AUT" 0.0896617293409677
"163" 0 "Male" "AUT" -0.149029123280587
"164" 5 "Male" "AUT" -0.13540372973277
"165" 10 "Male" "AUT" -0.120436436427936
"166" 15 "Male" "AUT" -0.104283941755219
"167" 20 "Male" "AUT" -0.0858419419806434
"168" 25 "Male" "AUT" -0.0635885465965624
"169" 30 "Male" "AUT" -0.037738564684642
"170" 35 "Male" "AUT" -0.00978732956014407
"171" 40 "Male" "AUT" 0.0178816874938162
"172" 45 "Male" "AUT" 0.0418748234842915
"173" 50 "Male" "AUT" 0.059084578393632
"174" 55 "Male" "AUT" 0.0670727398520344
"175" 60 "Male" "AUT" 0.0667216417726654
"176" 65 "Male" "AUT" 0.0696782400346849
"177" 70 "Male" "AUT" 0.0867445690541107
"178" 75 "Male" "AUT" 0.110765599360069
"179" 80 "Male" "AUT" 0.12879811396995
"180" 85 "Male" "AUT" 0.134535547099368
"181" 0 "Female" "BEL" 0.0486549918302951
"182" 5 "Female" "BEL" 0.0256794509825168
"183" 10 "Female" "BEL" 0.00375792751652867
