"age" "sex" "cluster" "delta.hat" "delta.hatU" "delta.hatL"
"1" 0 "Female" "1" -0.0871088767765824 -0.0385501513846491 -0.135667602168516
"2" 5 "Female" "1" -0.0380365128285904 -0.000279867217387902 -0.0757931584397928
"3" 10 "Female" "1" 0.00528057823380992 0.0357285844281501 -0.0251674279605303
"4" 15 "Female" "1" 0.0384213932390803 0.0653754014987032 0.0114673849794575
"5" 20 "Female" "1" 0.0595137490168403 0.0851140391286157 0.0339134589050649
"6" 25 "Female" "1" 0.0679835061367057 0.0918757505390927 0.0440912617343188
"7" 30 "Female" "1" 0.0659095629631086 0.0873894619018427 0.0444296640243745
"8" 35 "Female" "1" 0.0572501535112948 0.0770649541982166 0.0374353528243729
"9" 40 "Female" "1" 0.0450776591090064 0.0646663124248421 0.0254890057931707
"10" 45 "Female" "1" 0.0313767511590566 0.050812312059034 0.0119411902590793
"11" 50 "Female" "1" 0.0186527484349142 0.0370619856273703 0.000243511242458014
"12" 55 "Female" "1" 0.0105434037829344 0.0284848053026046 -0.00739799773673588
"13" 60 "Female" "1" 0.0085964685441109 0.0273503345033133 -0.0101573974150915
"14" 65 "Female" "1" 0.0069918647588086 0.0269463700626799 -0.0129626405450627
"15" 70 "Female" "1" 4.4197180378985e-05 0.0202140801127082 -0.0201256857519502
"16" 75 "Female" "1" -0.00823184435064365 0.0119090051852704 -0.0283726938865577
"17" 80 "Female" "1" -0.0104754332915563 0.00983443008576763 -0.0307852966688803
"18" 85 "Female" "1" 0.00935330244712579 0.029838766399219 -0.0111321615049675
"19" 0 "Male" "1" -0.0881189754957917 -0.0454943554903005 -0.130743595501283
"20" 5 "Male" "1" -0.0431899697816867 -0.0114823665663018 -0.0748975729970717
"21" 10 "Male" "1" -0.00281465593319522 0.0221179903407481 -0.0277473022071386
"22" 15 "Male" "1" 0.0289468579111444 0.0509099244763301 0.0069837913459587
"23" 20 "Male" "1" 0.0501641454332704 0.0712840034024687 0.0290442874640722
"24" 25 "Male" "1" 0.0599979660455655 0.0806631354254336 0.0393327966656973
"25" 30 "Male" "1" 0.0599154085466711 0.079941597319994 0.0398892197733482
"26" 35 "Male" "1" 0.0530196541472231 0.0719973600363484 0.0340419482580978
"27" 40 "Male" "1" 0.041714540351024 0.058949972879572 0.024479107822476
"28" 45 "Male" "1" 0.0275503992864995 0.0416794799334882 0.0134213186395108
"29" 50 "Male" "1" 0.0135968398227758 0.0221378098297226 0.00505586981582892
"30" 55 "Male" "1" 0.00596998781721629 0.0267617112896037 -0.0148217356551711
"31" 60 "Male" "1" 0.00783508393640446 0.0286268074087919 -0.012956639535983
"32" 65 "Male" "1" 0.0114027156916023 0.0321944391639897 -0.0093890077807851
"33" 70 "Male" "1" 0.00830237244510294 0.0290940959174904 -0.0124893510272845
"34" 75 "Male" "1" 2.30511625809171e-05 0.0208147746349683 -0.0207686723098065
"35" 80 "Male" "1" -0.00790271737727263 0.0128890060951148 -0.0286944408496601
"36" 85 "Male" "1" 0.0051637925470365 0.0127421329616824 -0.00241454786760935
"37" 0 "Female" "2" -0.178365188302955 -0.161968781852714 -0.194761594753197
"38" 5 "Female" "2" -0.111788195330521 -0.097718554011027 -0.125857836650014
"39" 10 "Female" "2" -0.0472180135759838 -0.0319596634437433 -0.0624763637082244
"40" 15 "Female" "2" 0.0103405890825554 0.0264502273050069 -0.00576904913989607
"41" 20 "Female" "2" 0.0553320632536645 0.0711797482844143 0.0394843782229146
"42" 25 "Female" "2" 0.082380857306175 0.0975748757042738 0.0671868389080763
"43" 30 "Female" "2" 0.0917898056055689 0.107085027703216 0.076494583507922
"44" 35 "Female" "2" 0.0879620901274909 0.104043982114007 0.0718801981409749
"45" 40 "Female" "2" 0.07562229847104 0.0920083397447902 0.0592362571972899
"46" 45 "Female" "2" 0.0597866630446088 0.0742294611345533 0.0453438649546642
"47" 50 "Female" "2" 0.0478628129819267 0.0566223660301587 0.0391032599336948
"48" 55 "Female" "2" 0.0518709288374679 0.0555270868744952 0.0482147708004405
"49" 60 "Female" "2" 0.076536892558204 0.0862700202945224 0.0668037648218856
"50" 65 "Female" "2" 0.100620429712067 0.115931864925974 0.0853089944981593
"51" 70 "Female" "2" 0.102129340984148 0.119692521715441 0.0845661602528559
"52" 75 "Female" "2" 0.0860942529004299 0.103785898773192 0.068402607027668
"53" 80 "Female" "2" 0.0665187646422208 0.0830440622352319 0.0499934670492097
"54" 85 "Female" "2" 0.0404510324314922 0.0497362457323385 0.0311658191306459
"55" 0 "Male" "2" -0.191994849948562 -0.175320432400632 -0.208669267496492
"56" 5 "Male" "2" -0.108945018344497 -0.093104826118026 -0.124785210570968
"57" 10 "Male" "2" -0.033903760578452 -0.0138353899554094 -0.0539721312014946
"58" 15 "Male" "2" 0.0237451215427269 0.0463863760631655 0.00110386702228827
"59" 20 "Male" "2" 0.0611651282145029 0.0837619973248543 0.0385682591041515
"60" 25 "Male" "2" 0.0788028748333346 0.0984816646768069 0.0591240849898624
"61" 30 "Male" "2" 0.0832242848130251 0.0983424250661405 0.0681061445599097
"62" 35 "Male" "2" 0.08510082864401 0.0977838519199481 0.0724178053680719
"63" 40 "Male" "2" 0.0858736656237711 0.09982733083223 0.0719200004153122
"64" 45 "Male" "2" 0.0760881492611644 0.0907954111384674 0.0613808873838614
"65" 50 "Male" "2" 0.0560040749637321 0.0687910306519607 0.0432171192755035
"66" 55 "Male" "2" 0.0459697212528121 0.057574147433953 0.0343652950716712
"67" 60 "Male" "2" 0.0599896973877997 0.073635914948268 0.0463434798273314
"68" 65 "Male" "2" 0.0833563963388799 0.0996187594232805 0.0670940332544794
"69" 70 "Male" "2" 0.0979917988564108 0.115006886964077 0.080976710748745
"70" 75 "Male" "2" 0.100871839363628 0.117439924929263 0.0843037537979938
"71" 80 "Male" "2" 0.0943235104535188 0.110226539493922 0.0784204814131155
"72" 85 "Male" "2" 0.0694202942863375 0.0854406214242144 0.0533999671484605
"73" 0 "Female" "3" -0.289844889809006 -0.275677049702521 -0.304012729915492
"74" 5 "Female" "3" -0.174761009674626 -0.162247475745692 -0.18727454360356
"75" 10 "Female" "3" -0.0726376146060167 -0.0575498156789311 -0.0877254135331023
"76" 15 "Female" "3" 0.00727942295692633 0.0242094175106593 -0.00965057159680666
"77" 20 "Female" "3" 0.0625429630557904 0.0799263970688102 0.0451595290427706
"78" 25 "Female" "3" 0.0939820551677467 0.110859322557358 0.0771047877781357
"79" 30 "Female" "3" 0.106974382955183 0.123513816121845 0.0904349497885207
"80" 35 "Female" "3" 0.110123905345331 0.127215698913805 0.0930321117768575
"81" 40 "Female" "3" 0.110741784469891 0.128982830654524 0.0925007382852579
"82" 45 "Female" "3" 0.114515506740144 0.133698653300291 0.0953323601799976
"83" 50 "Female" "3" 0.125022279373888 0.144228652275403 0.105815906472373
"84" 55 "Female" "3" 0.141919354247215 0.160360909240228 0.123477799254201
"85" 60 "Female" "3" 0.161938276319796 0.178493408589934 0.145383144049657
"86" 65 "Female" "3" 0.173595774969928 0.18793730535329 0.159254244586566
"87" 70 "Female" "3" 0.166392412551461 0.178712112554811 0.154072712548111
"88" 75 "Female" "3" 0.145512259268918 0.157427327033542 0.133597191504294
"89" 80 "Female" "3" 0.121084139816034 0.134360997206388 0.10780728242568
"90" 85 "Female" "3" 0.0811875162727675 0.097461591062501 0.0649134414830339
"91" 0 "Male" "3" -0.299040509024626 -0.288058328602709 -0.310022689446543
"92" 5 "Male" "3" -0.197315212452136 -0.186333032030219 -0.208297392874052
"93" 10 "Male" "3" -0.109001492810409 -0.0980193123884921 -0.119983673232326
"94" 15 "Male" "3" -0.0407671133415723 -0.0297849329196556 -0.0517492937634891
"95" 20 "Male" "3" 0.00914388003709843 0.0201260604590152 -0.00183830038481835
"96" 25 "Male" "3" 0.0459815226187818 0.0569637030406986 0.034999342196865
"97" 30 "Male" "3" 0.0729590567358317 0.0839412371577484 0.0619768763139149
"98" 35 "Male" "3" 0.0918240835117701 0.102806263933687 0.0808419030898534
"99" 40 "Male" "3" 0.104692791524638 0.115674971946554 0.0937106111027207
"100" 45 "Male" "3" 0.114157458656049 0.125139639077965 0.103175278234132
"101" 50 "Male" "3" 0.123288135629634 0.134270316051551 0.112305955207718
"102" 55 "Male" "3" 0.136029590535135 0.147011770957052 0.125047410113218
"103" 60 "Male" "3" 0.153651067914593 0.164734964418802 0.142567171410384
"104" 65 "Male" "3" 0.168209090979708 0.181808314693724 0.154609867265691
"105" 70 "Male" "3" 0.171475249356716 0.179738670404241 0.163211828309191
"106" 75 "Male" "3" 0.164702752070339 0.175684932492256 0.153720571648422
"107" 80 "Male" "3" 0.152294161475277 0.163276341897194 0.14131198105336
"108" 85 "Male" "3" 0.125506200663529 0.136488381085446 0.114524020241612
"109" 0 "Female" "4" -0.137692700773247 -0.107031407078897 -0.168353994467598
"110" 5 "Female" "4" -0.0995050619560133 -0.0746032689805794 -0.124406854931447
"111" 10 "Female" "4" -0.063142931934772 -0.0408586120662037 -0.0854272518033402
"112" 15 "Female" "4" -0.0316073518076279 -0.0103166467476494 -0.0528980568676063
"113" 20 "Female" "4" -0.00657470893543396 0.0137252989302312 -0.0268747168010991
