Country,iso3,sex,age,Nx,Dxhat_WM,Dxhat_spinoff,Dx_observed
Afghanistan,AFG,Female,0,2765103,29382.5883729223,39564.89754796983,NA
Afghanistan,AFG,Female,5,2641593,1050.72837836256,3512.4890132416713,NA
Afghanistan,AFG,Female,10,2540450,851.209397639969,2718.0676211098203,NA
Afghanistan,AFG,Female,15,2251504,2661.87481681943,3831.7183975242933,NA
Afghanistan,AFG,Female,20,1909206,3543.25249468893,4475.966848498903,NA
Afghanistan,AFG,Female,25,1498590,3779.23922985447,4145.996089162183,NA
Afghanistan,AFG,Female,30,1179138,4052.26444721184,3957.9993160705217,NA
Afghanistan,AFG,Female,35,988220,5084.97490793323,4156.650904978881,NA
Afghanistan,AFG,Female,40,790703,6112.60925553093,4341.711022937965,NA
Afghanistan,AFG,Female,45,627510,7220.35770738108,4835.406320474693,NA
Afghanistan,AFG,Female,50,503171,8817.12650296482,5704.159293067865,NA
Afghanistan,AFG,Female,55,396460,10304.4464564036,6674.4025529563105,NA
Afghanistan,AFG,Female,60,307557,11567.1520623651,8151.049968998623,NA
Afghanistan,AFG,Female,65,229221,12164.7077927057,9842.837644676656,NA
Afghanistan,AFG,Female,70,172197,13375.4460486305,11926.86978470736,NA
Afghanistan,AFG,Female,75,91107,10011.7839943372,10005.843506636236,NA
Afghanistan,AFG,Female,80,42490,7118.59977979728,7922.88918030423,NA
Afghanistan,AFG,Female,85,17856,5085.83967839049,4385.389487506122,NA
Afghanistan,AFG,Male,0,2907406,35571.0602613777,38785.83357635294,NA
Afghanistan,AFG,Male,5,2774630,1149.22471257276,3319.9926455599634,NA
Afghanistan,AFG,Male,10,2651664,955.370020413436,2452.517208800511,NA
Afghanistan,AFG,Male,15,2377941,3342.40485127459,3689.9697712388524,NA
Afghanistan,AFG,Male,20,2017279,4466.0584369073,4547.784698571819,NA
Afghanistan,AFG,Male,25,1610796,4148.16881012797,3855.375337101117,NA
Afghanistan,AFG,Male,30,1299121,4200.53242653737,3640.3158494855343,NA
Afghanistan,AFG,Male,35,1068167,4715.74229460837,3979.0683119457476,NA
Afghanistan,AFG,Male,40,868020,5899.33188292801,4641.49200442723,NA
Afghanistan,AFG,Male,45,677226,6709.58067428155,5481.272799868486,NA
Afghanistan,AFG,Male,50,529188,8166.61610729108,6663.9448941159135,NA
Afghanistan,AFG,Male,55,411379,9462.56160740207,8072.721543284182,NA
Afghanistan,AFG,Male,60,305081,10952.2388401216,9284.938752779104,NA
Afghanistan,AFG,Male,65,215637,11211.2448863505,10197.20141819388,NA
Afghanistan,AFG,Male,70,140254,10608.1934088163,10446.312735407946,NA
Afghanistan,AFG,Male,75,76897,8313.6707175333,9084.202899395563,NA
Afghanistan,AFG,Male,80,33115,5470.88917787816,6320.571577128512,NA
Afghanistan,AFG,Male,85,12464,3703.99666760496,3225.9970688914286,NA
Angola,AGO,Female,0,2871490,38723.2022223824,38416.970698553785,NA
Angola,AGO,Female,5,2535920,4630.09378651383,3666.8195301338055,NA
Angola,AGO,Female,10,2182666,2143.65611582595,2330.1263379378156,NA
Angola,AGO,Female,15,1780690,1833.40530405221,2973.190065753771,NA
Angola,AGO,Female,20,1458325,2522.79572452714,3193.0311501695005,NA
Angola,AGO,Female,25,1231078,3399.85019408048,3250.7909183843144,NA
Angola,AGO,Female,30,1041425,4230.07350576535,3329.5897380452598,NA
Angola,AGO,Female,35,850121,4477.47512879245,3477.2747419471893,NA
Angola,AGO,Female,40,684932,4705.00616946038,3674.070866944169,NA
Angola,AGO,Female,45,561290,4853.30237958797,3991.18653948078,NA
Angola,AGO,Female,50,410848,4825.58004369875,4187.019982333194,NA
Angola,AGO,Female,55,344802,5544.18117960346,5126.53411682839,NA
Angola,AGO,Female,60,252683,5875.68251823625,5683.68970402319,NA
Angola,AGO,Female,65,158692,5371.22548443294,5777.509497314758,NA
