Country,iso3,sex,age,Nx,deaths
Afghanistan,AFG,Female,0,2747452,32673.000001
Afghanistan,AFG,Female,5,2636519,1195.000001
Afghanistan,AFG,Female,10,2501560,880.000001
Afghanistan,AFG,Female,15,2197654,2594.000001
Afghanistan,AFG,Female,20,1843985,3303.000001
Afghanistan,AFG,Female,25,1433056,3465.000001
Afghanistan,AFG,Female,30,1138037,3588.000001
Afghanistan,AFG,Female,35,954327,4472.000001
Afghanistan,AFG,Female,40,758533,5245.000001
Afghanistan,AFG,Female,45,603870,6103.000001
Afghanistan,AFG,Female,50,485051,7201.000001
Afghanistan,AFG,Female,55,382185,8387.000001
Afghanistan,AFG,Female,60,296241,9273.000001
Afghanistan,AFG,Female,65,223557,9878.000001
Afghanistan,AFG,Female,70,165093,10897.000001
Afghanistan,AFG,Female,75,85284,8380.000001
Afghanistan,AFG,Female,80,41195,5960.000001
Afghanistan,AFG,Female,85,18431,4366.000001
Afghanistan,AFG,Male,0,2891330,38888.000001
Afghanistan,AFG,Male,5,2765393,1297.000001
Afghanistan,AFG,Male,10,2614937,1011.000001
Afghanistan,AFG,Male,15,2321520,3384.000001
Afghanistan,AFG,Male,20,1950650,4326.000001
Afghanistan,AFG,Male,25,1551332,3955.000001
Afghanistan,AFG,Male,30,1255855,3849.000001
Afghanistan,AFG,Male,35,1033269,4217.000001
Afghanistan,AFG,Male,40,834402,5082.000001
Afghanistan,AFG,Male,45,649695,5738.000001
Afghanistan,AFG,Male,50,510215,6840.000001
Afghanistan,AFG,Male,55,396317,7833.000001
Afghanistan,AFG,Male,60,293294,8815.000001
Afghanistan,AFG,Male,65,207687,9046.000001
Afghanistan,AFG,Male,70,134696,8510.000001
Afghanistan,AFG,Male,75,73674,6720.000001
Afghanistan,AFG,Male,80,32215,4356.000001
Afghanistan,AFG,Male,85,13246,3081.000001
AFRO,AFRO,Female,0,83900420,1231703.000047
AFRO,AFRO,Female,5,75384182,142067.000047
AFRO,AFRO,Female,10,66249782,75860.000047
AFRO,AFRO,Female,15,57061421,58586.000047
AFRO,AFRO,Female,20,49148142,71153.000047
AFRO,AFRO,Female,25,42523254,86511.000047
AFRO,AFRO,Female,30,36781241,102687.000047
AFRO,AFRO,Female,35,31081026,116240.000047
AFRO,AFRO,Female,40,25219044,124577.000047
AFRO,AFRO,Female,45,20373907,132160.000047
AFRO,AFRO,Female,50,16395370,144160.000047
AFRO,AFRO,Female,55,13259531,159973.000047
AFRO,AFRO,Female,60,10417876,186222.000047
AFRO,AFRO,Female,65,7779904,203788.000047
AFRO,AFRO,Female,70,5370801,224466.000047
AFRO,AFRO,Female,75,3326652,215754.000047
AFRO,AFRO,Female,80,1676647,173456.000047
AFRO,AFRO,Female,85,801302,162467.000047
AFRO,AFRO,Male,0,86337139,1476170.000047
AFRO,AFRO,Male,5,77306316,154429.000047
AFRO,AFRO,Male,10,67671983,101791.000047
AFRO,AFRO,Male,15,57984344,85389.000047
AFRO,AFRO,Male,20,49606903,101918.000047
AFRO,AFRO,Male,25,42594885,108084.000047
AFRO,AFRO,Male,30,36495812,121994.000047
AFRO,AFRO,Male,35,30549333,140762.000047
AFRO,AFRO,Male,40,24726445,161922.000047
AFRO,AFRO,Male,45,19752781,175007.000047
AFRO,AFRO,Male,50,15472441,194038.000047
AFRO,AFRO,Male,55,12178746,214085.000047
AFRO,AFRO,Male,60,9209773,237620.000047
AFRO,AFRO,Male,65,6635325,243572.000047
AFRO,AFRO,Male,70,4312958,236165.000047
AFRO,AFRO,Male,75,2498076,198864.000047
AFRO,AFRO,Male,80,1159526,137220.000047
AFRO,AFRO,Male,85,515568,116791.000047
Angola,AGO,Female,0,2809147,41677.000001
Angola,AGO,Female,5,2476123,4966.000001
Angola,AGO,Female,10,2106256,2162.000001
Angola,AGO,Female,15,1710550,1741.000001
Angola,AGO,Female,20,1409338,2291.000001
Angola,AGO,Female,25,1194956,3033.000001
Angola,AGO,Female,30,1006461,3700.000001
Angola,AGO,Female,35,817417,3837.000001
Angola,AGO,Female,40,661568,3922.000001
Angola,AGO,Female,45,535168,3952.000001
Angola,AGO,Female,50,395296,3824.000001
Angola,AGO,Female,55,333667,4294.000001
Angola,AGO,Female,60,237032,4465.000001
Angola,AGO,Female,65,151541,4123.000001
Angola,AGO,Female,70,114487,4941.000001
Angola,AGO,Female,75,67707,4463.000001
Angola,AGO,Female,80,37802,3980.000001
Angola,AGO,Female,85,16004,2916.000001
Angola,AGO,Male,0,2861324,50234.000001
Angola,AGO,Male,5,2499254,5375.000001
Angola,AGO,Male,10,2085500,3049.000001
Angola,AGO,Male,15,1681692,2641.000001
Angola,AGO,Male,20,1376245,3124.000001
Angola,AGO,Male,25,1157224,3057.000001
Angola,AGO,Male,30,965615,3427.000001
Angola,AGO,Male,35,777938,3922.000001
Angola,AGO,Male,40,623694,4573.000001
Angola,AGO,Male,45,496518,5007.000001
Angola,AGO,Male,50,366921,5342.000001
Angola,AGO,Male,55,323988,6659.000001
Angola,AGO,Male,60,216455,6654.000001
Angola,AGO,Male,65,139673,6065.000001
Angola,AGO,Male,70,92588,5925.000001
Angola,AGO,Male,75,48430,4390.000001
Angola,AGO,Male,80,22181,3000.000001
Angola,AGO,Male,85,9539,2091.000001
Albania,ALB,Female,0,81021,143.000001
Albania,ALB,Female,5,78089,16.000001
Albania,ALB,Female,10,77471,12.000001
Albania,ALB,Female,15,98105,46.000001
Albania,ALB,Female,20,114343,17.000001
Albania,ALB,Female,25,115008,29.000001
Albania,ALB,Female,30,97383,12.000001
Albania,ALB,Female,35,74741,21.000001
Albania,ALB,Female,40,79433,40.000001
Albania,ALB,Female,45,92427,85.000001
Albania,ALB,Female,50,97630,162.000001
Albania,ALB,Female,55,103515,279.000001
Albania,ALB,Female,60,92239,269.000001
Albania,ALB,Female,65,70372,373.000001
Albania,ALB,Female,70,54171,953.000001
Albania,ALB,Female,75,43854,1771.000001
Albania,ALB,Female,80,26906,3177.000001
Albania,ALB,Female,85,17420,8996.000001
Albania,ALB,Male,0,88032,184.000001
Albania,ALB,Male,5,86778,15.000001
Albania,ALB,Male,10,89882,23.000001
Albania,ALB,Male,15,109849,53.000001
Albania,ALB,Male,20,121178,85.000001
Albania,ALB,Male,25,131317,79.000001
Albania,ALB,Male,30,118634,58.000001
Albania,ALB,Male,35,86592,81.000001
Albania,ALB,Male,40,76185,172.000001
Albania,ALB,Male,45,82374,237.000001
Albania,ALB,Male,50,91430,457.000001
Albania,ALB,Male,55,99554,626.000001
Albania,ALB,Male,60,88545,1121.000001
