Country,iso3,sex,age,Nx,deaths
Albania,ALB,Female,0,79714,137.956021989006
Albania,ALB,Female,5,79822,5.91240094238595
Albania,ALB,Female,10,75224,10.8394017277076
Albania,ALB,Female,15,93379,11.8248018847719
Albania,ALB,Female,20,110982,16.7518026700935
Albania,ALB,Female,25,115006,26.6058042407368
Albania,ALB,Female,30,101291,45.3284072249589
Albania,ALB,Female,35,76191,55.1824087956022
Albania,ALB,Female,40,76614,76.8612122510174
Albania,ALB,Female,45,90245,130.072820732491
Albania,ALB,Female,50,95681,222.700435496538
Albania,ALB,Female,55,103252,358.685657171414
Albania,ALB,Female,60,95295,589.269293924467
Albania,ALB,Female,65,73946,767.626722353109
Albania,ALB,Female,70,55690,1141.09338188049
Albania,ALB,Female,75,45107,1900.83690297708
Albania,ALB,Female,80,28149,2645.79942171771
Albania,ALB,Female,85,17498,3956.38163061326
Albania,ALB,Male,0,86564,171.459627329193
Albania,ALB,Male,5,87732,9.85400157064325
Albania,ALB,Male,10,86957,13.7956021989005
Albania,ALB,Male,15,106218,28.5766045548654
Albania,ALB,Male,20,117374,51.2408081673449
Albania,ALB,Male,25,129317,59.1240094238595
Albania,ALB,Male,30,122633,89.6714142928536
Albania,ALB,Male,35,90658,129.087420575427
Albania,ALB,Male,40,75896,171.459627329193
Albania,ALB,Male,45,80264,261.131041622046
Albania,ALB,Male,50,88504,437.51766973656
Albania,ALB,Male,55,98654,872.079139001928
Albania,ALB,Male,60,91164,1235.69179695866
Albania,ALB,Male,65,69837,1552.00524737631
Albania,ALB,Male,70,52442,1844.66909402442
Albania,ALB,Male,75,41429,2596.5294138645
Albania,ALB,Male,80,25727,3001.52887841793
Albania,ALB,Male,85,13344,2979.85007496252
Andorra,AND,Female,0,1401,0.001401
Andorra,AND,Female,5,1616,0.001616
Andorra,AND,Female,10,2021,0.002021
Andorra,AND,Female,15,1877,0.001877
Andorra,AND,Female,20,1862,0.001862
Andorra,AND,Female,25,1679,0.001679
Andorra,AND,Female,30,2055,0.002055
Andorra,AND,Female,35,2929,1.99049881235154
Andorra,AND,Female,40,3473,1.99049881235154
Andorra,AND,Female,45,3678,2.98574821852731
Andorra,AND,Female,50,3372,1.99049881235154
Andorra,AND,Female,55,3105,7.96199524940618
Andorra,AND,Female,60,2478,11.9429928741093
Andorra,AND,Female,65,1853,8.95724465558195
Andorra,AND,Female,70,1524,12.938242280285
Andorra,AND,Female,75,1147,13.9334916864608
Andorra,AND,Female,80,826,17.9144893111639
Andorra,AND,Female,85,1143,80.6152019002376
Andorra,AND,Male,0,1487,0.995249406175772
Andorra,AND,Male,5,1614,1.99049881235154
Andorra,AND,Male,10,2078,0.002078
Andorra,AND,Male,15,2067,0.995249406175772
Andorra,AND,Male,20,2070,0.995249406175772
Andorra,AND,Male,25,1912,0.001912
Andorra,AND,Male,30,2108,0.002108
Andorra,AND,Male,35,2848,2.98574821852732
Andorra,AND,Male,40,3493,6.9667458432304
Andorra,AND,Male,45,3812,3.98099762470309
Andorra,AND,Male,50,3584,10.9477434679335
Andorra,AND,Male,55,3348,14.9287410926366
Andorra,AND,Male,60,2662,22.8907363420428
Andorra,AND,Male,65,1989,32.8432304038005
Andorra,AND,Male,70,1584,27.8669833729216
Andorra,AND,Male,75,1135,32.8432304038005
Andorra,AND,Male,80,671,22.8907363420428
Andorra,AND,Male,85,764,71.6579572446556
Armenia,ARM,Female,0,97104,133.624452648751
Armenia,ARM,Female,5,100229,10.1230645946023
