"","Country","iso3","WHO_region","Cluster","Yhat","Female","Male"
"1","Afghanistan","AFG","EMRO",3,281231.087107966,142184.201323939,139046.885784027
"2","Angola","AGO","AFRO",3,247948.449433551,113580.919976917,134367.529456634
"3","Albania","ALB","EURO",2,27577.3737299318,14018.7323862214,13558.6413437104
"4","Andorra","AND","EURO",2,402.12239191893,169.934811201036,232.187580717894
"5","United Arab Emirates","ARE","EMRO",6,21417.9080573774,4699.24245678492,16718.6656005924
"6","Argentina","ARG","AMRO",3,379208.610504165,186474.8952968,192733.715207365
"7","Armenia","ARM","EURO",8,35362.885122348,15583.6910451011,19779.1940772469
"8","Antigua and Barbuda","ATG","AMRO",6,1102.55424904916,515.044347631723,587.509901417437
"9","Australia","AUS","WPRO",7,142549.094554182,68985.5007908,73563.5937633817
"10","Austria","AUT","EURO",4,90523.1249027339,45355.0416544569,45168.083248277
"11","Azerbaijan","AZE","EURO",8,75598.0263558026,32525.1522485528,43072.8741072498
"12","Burundi","BDI","AFRO",3,83364.140548176,38485.8839392042,44878.2566089718
"13","Belgium","BEL","EURO",2,127196.651085305,63357.3538402302,63839.2972450743
"14","Benin","BEN","AFRO",3,101817.334949636,47656.976560936,54160.3583887004
"15","Burkina Faso","BFA","AFRO",3,163123.398233982,75970.0683524009,87153.329881581
"16","Bangladesh","BGD","SEARO",6,894171.467380851,394199.769659824,499971.697721026
"17","Bulgaria","BGR","EURO",2,125078.044605779,59079.5656655153,65998.478940264
"18","Bahrain","BHR","EMRO",6,5207.8540003509,1905.69897040581,3302.15502994509
"19","Bahamas","BHS","AMRO",6,2952.06020417175,1233.60884977121,1718.45135440054
"20","Bosnia and Herzegovina","BIH","EURO",2,42865.0088590907,20731.1929913679,22133.8158677228
"21","Belarus","BLR","EURO",2,144559.344310444,71710.3496133708,72848.9946970728
"22","Belize","BLZ","AMRO",3,2333.83817667851,907.898008912873,1425.94016776564
"23","Bolivia (Plurinational State of)","BOL","AMRO",8,75288.9735027484,34472.9770759204,40815.996426828
"24","Brazil","BRA","AMRO",3,1581876.19164435,716697.213670605,865178.977973743
"25","Barbados","BRB","AMRO",7,3462.97157781746,1806.31329213454,1656.65828568292
"26","Brunei Darussalam","BRN","WPRO",7,2238.50378902388,1064.25939555459,1174.24439346929
"27","Bhutan","BTN","SEARO",6,4710.46908420295,1941.98715784259,2768.48192636036
"28","Botswana","BWA","AFRO",6,22298.4332538764,10163.9028436253,12134.530410251
"29","Central African Republic","CAF","AFRO",3,58507.5096712485,26757.2072269079,31750.3024443407
"30","Canada","CAN","AMRO",5,309097.505049393,156966.994421624,152130.510627769
"31","Switzerland","CHE","EURO",4,76195.5792166794,38374.4448592772,37821.1343574022
"32","Chile","CHL","AMRO",4,126317.495476195,59060.1089459966,67257.3865301981
"33","China","CHN","WPRO",1,10410945.6665154,4222384.01355978,6188561.65295566
"34","Côte d’Ivoire","CIV","AFRO",3,209495.758938424,87627.6834178173,121868.075520607
"35","Cameroon","CMR","AFRO",3,214504.429916583,99013.6768581695,115490.753058413
"36","Democratic Republic of the Congo","COD","AFRO",3,800930.327999455,363930.523893626,436999.804105828
"37","Congo","COG","AFRO",3,38827.8363730943,19449.8636672059,19377.9727058884
"38","Cook Islands","COK","WPRO",6,174.188186881239,68.6528263658392,105.5353605154
"39","Colombia","COL","AMRO",3,299886.275247102,136172.897328158,163713.377918944
"40","Comoros","COM","AFRO",3,5532.66791012112,2611.51853809527,2921.14937202586
"41","Cabo Verde","CPV","AFRO",3,3489.7993639437,1581.79363943564,1908.00572450805
"42","Costa Rica","CRI","AMRO",6,26299.8542568482,11021.4934517732,15278.360805075
"43","Cuba","CUB","AMRO",1,112482.742798391,50609.1301362278,61873.612662163
"44","Cyprus","CYP","EURO",1,6315.53282124082,2988.16025767475,3327.37256356606
"45","Czechia","CZE","EURO",2,129523.771491313,61897.4735172179,67626.2979740955
"46","Germany","DEU","EURO",5,988141.021394414,450096.172200054,538044.84919436
"47","Djibouti","DJI","EMRO",3,7927.14762043133,3502.28898848743,4424.8586319439
"48","Dominica","DMA","AMRO",6,766.387882205321,342.720589822642,423.667292382679
"49","Denmark","DNK","EURO",1,54826.7999609783,26963.5322627789,27863.2676981994
"50","Dominican Republic","DOM","AMRO",3,86024.3101407338,36760.0799675142,49264.2301732196
"51","Algeria","DZA","AFRO",6,239772.389511407,108971.52906369,130800.860447716
"52","Ecuador","ECU","AMRO",8,115522.434690455,47662.0113666463,67860.4233238084
"53","Egypt","EGY","EMRO",3,666189.491899666,304313.472601435,361876.019298231
"54","Eritrea","ERI","AFRO",6,28874.6161737011,12673.9542185364,16200.6619551647
"55","Spain","ESP","EURO",2,493172.908235165,237393.676120644,255779.232114521
"56","Estonia","EST","EURO",1,15844.8390945379,8361.00895828808,7483.83013624986
"57","Ethiopia","ETH","AFRO",3,691887.347196178,319738.550495692,372148.796700486
"58","Finland","FIN","EURO",1,55599.8490542889,27791.1502181015,27808.6988361874
"59","Fiji","FJI","WPRO",6,7430.14223550004,3208.99849524681,4221.14374025323
"60","France","FRA","EURO",4,657032.353401291,325356.924942095,331675.428459196
"61","Micronesia (Federated States of)","FSM","WPRO",6,1075.58231764718,458.798970761587,616.783346885594
"62","Gabon","GAB","AFRO",3,16044.1449388206,6878.8361261851,9165.30881263549
"63","The United Kingdom","GBR","EURO",4,690490.813990604,340204.729265222,350286.084725382
"64","Georgia","GEO","EURO",4,50566.4037920946,24364.5026265485,26201.9011655462
"65","Ghana","GHA","AFRO",3,209968.887213614,89766.1339706826,120202.753242932
"66","Guinea","GIN","AFRO",3,117868.229692365,60874.39440655,56993.8352858154
"67","Gambia","GMB","AFRO",3,15989.3084341968,7150.25735884264,8839.05107535416
"68","Guinea-Bissau","GNB","AFRO",3,17470.5245614888,8227.88271264829,9242.64184884054
"69","Equatorial Guinea","GNQ","AFRO",3,11736.2674987246,5130.22569115645,6606.04180756813
"70","Greece","GRC","EURO",5,131562.493580361,67776.7270529847,63785.7665273761
"71","Grenada","GRD","AMRO",6,1048.7873454023,469.248344360271,579.539001042031
"72","Guatemala","GTM","AMRO",7,97178.7336358573,44105.7500967194,53072.9835391379
"73","Guyana","GUY","AMRO",3,9466.28761564678,4090.71982276741,5375.56779287937
"74","Honduras","HND","AMRO",3,65550.5902218558,32782.9026125587,32767.6876092971
"75","Croatia","HRV","EURO",4,57130.6161112091,29031.2830969717,28099.3330142374
"76","Haiti","HTI","AMRO",3,89586.668950046,46459.7839355268,43126.8850145192
"77","Hungary","HUN","EURO",4,141426.173549793,72543.1888029612,68882.9847468314
"78","Indonesia","IDN","SEARO",3,2071142.02476633,967296.981668639,1103845.04309769
"79","India","IND","SEARO",6,10048674.6727906,4456749.8861442,5591924.78664644
"80","Ireland","IRL","EURO",7,31744.6752751115,15494.204496437,16250.4707786744
"81","Iran (Islamic Republic of)","IRN","EMRO",3,505791.334928929,204837.723559499,300953.611369429
"82","Iraq","IRQ","EMRO",3,152881.040673899,67500.9621507989,85380.0785231005
"83","Iceland","ISL","EURO",1,2309.81569330967,1130.72760001217,1179.0880932975
"84","Israel","ISR","EURO",6,48900.1105791761,23728.6113069117,25171.4992722644
"85","Italy","ITA","EURO",2,747937.418590774,378974.325733087,368963.092857687
"86","Jamaica","JAM","AMRO",6,18681.2241182327,8155.11264002702,10526.1114782057
"87","Jordan","JOR","EMRO",6,33621.0105459461,15598.6875942461,18022.3229516999
"88","Japan","JPN","WPRO",1,1385259.56095775,665422.525603834,719837.035353917
"89","Kazakhstan","KAZ","EURO",3,162578.03794085,78342.3090943561,84235.7288464936
"90","Kenya","KEN","AFRO",3,328172.114345185,151652.491217037,176519.623128147
"91","Kyrgyzstan","KGZ","EURO",3,39935.6401886778,18643.6008326846,21292.0393559932
"92","Cambodia","KHM","WPRO",6,100652.177894841,46052.9410690721,54599.2368257685
"93","Kiribati","KIR","WPRO",6,1387.64576289274,649.937896079946,737.70786681279
"94","Saint Kitts and Nevis","KNA","AMRO",7,495.892838190336,209.868146073401,286.024692116936
"95","Republic of Korea","KOR","WPRO",1,305935.661563988,138620.742641907,167314.918922081
"96","Kuwait","KWT","EMRO",6,9449.73716858818,2190.74440588328,7258.9927627049
"97","Lao People's Democratic Republic","LAO","WPRO",6,43647.2616857352,19136.7791949669,24510.4824907684
"98","Lebanon","LBN","EMRO",6,28062.6976908467,11468.3560053696,16594.3416854771
"99","Liberia","LBR","AFRO",3,40739.60598923,19992.4386215789,20747.1673676511
"100","Libya","LBY","EMRO",3,32533.6160464594,15218.8628944315,17314.7531520279
"101","Saint Lucia","LCA","AMRO",6,1634.3675717676,623.323522932108,1011.04404883549
"102","Sri Lanka","LKA","SEARO",6,154516.48998271,66610.3464577275,87906.143524982
"103","Lesotho","LSO","AFRO",3,35868.9450697296,16849.9760234818,19018.9690462478
"104","Lithuania","LTU","EURO",2,43568.7163576244,23139.3529814539,20429.3633761705
"105","Luxembourg","LUX","EURO",1,4645.52272419738,2316.3339240516,2329.18880014578
"106","Latvia","LVA","EURO",5,28921.2963028295,16339.0901943654,12582.2061084642
"107","Morocco","MAR","EMRO",3,283119.85325276,139106.499131679,144013.354121082
"108","Monaco","MCO","EURO",5,502.46502296671,258.07618259306,244.38884037365
"109","Republic of Moldova","MDA","EURO",2,40659.1015032644,19168.6013598079,21490.5001434565
"110","Madagascar","MDG","AFRO",3,203541.480457588,97905.4067151146,105636.073742474
"111","Maldives","MDV","SEARO",6,1075.05990004341,418.067971394783,656.991928648624
"112","Mexico","MEX","AMRO",8,1054834.34505226,420676.984858661,634157.360193596
"113","Marshall Islands","MHL","WPRO",6,425.764071263476,178.725458656678,247.038612606798
"114","North Macedonia","MKD","EURO",2,25435.9072678182,12032.4475474333,13403.459720385
"115","Mali","MLI","AFRO",3,165978.473291908,82007.8910274076,83970.5822645002
"116","Malta","MLT","EURO",5,4030.77927624957,2091.91007117939,1938.86920507018
"117","Myanmar","MMR","SEARO",6,404327.889808316,180154.639288809,224173.250519507
"118","Montenegro","MNE","EURO",4,7349.03740203394,3436.42650635031,3912.61089568364
"119","Mongolia","MNG","WPRO",6,15975.9278388154,6156.35573617674,9819.5721026387
"120","Mozambique","MOZ","AFRO",3,301205.444801794,139671.651012756,161533.793789039
"121","Mauritania","MRT","AFRO",3,29441.0725119288,15167.0414264217,14274.0310855071
"122","Mauritius","MUS","AFRO",7,11063.1862808809,5124.32244798641,5938.86383289445
"123","Malawi","MWI","AFRO",3,116586.234835951,52432.4299834233,64153.804852528
"124","Malaysia","MYS","WPRO",7,171132.537003083,73076.1987050424,98056.3382980409
"125","Namibia","NAM","AFRO",3,20001.0602801088,9113.14153915938,10887.9187409495
"126","Niger","NER","AFRO",3,198412.550260542,93281.9218040672,105130.628456475
"127","Nigeria","NGA","AFRO",3,1807545.685493,836681.636122829,970864.049370171
"128","Nicaragua","NIC","AMRO",3,33475.9331544334,15238.9995420246,18236.9336124088
"129","Niue","NIU","WPRO",6,22.365256034619,10.9314983840465,11.4337576505725
"130","Netherlands","NLD","EURO",4,169134.866215661,84792.3778065168,84342.4884091442
"131","Norway","NOR","EURO",1,40722.5584519615,20589.0364028632,20133.5220490983
