Country,iso3,sex,age,Nx,Dxhat_WM,Dx_expected,Dx_observed,GHE_2019,Dxhat_spinoff
Afghanistan,AFG,Female,0,2765103,29382.5883729223,33338.797654529,NA,NA,36122.11106979446
Afghanistan,AFG,Female,5,2641593,1050.72837836256,1219.35124405969,NA,NA,3206.8456164689055
Afghanistan,AFG,Female,10,2540450,851.209397639969,897.932296880773,NA,NA,2481.551743838116
Afghanistan,AFG,Female,15,2251504,2661.87481681943,2646.8595205781,NA,NA,3498.2968773199696
Afghanistan,AFG,Female,20,1909206,3543.25249468893,3370.30724613317,NA,NA,4086.4852853509165
Afghanistan,AFG,Female,25,1498590,3779.23922985447,3535.60841896804,NA,NA,3785.227322933748
Afghanistan,AFG,Female,30,1179138,4052.26444721184,3661.11486500933,NA,NA,3613.5893119886546
Afghanistan,AFG,Female,35,988220,5084.97490793323,4563.12867233047,NA,NA,3794.954997317141
Afghanistan,AFG,Female,40,790703,6112.60925553093,5351.88056493143,NA,NA,3963.9118896584514
Afghanistan,AFG,Female,45,627510,7220.35770738108,6227.36455439018,NA,NA,4414.647705431388
Afghanistan,AFG,Female,50,503171,8817.12650296482,7347.73917027096,NA,NA,5207.805107903544
Afghanistan,AFG,Female,55,396460,10304.4464564036,8557.90701583982,NA,NA,6093.621499969703
Afghanistan,AFG,Female,60,307557,11567.1520623651,9461.96157838114,NA,NA,7441.776690022569
Afghanistan,AFG,Female,65,229221,12164.7077927057,10079.2900324867,NA,NA,8986.351454894848
Afghanistan,AFG,Female,70,172197,13375.4460486305,11119.0548171702,NA,NA,10889.039066911002
Afghanistan,AFG,Female,75,91107,10011.7839943372,8550.76437256918,NA,NA,9135.173168475494
Afghanistan,AFG,Female,80,42490,7118.59977979728,6081.45055614705,NA,NA,7233.469582920919
Afghanistan,AFG,Female,85,17856,5085.83967839049,4454.96864566074,NA,NA,5857.016045383846
Afghanistan,AFG,Male,0,2907406,35571.0602613777,39680.4445012494,NA,NA,42236.97891412461
Afghanistan,AFG,Male,5,2774630,1149.22471257276,1323.42976028905,NA,NA,3615.4040389390684
Afghanistan,AFG,Male,10,2651664,955.370020413436,1031.6017638028,NA,NA,2670.741043394517
Afghanistan,AFG,Male,15,2377941,3342.40485127459,3452.95783255061,NA,NA,4018.3015562824885
Afghanistan,AFG,Male,20,2017279,4466.0584369073,4414.15354125707,NA,NA,4952.444454788441
Afghanistan,AFG,Male,25,1610796,4148.16881012797,4035.59344791302,NA,NA,4198.424832061785
Afghanistan,AFG,Male,30,1299121,4200.53242653737,3927.43342124329,NA,NA,3964.229451786657
Afghanistan,AFG,Male,35,1068167,4715.74229460837,4302.93238175707,NA,NA,4333.123949976922
Afghanistan,AFG,Male,40,868020,5899.33188292801,5185.55901448647,NA,NA,5054.489792907138
Afghanistan,AFG,Male,45,677226,6709.58067428155,5854.92672670668,NA,NA,5968.993890897299
Afghanistan,AFG,Male,50,529188,8166.61610729108,6979.38285302783,NA,NA,7256.899595146681
Afghanistan,AFG,Male,55,411379,9462.56160740207,7992.61781984897,NA,NA,8791.028531901284
Afghanistan,AFG,Male,60,305081,10952.2388401216,8994.62863295911,NA,NA,10111.108261939418
Afghanistan,AFG,Male,65,215637,11211.2448863505,9230.33586089031,NA,NA,11104.54363280531
Afghanistan,AFG,Male,70,140254,10608.1934088163,8683.41346188111,NA,NA,11375.82075855607
Afghanistan,AFG,Male,75,76897,8313.6707175333,6856.93753981681,NA,NA,9892.511026173455
Afghanistan,AFG,Male,80,33115,5470.88917787816,4444.76486955983,NA,NA,6882.973080953826
Afghanistan,AFG,Male,85,12464,3703.99666760496,3143.7834166928,NA,NA,4991.195858747757
Angola,AGO,Female,0,2871490,38723.2022223824,42872.712017286,NA,NA,37788.10817003085
Angola,AGO,Female,5,2535920,4630.09378651383,5108.47440741518,NA,NA,3606.79591662583
Angola,AGO,Female,10,2182666,2143.65611582595,2224.02772227781,NA,NA,2291.9835819107607
Angola,AGO,Female,15,1780690,1833.40530405221,1790.94924351789,NA,NA,2924.5207462178723
Angola,AGO,Female,20,1458325,2522.79572452714,2356.7287288337,NA,NA,3140.763165311869
Angola,AGO,Female,25,1231078,3399.85019408048,3120.01668902341,NA,NA,3197.5774411251223
Angola,AGO,Female,30,1041425,4230.07350576535,3806.1529012155,NA,NA,3275.0863718626165
Angola,AGO,Female,35,850121,4477.47512879245,3947.0834275578,NA,NA,3420.3538617521212
Angola,AGO,Female,40,684932,4705.00616946038,4034.52207528843,NA,NA,3613.9285534471314
Angola,AGO,Female,45,561290,4853.30237958797,4065.38277448747,NA,NA,3925.8532346057277
Angola,AGO,Female,50,410848,4825.58004369875,3933.71045790488,NA,NA,4118.481002679465
Angola,AGO,Female,55,344802,5544.18117960346,4417.19474535658,NA,NA,5042.61586016613
Angola,AGO,Female,60,252683,5875.68251823625,4593.10073079114,NA,NA,5590.651148051198
Angola,AGO,Female,65,158692,5371.22548443294,4241.28875992203,NA,NA,5682.935168184133
Angola,AGO,Female,70,117389,6298.65805307512,5082.75715808264,NA,NA,7051.234611080249
Angola,AGO,Female,75,69351,5590.97533073291,4591.04335084453,NA,NA,6735.261763166596
Angola,AGO,Female,80,37897,4978.06569145981,4094.18609373991,NA,NA,5925.770998366726
Angola,AGO,Female,85,15799,3577.69114468932,2999.65996214713,NA,NA,4389.747555683107
Angola,AGO,Male,0,2923514,46990.0295323905,51675.2121188269,NA,NA,44154.75735157898
Angola,AGO,Male,5,2568244,5038.63988111997,5529.20860649549,NA,NA,4163.770404016203
Angola,AGO,Male,10,2166595,3003.19423735474,3136.47572859623,NA,NA,2543.5754025029155
Angola,AGO,Male,15,1751828,2683.61034982037,2716.77021948922,NA,NA,3799.4409713984846
Angola,AGO,Male,20,1424241,3272.03752802453,3213.62747659384,NA,NA,4758.450320583281
Angola,AGO,Male,25,1192393,3290.33783158866,3144.70524838264,NA,NA,4390.788067226742
Angola,AGO,Male,30,999332,3832.30073180378,3525.32053850419,NA,NA,4321.853609573836
Angola,AGO,Male,35,808851,4496.38616776345,4034.52207528843,NA,NA,4552.40166027436
Angola,AGO,Male,40,645763,5363.26376332759,4704.19924790769,NA,NA,5042.914213867645
Angola,AGO,Male,45,520750,5988.48808874016,5150.65069632054,NA,NA,5785.834021667396
Angola,AGO,Male,50,376364,6522.56582173632,5495.26183737654,NA,NA,6298.285628044174
Angola,AGO,Male,55,332588,8253.07522626978,6850.04653221459,NA,NA,8142.508184895142
Angola,AGO,Male,60,229285,8381.94640312307,6844.90308234809,NA,NA,8245.495100113052
Angola,AGO,Male,65,145237,7713.41596405787,6239.00468807351,NA,NA,7959.559764314706
Angola,AGO,Male,70,95124,7561.00780901564,6094.9880918113,NA,NA,8044.879084763722
Angola,AGO,Male,75,49865,5578.67985350863,4515.94898279352,NA,NA,6417.9782519588225
Angola,AGO,Male,80,22040,3807.77511458837,3086.06991990446,NA,NA,4460.858571111195
Angola,AGO,Male,85,8856,2590.77515240042,2150.99073417341,NA,NA,3143.4296753924027
Albania,ALB,Female,0,79714,96.7299993041358,100.102905984778,137.956021989006,NA,145.86979042613967
Albania,ALB,Female,5,79822,10.7067121129044,11.20032514515,5.91240094238595,NA,15.114347319669582
Albania,ALB,Female,10,75224,8.55241770319151,8.40024385886249,10.8394017277076,NA,17.79974822584013
Albania,ALB,Female,15,93379,35.0613429516436,32.2009347923062,11.8248018847719,NA,29.278939780862853
Albania,ALB,Female,20,110982,13.2206681966462,11.9003454667219,16.7518026700935,NA,37.31581579739707
Albania,ALB,Female,25,115006,22.99795918753,20.3005893255844,26.6058042407368,NA,37.67961587558335
Albania,ALB,Female,30,101291,9.76952418154486,8.4002438588625,45.3284072249589,NA,43.86415783064607
Albania,ALB,Female,35,76191,17.4351933340383,14.7004267530094,55.1824087956022,NA,58.122595075508016
Albania,ALB,Female,40,76614,33.6508303106918,28.000812862875,76.8612122510174,NA,89.60008839746821
Albania,ALB,Female,45,90245,72.3304083261559,59.5017273336093,130.072820732491,NA,158.44788471879716
Albania,ALB,Female,50,95681,138.189422304729,113.403292094644,222.700435496538,NA,245.88363492506235
Albania,ALB,Female,55,103252,242.426139139086,195.305669718553,358.685657171414,NA,387.6599336491547
Albania,ALB,Female,60,95295,244.340832257728,188.305466502834,589.269293924467,NA,606.5502091340724
Albania,ALB,Female,65,73946,353.173861033899,261.107579946309,767.626722353109,NA,842.3659107822343
Albania,ALB,Female,70,55690,895.687063367773,667.119366457997,1141.09338188049,NA,1296.3736177853314
Albania,ALB,Female,75,45107,1643.70380681442,1239.73598950379,1900.83690297708,NA,2153.739557835318
Albania,ALB,Female,80,28149,2811.22782015883,2223.96456163385,2645.79942171771,NA,2718.699659623051
Albania,ALB,Female,85,17498,7369.52838553642,6297.38281286059,3956.38163061326,NA,3875.1235361172685
Albania,ALB,Male,0,86564,129.310211469689,128.803739169225,171.459627329193,NA,178.27894782227582
Albania,ALB,Male,5,87732,10.398008013173,10.5003048235781,9.85400157064325,NA,18.09884635547198
Albania,ALB,Male,10,86957,16.3308606474548,16.1004673961531,13.7956021989005,NA,24.294377245191352
Albania,ALB,Male,15,106218,39.7295139349472,37.1010770433094,28.5766045548654,NA,46.063597274225806
Albania,ALB,Male,20,117374,66.3354246953557,59.5017273336094,51.2408081673449,NA,62.71111193977223
Albania,ALB,Male,25,129317,63.9764226587691,55.3016054041781,59.1240094238595,NA,86.48726947284104
Albania,ALB,Male,30,122633,49.0915132142376,40.6011786511687,89.6714142928536,NA,100.98918430532804
Albania,ALB,Male,35,90658,71.3687618263363,56.7016460473219,129.087420575427,NA,123.94470084051164
Albania,ALB,Male,40,75896,153.119561000996,120.403495310362,171.459627329193,NA,149.50904894927754
Albania,ALB,Male,45,80264,213.677839350792,165.904816212534,261.131041622046,NA,259.2380642705983
Albania,ALB,Male,50,88504,408.497685073795,319.909286958347,437.51766973656,NA,448.3824606381642
Albania,ALB,Male,55,98654,565.741931846261,438.212721303994,872.079139001928,NA,776.9048162950298
Albania,ALB,Male,60,91164,1032.95439271454,784.722780482072,1235.69179695866,NA,1051.7150200056612
Albania,ALB,Male,65,69837,945.563292286555,679.019711924719,1552.00524737631,NA,1327.6259608594585
Albania,ALB,Male,70,52442,1241.4574292453,873.6253613217,1844.66909402442,NA,1738.5049707779942
Albania,ALB,Male,75,41429,1985.43952997038,1418.94119182619,2596.5294138645,NA,2457.7557530168183
Albania,ALB,Male,80,25727,2658.75538505411,1987.35769294255,3001.52887841793,NA,2918.1084555702782
Albania,ALB,Male,85,13344,3906.89358070773,3134.69099999886,2979.85007496252,NA,3049.2721009934835
United Arab Emirates,ARE,Female,0,244293,237.799941367264,343.893084033655,NA,NA,256.7073032889986
United Arab Emirates,ARE,Female,5,251005,31.8832849112948,43.1180931051372,NA,NA,29.41440744594349
United Arab Emirates,ARE,Female,10,222416,33.7716028076956,41.0147714902524,NA,NA,21.63104024707492
United Arab Emirates,ARE,Female,15,188927,53.0274433409047,58.8930052167727,NA,NA,49.5159717147047
United Arab Emirates,ARE,Female,20,228503,81.6552416562068,89.3911686326014,NA,NA,51.727698954671176
United Arab Emirates,ARE,Female,25,351157,148.646719932876,163.007425153567,NA,NA,69.43929700452122
United Arab Emirates,ARE,Female,30,473808,264.562275666669,288.155061239209,NA,NA,105.57957168924742
United Arab Emirates,ARE,Female,35,406649,348.086398320087,368.081282604829,NA,NA,103.19339711876465
United Arab Emirates,ARE,Female,40,238107,346.980185305519,362.822978567617,NA,NA,119.94382354876528
United Arab Emirates,ARE,Female,45,157915,391.764734433919,408.044393287639,NA,NA,211.05214542306604
United Arab Emirates,ARE,Female,50,120989,470.668807901639,491.125597075586,NA,NA,273.06166000194276
United Arab Emirates,ARE,Female,55,86040,500.143789616165,522.675421298857,NA,NA,446.76650358931363
United Arab Emirates,ARE,Female,60,42276,373.601461245076,395.424463598331,NA,NA,619.2134489868913
United Arab Emirates,ARE,Female,65,19923,294.341372826512,314.446581425269,NA,NA,515.4718493017135
United Arab Emirates,ARE,Female,70,12071,297.014716736809,315.498242232711,NA,NA,531.1814011041545
United Arab Emirates,ARE,Female,75,5006,203.208478750198,210.332161488474,NA,NA,446.358397767782
United Arab Emirates,ARE,Female,80,2754,222.159811424999,225.055412792667,NA,NA,495.863750947032
United Arab Emirates,ARE,Female,85,2212,399.926190541088,398.579446020658,NA,NA,848.6740470215207
United Arab Emirates,ARE,Male,0,254845,293.240648062348,442.749199933237,NA,NA,325.76530722893204
United Arab Emirates,ARE,Male,5,261570,38.7614989602638,54.6863619870032,NA,NA,37.490746900650386
United Arab Emirates,ARE,Male,10,231043,38.7203596354931,49.4280579497914,NA,NA,34.76367116350112
United Arab Emirates,ARE,Male,15,200605,115.459220261776,134.612583352623,NA,NA,270.4745415382882
United Arab Emirates,ARE,Male,20,487250,415.941007603104,470.092380926739,NA,NA,408.3380057335772
United Arab Emirates,ARE,Male,25,1082433,873.78425934953,974.889568499076,NA,NA,656.5354367005077
United Arab Emirates,ARE,Male,30,1321938,1150.36124418356,1275.66455942759,NA,NA,717.2045892149824
United Arab Emirates,ARE,Male,35,966919,1130.16052429601,1214.66823259594,NA,NA,727.3359073700757
United Arab Emirates,ARE,Male,40,677914,1275.01264848165,1317.73099172529,NA,NA,780.4667415550199
United Arab Emirates,ARE,Male,45,534173,1646.87467073588,1635.33255557288,NA,NA,1128.797847281919
United Arab Emirates,ARE,Male,50,335612,1708.38117729356,1677.39898787058,NA,NA,1107.026018219818
United Arab Emirates,ARE,Male,55,255272,2186.77303223222,2129.6131350708,NA,NA,1683.1251981790406
United Arab Emirates,ARE,Male,60,143690,1945.85274911873,1881.4211845144,NA,NA,2600.5136900688744
United Arab Emirates,ARE,Male,65,36818,821.377798879053,783.487301544565,NA,NA,906.3640191778602
United Arab Emirates,ARE,Male,70,24189,1023.78434404446,990.664480610712,NA,NA,1313.7348055852722
United Arab Emirates,ARE,Male,75,14618,927.003158125674,889.705043096244,NA,NA,1468.6906154169585
United Arab Emirates,ARE,Male,80,4405,440.193573158877,413.302697324851,NA,NA,770.1818268083737
United Arab Emirates,ARE,Male,85,3055,686.983686170242,639.409770924961,NA,NA,1286.3033740775938
Argentina,ARG,Female,0,1833225,2227.82371499944,2926.67488341097,NA,NA,3275.925962698202
Argentina,ARG,Female,5,1820688,203.580691410107,260.534856089998,NA,NA,245.8721212470943
Argentina,ARG,Female,10,1766041,255.775524289083,297.202724724886,NA,NA,308.5392325884552
Argentina,ARG,Female,15,1739689,639.664535357247,688.005008859882,NA,NA,585.276577617947
Argentina,ARG,Female,20,1714597,885.029947356355,907.047276757769,NA,NA,657.030819988618
Argentina,ARG,Female,25,1745039,976.200653524666,969.768631001657,NA,NA,796.4469111226402
Argentina,ARG,Female,30,1660236,1226.16433801064,1187.8459549881,NA,NA,1088.9128239283307
