iso3,sex,age,Nx,Country,mx,Cluster,variant
AFG,Female,0,2765103,Afghanistan,0.01322655036397417,3,mx_pred_mean
AFG,Female,5,2641593,Afghanistan,5.041092786580326e-4,3,mx_pred_mean
AFG,Female,10,2540450,Afghanistan,3.912545847232536e-4,3,mx_pred_mean
AFG,Female,15,2251504,Afghanistan,0.00131279932563454,3,mx_pred_mean
AFG,Female,20,1909206,Afghanistan,0.00199222727132898,3,mx_pred_mean
AFG,Female,25,1498590,Afghanistan,0.00268922889014041,3,mx_pred_mean
AFG,Female,30,1179138,Afghanistan,0.00350657993406997,3,mx_pred_mean
AFG,Female,35,988220,Afghanistan,0.00521185440153041,3,mx_pred_mean
AFG,Female,40,790703,Afghanistan,0.00769057309035391,3,mx_pred_mean
AFG,Female,45,627510,Afghanistan,0.01124055115396909,3,mx_pred_mean
AFG,Female,50,503171,Afghanistan,0.01651174973986531,3,mx_pred_mean
AFG,Female,55,396460,Afghanistan,0.02440735377521439,3,mx_pred_mean
AFG,Female,60,307557,Afghanistan,0.03481471030068917,3,mx_pred_mean
AFG,Female,65,229221,Afghanistan,0.04914376660742906,3,mx_pred_mean
AFG,Female,70,172197,Afghanistan,0.07341181853884407,3,mx_pred_mean
AFG,Female,75,91107,Afghanistan,0.10928590376306514,3,mx_pred_mean
AFG,Female,80,42490,Afghanistan,0.16091237449804596,3,mx_pred_mean
AFG,Female,85,17856,Afghanistan,0.26346475353428184,3,mx_pred_mean
AFG,Male,0,2907406,Afghanistan,0.01472925176450144,3,mx_pred_mean
AFG,Male,5,2774630,Afghanistan,5.136246485655724e-4,3,mx_pred_mean
AFG,Male,10,2651664,Afghanistan,4.2340176661574615e-4,3,mx_pred_mean
AFG,Male,15,2377941,Afghanistan,0.00159632260979071,3,mx_pred_mean
AFG,Male,20,2017279,Afghanistan,0.00242867779984569,3,mx_pred_mean
AFG,Male,25,1610796,Afghanistan,0.00279192968832541,3,mx_pred_mean
AFG,Male,30,1299121,Afghanistan,0.00335638021276399,3,mx_pred_mean
AFG,Male,35,1068167,Afghanistan,0.00446943824631656,3,mx_pred_mean
AFG,Male,40,868020,Afghanistan,0.00666994210542269,3,mx_pred_mean
AFG,Male,45,677226,Afghanistan,0.00967194368966168,3,mx_pred_mean
AFG,Male,50,529188,Afghanistan,0.01468133738906322,3,mx_pred_mean
AFG,Male,55,411379,Afghanistan,0.02164453024606898,3,mx_pred_mean
AFG,Male,60,305081,Afghanistan,0.03291409194374449,3,mx_pred_mean
AFG,Male,65,215637,Afghanistan,0.04769908083878469,3,mx_pred_mean
AFG,Male,70,140254,Afghanistan,0.0691890872100709,3,mx_pred_mean
AFG,Male,75,76897,Afghanistan,0.09988902251095394,3,mx_pred_mean
AFG,Male,80,33115,Afghanistan,0.14807865988332203,3,mx_pred_mean
AFG,Male,85,12464,Afghanistan,0.25472389540781676,3,mx_pred_mean
AFG,Female,0,2765103,Afghanistan,0.01312698433616061,3,mx_pred_median
AFG,Female,5,2641593,Afghanistan,5.003144752452959e-4,3,mx_pred_median
AFG,Female,10,2540450,Afghanistan,3.883093220664957e-4,3,mx_pred_median
AFG,Female,15,2251504,Afghanistan,0.00130291691407802,3,mx_pred_median
AFG,Female,20,1909206,Afghanistan,0.00197723030307576,3,mx_pred_median
AFG,Female,25,1498590,Afghanistan,0.0026689850751543,3,mx_pred_median
AFG,Female,30,1179138,Afghanistan,0.00348018331320978,3,mx_pred_median
AFG,Female,35,988220,Afghanistan,0.00517262091842083,3,mx_pred_median
AFG,Female,40,790703,Afghanistan,0.00763268045825068,3,mx_pred_median
AFG,Female,45,627510,Afghanistan,0.01115593521118448,3,mx_pred_median
AFG,Female,50,503171,Afghanistan,0.01638745358640054,3,mx_pred_median
AFG,Female,55,396460,Afghanistan,0.02422362157006908,3,mx_pred_median
AFG,Female,60,307557,Afghanistan,0.0345526342250133,3,mx_pred_median
AFG,Female,65,229221,Afghanistan,0.04877382512622275,3,mx_pred_median
AFG,Female,70,172197,Afghanistan,0.07285919348050753,3,mx_pred_median
AFG,Female,75,91107,Afghanistan,0.10846322793042017,3,mx_pred_median
AFG,Female,80,42490,Afghanistan,0.15970106803385575,3,mx_pred_median
AFG,Female,85,17856,Afghanistan,0.2614814594586219,3,mx_pred_median
AFG,Male,0,2907406,Afghanistan,0.01484266900196137,3,mx_pred_median
AFG,Male,5,2774630,Afghanistan,5.175796280623604e-4,3,mx_pred_median
AFG,Male,10,2651664,Afghanistan,4.266620176775784e-4,3,mx_pred_median
AFG,Male,15,2377941,Afghanistan,0.00160861451051941,3,mx_pred_median
AFG,Male,20,2017279,Afghanistan,0.00244737894849484,3,mx_pred_median
AFG,Male,25,1610796,Afghanistan,0.00281342792581194,3,mx_pred_median
AFG,Male,30,1299121,Afghanistan,0.003382224795889,3,mx_pred_median
AFG,Male,35,1068167,Afghanistan,0.0045038535273505,3,mx_pred_median
AFG,Male,40,868020,Afghanistan,0.00672130156479712,3,mx_pred_median
AFG,Male,45,677226,Afghanistan,0.00974641896862956,3,mx_pred_median
AFG,Male,50,529188,Afghanistan,0.01479438567932992,3,mx_pred_median
AFG,Male,55,411379,Afghanistan,0.0218111960662937,3,mx_pred_median
AFG,Male,60,305081,Afghanistan,0.03316753491840791,3,mx_pred_median
AFG,Male,65,215637,Afghanistan,0.04806637023437715,3,mx_pred_median
AFG,Male,70,140254,Afghanistan,0.06972185257108215,3,mx_pred_median
AFG,Male,75,76897,Afghanistan,0.10065818154000042,3,mx_pred_median
AFG,Male,80,33115,Afghanistan,0.14921888565984187,3,mx_pred_median
AFG,Male,85,12464,Afghanistan,0.25668530397045775,3,mx_pred_median
AFG,Female,0,2765103,Afghanistan,0.01003029608924958,3,mx_pred_qm
AFG,Female,5,2641593,Afghanistan,4.164984620508224e-4,3,mx_pred_qm
AFG,Female,10,2540450,Afghanistan,3.475961027340194e-4,3,mx_pred_qm
