Country,iso3,cluster,sex,age,source,lmx
Afghanistan,AFG,3,Female,0,lmx_scaled,-4.660143286572355
Afghanistan,AFG,3,Female,5,lmx_scaled,-7.812247818780794
Afghanistan,AFG,3,Female,10,lmx_scaled,-7.963559031086895
Afghanistan,AFG,3,Female,15,lmx_scaled,-6.6730834273612425
Afghanistan,AFG,3,Female,20,lmx_scaled,-6.200728389684128
Afghanistan,AFG,3,Female,25,lmx_scaled,-5.869288047680053
Afghanistan,AFG,3,Female,30,lmx_scaled,-5.590909029766425
Afghanistan,AFG,3,Female,35,lmx_scaled,-5.191464968448957
Afghanistan,AFG,3,Female,40,lmx_scaled,-4.801787508113048
Afghanistan,AFG,3,Female,45,lmx_scaled,-4.418481212372804
Afghanistan,AFG,3,Female,50,lmx_scaled,-4.02343008512692
Afghanistan,AFG,3,Female,55,lmx_scaled,-3.6157207720575837
Afghanistan,AFG,3,Female,60,lmx_scaled,-3.240546313853412
Afghanistan,AFG,3,Female,65,lmx_scaled,-2.8841788077636505
Afghanistan,AFG,3,Female,70,lmx_scaled,-2.4900472467010375
Afghanistan,AFG,3,Female,75,lmx_scaled,-2.1130449196086305
Afghanistan,AFG,3,Female,80,lmx_scaled,-1.7505804985645845
Afghanistan,AFG,3,Female,85,lmx_scaled,-1.2974174847980309
Afghanistan,AFG,3,Male,0,lmx_scaled,-4.53103537749794
Afghanistan,AFG,3,Male,5,lmx_scaled,-7.785408049405049
Afghanistan,AFG,3,Male,10,lmx_scaled,-7.890265541599864
Afghanistan,AFG,3,Male,15,lmx_scaled,-6.494894799230788
Afghanistan,AFG,3,Male,20,lmx_scaled,-6.025339426935076
Afghanistan,AFG,3,Male,25,lmx_scaled,-5.849115777013092
Afghanistan,AFG,3,Male,30,lmx_scaled,-5.638008168592932
Afghanistan,AFG,3,Male,35,lmx_scaled,-5.332743488675464
Afghanistan,AFG,3,Male,40,lmx_scaled,-4.919526329382527
Afghanistan,AFG,3,Male,45,lmx_scaled,-4.538443550994035
Afghanistan,AFG,3,Male,50,lmx_scaled,-4.111965043486741
Afghanistan,AFG,3,Male,55,lmx_scaled,-3.711047932410099
Afghanistan,AFG,3,Male,60,lmx_scaled,-3.2742783404124913
Afghanistan,AFG,3,Male,65,lmx_scaled,-2.8887090818891665
Afghanistan,AFG,3,Male,70,lmx_scaled,-2.5135119006822886
Afghanistan,AFG,3,Male,75,lmx_scaled,-2.1530677540385157
Afghanistan,AFG,3,Male,80,lmx_scaled,-1.7717925212013375
Afghanistan,AFG,3,Male,85,lmx_scaled,-1.2561439048464558
Angola,AGO,3,Female,0,lmx_scaled,-4.413494168227927
Angola,AGO,3,Female,5,lmx_scaled,-6.299558170660667
Angola,AGO,3,Female,10,lmx_scaled,-6.867233676492298
Angola,AGO,3,Female,15,lmx_scaled,-6.795793689696545
Angola,AGO,3,Female,20,lmx_scaled,-6.272306541415711
Angola,AGO,3,Female,25,lmx_scaled,-5.795292898204685
Angola,AGO,3,Female,30,lmx_scaled,-5.411850832120908
Angola,AGO,3,Female,35,lmx_scaled,-5.16429719049876
Angola,AGO,3,Female,40,lmx_scaled,-4.93023180125153
Angola,AGO,3,Female,45,lmx_scaled,-4.706805968219777
Angola,AGO,3,Female,50,lmx_scaled,-4.426278115334383
Angola,AGO,3,Female,55,lmx_scaled,-4.123967974515455
Angola,AGO,3,Female,60,lmx_scaled,-3.722950201049955
Angola,AGO,3,Female,65,lmx_scaled,-3.343641925266533
Angola,AGO,3,Female,70,lmx_scaled,-2.8894636656176305
Angola,AGO,3,Female,75,lmx_scaled,-2.486818665578723
Angola,AGO,3,Female,80,lmx_scaled,-2.042958590719657
Angola,AGO,3,Female,85,lmx_scaled,-1.5344008990374034
Angola,AGO,3,Male,0,lmx_scaled,-4.2480890309746195
Angola,AGO,3,Male,5,lmx_scaled,-6.24600508107029
Angola,AGO,3,Male,10,lmx_scaled,-6.543652614605093
Angola,AGO,3,Male,15,lmx_scaled,-6.403866064566056
Angola,AGO,3,Male,20,lmx_scaled,-5.985556819126566
Angola,AGO,3,Male,25,lmx_scaled,-5.797064623240653
Angola,AGO,3,Male,30,lmx_scaled,-5.474821780617102
Angola,AGO,3,Male,35,lmx_scaled,-5.104921894437024
Angola,AGO,3,Male,40,lmx_scaled,-4.717498503548726
Angola,AGO,3,Male,45,lmx_scaled,-4.3893262208927055
Angola,AGO,3,Male,50,lmx_scaled,-4.01295919201465
Angola,AGO,3,Male,55,lmx_scaled,-3.655408440747389
Angola,AGO,3,Male,60,lmx_scaled,-3.2352143044749013
Angola,AGO,3,Male,65,lmx_scaled,-2.8752612192391567
Angola,AGO,3,Male,70,lmx_scaled,-2.4842044835669284
Angola,AGO,3,Male,75,lmx_scaled,-2.142788353521705
Angola,AGO,3,Male,80,lmx_scaled,-1.7550304925837075
Angola,AGO,3,Male,85,lmx_scaled,-1.2989409130665752
Albania,ALB,2,Female,0,lmx_scaled,-6.743338618714127
Albania,ALB,2,Female,5,lmx_scaled,-8.830158299780624
Albania,ALB,2,Female,10,lmx_scaled,-9.045324640571947
Albania,ALB,2,Female,15,lmx_scaled,-7.880166013695547
Albania,ALB,2,Female,20,lmx_scaled,-8.983766924229649
Albania,ALB,2,Female,25,lmx_scaled,-8.428434656719949
Albania,ALB,2,Female,30,lmx_scaled,-9.135064806034645
Albania,ALB,2,Female,35,lmx_scaled,-8.314653915548483
Albania,ALB,2,Female,40,lmx_scaled,-7.743521808785962
Albania,ALB,2,Female,45,lmx_scaled,-7.157090899790094
Albania,ALB,2,Female,50,lmx_scaled,-6.578835356184686
Albania,ALB,2,Female,55,lmx_scaled,-6.089743502831874
Albania,ALB,2,Female,60,lmx_scaled,-5.986244446075168
Albania,ALB,2,Female,65,lmx_scaled,-5.3647062920742155
Albania,ALB,2,Female,70,lmx_scaled,-4.163511151548444
Albania,ALB,2,Female,75,lmx_scaled,-3.348581730812652
Albania,ALB,2,Female,80,lmx_scaled,-2.295247598171111
Albania,ALB,2,Female,85,lmx_scaled,-0.845742313136757
Albania,ALB,2,Male,0,lmx_scaled,-6.507715938330026
Albania,ALB,2,Male,5,lmx_scaled,-8.917204350578341
Albania,ALB,2,Male,10,lmx_scaled,-8.449863666815085
Albania,ALB,2,Male,15,lmx_scaled,-7.758026108186768
Albania,ALB,2,Male,20,lmx_scaled,-7.346400609220532
Albania,ALB,2,Male,25,lmx_scaled,-7.48231997413805
Albania,ALB,2,Male,30,lmx_scaled,-7.685332277470549
Albania,ALB,2,Male,35,lmx_scaled,-7.034613903569265
Albania,ALB,2,Male,40,lmx_scaled,-6.152752911353214
Albania,ALB,2,Male,45,lmx_scaled,-5.92007802521089
Albania,ALB,2,Male,50,lmx_scaled,-5.387842650813283
Albania,ALB,2,Male,55,lmx_scaled,-5.168336583249353
Albania,ALB,2,Male,60,lmx_scaled,-4.454501242691814
Albania,ALB,2,Male,65,lmx_scaled,-4.294575778893074
Albania,ALB,2,Male,70,lmx_scaled,-3.7636112494755536
Albania,ALB,2,Male,75,lmx_scaled,-3.0424022445792764
Albania,ALB,2,Male,80,lmx_scaled,-2.216089659196126
Albania,ALB,2,Male,85,lmx_scaled,-1.1340642174844267
Andorra,AND,2,Female,0,lmx_scaled,-7.906999448012983
Andorra,AND,2,Female,5,lmx_scaled,-14.39681788490725
Andorra,AND,2,Female,10,lmx_scaled,-14.332247703152714
Andorra,AND,2,Female,15,lmx_scaled,-14.274689100494175
Andorra,AND,2,Female,20,lmx_scaled,-14.229697626323064
Andorra,AND,2,Female,25,lmx_scaled,-7.832554831008443
Andorra,AND,2,Female,30,lmx_scaled,-8.07938068864959
Andorra,AND,2,Female,35,lmx_scaled,-7.719144285023657
Andorra,AND,2,Female,40,lmx_scaled,-7.467731029482779
Andorra,AND,2,Female,45,lmx_scaled,-7.00113161451359
Andorra,AND,2,Female,50,lmx_scaled,-6.449030690897722
Andorra,AND,2,Female,55,lmx_scaled,-6.028783524137231
Andorra,AND,2,Female,60,lmx_scaled,-5.667689656629794
Andorra,AND,2,Female,65,lmx_scaled,-5.139583259699362
Andorra,AND,2,Female,70,lmx_scaled,-4.708457307353051
Andorra,AND,2,Female,75,lmx_scaled,-4.075078222671629
Andorra,AND,2,Female,80,lmx_scaled,-3.6330633499789777
Andorra,AND,2,Female,85,lmx_scaled,-2.5598029277295264
Andorra,AND,2,Male,0,lmx_scaled,-7.952364897019412
Andorra,AND,2,Male,5,lmx_scaled,-14.376953842615437
Andorra,AND,2,Male,10,lmx_scaled,-14.301912584849392
Andorra,AND,2,Male,15,lmx_scaled,-8.063089380392732
Andorra,AND,2,Male,20,lmx_scaled,-8.019363265022976
Andorra,AND,2,Male,25,lmx_scaled,-7.241148873682045
Andorra,AND,2,Male,30,lmx_scaled,-7.384536968191164
Andorra,AND,2,Male,35,lmx_scaled,-6.985134334395469
Andorra,AND,2,Male,40,lmx_scaled,-6.759657618953238
Andorra,AND,2,Male,45,lmx_scaled,-6.315791484283234
Andorra,AND,2,Male,50,lmx_scaled,-5.8606083756859375
Andorra,AND,2,Male,55,lmx_scaled,-5.4487239800152665
Andorra,AND,2,Male,60,lmx_scaled,-4.969200099824009
Andorra,AND,2,Male,65,lmx_scaled,-4.520706539186418
Andorra,AND,2,Male,70,lmx_scaled,-4.017410409519878
Andorra,AND,2,Male,75,lmx_scaled,-3.5545619004118807
Andorra,AND,2,Male,80,lmx_scaled,-3.1005496756868802
Andorra,AND,2,Male,85,lmx_scaled,-2.359514702300811
United Arab Emirates,ARE,6,Female,0,lmx_scaled,-6.906765751785151
United Arab Emirates,ARE,6,Female,5,lmx_scaled,-8.92504393387244
United Arab Emirates,ARE,6,Female,10,lmx_scaled,-8.766977277455705
United Arab Emirates,ARE,6,Female,15,lmx_scaled,-8.207972291045134
United Arab Emirates,ARE,6,Female,20,lmx_scaled,-7.966584397416187
United Arab Emirates,ARE,6,Female,25,lmx_scaled,-7.758681177771618
United Arab Emirates,ARE,6,Female,30,lmx_scaled,-7.414160264684013
United Arab Emirates,ARE,6,Female,35,lmx_scaled,-6.968237069432007
United Arab Emirates,ARE,6,Female,40,lmx_scaled,-6.482343790627994
United Arab Emirates,ARE,6,Female,45,lmx_scaled,-5.993754086493168
United Arab Emirates,ARE,6,Female,50,lmx_scaled,-5.511856103781937
United Arab Emirates,ARE,6,Female,55,lmx_scaled,-5.04233355614539
United Arab Emirates,ARE,6,Female,60,lmx_scaled,-4.5676479197402635
United Arab Emirates,ARE,6,Female,65,lmx_scaled,-4.094905106684129
United Arab Emirates,ARE,6,Female,70,lmx_scaled,-3.5896456241444246
United Arab Emirates,ARE,6,Female,75,lmx_scaled,-3.075169965415073
United Arab Emirates,ARE,6,Female,80,lmx_scaled,-2.513928737358143
United Arab Emirates,ARE,6,Female,85,lmx_scaled,-1.6733055593808057
United Arab Emirates,ARE,6,Male,0,lmx_scaled,-6.748583092976912
United Arab Emirates,ARE,6,Male,5,lmx_scaled,-8.783210715372823
United Arab Emirates,ARE,6,Male,10,lmx_scaled,-8.658332485240487
United Arab Emirates,ARE,6,Male,15,lmx_scaled,-7.594052922092968
United Arab Emirates,ARE,6,Male,20,lmx_scaled,-7.161080103529377
United Arab Emirates,ARE,6,Male,25,lmx_scaled,-7.098523702060673
United Arab Emirates,ARE,6,Male,30,lmx_scaled,-6.980436632791501
United Arab Emirates,ARE,6,Male,35,lmx_scaled,-6.726877883416682
United Arab Emirates,ARE,6,Male,40,lmx_scaled,-6.313733346152061
United Arab Emirates,ARE,6,Male,45,lmx_scaled,-5.802986857341376
