Country,iso3,sex,age,predicted_dx_tag2,Nx,baseline_dx_tag1,observed,predicted_dx_tag1
Afghanistan,AFG,Female,0,26004.924635021674,2765103,33191.9314633766,NA,27857.7754247853
Afghanistan,AFG,Female,5,1067.1237518264813,2641593,1213.9796804314,NA,1162.16684940586
Afghanistan,AFG,Female,10,870.3244421521699,2540450,893.976668434837,NA,966.061412203317
Afghanistan,AFG,Female,15,2778.91976758822,2251504,2635.19940672724,NA,2846.00811132324
Afghanistan,AFG,Female,20,3739.5148355963374,1909206,3355.46015436394,NA,3469.58994446694
Afghanistan,AFG,Female,25,4048.2166800789987,1498590,3520.03313196217,NA,3591.95636329012
Afghanistan,AFG,Female,30,4246.737739884209,1179138,3644.9866890275,NA,3663.81796262765
Afghanistan,AFG,Female,35,5309.732256955336,988220,4543.0268877734,NA,4655.61730945658
Afghanistan,AFG,Female,40,6231.386103967109,790703,5328.30412038718,NA,5538.80293733647
Afghanistan,AFG,Female,45,7278.157435164994,627510,6199.93137211115,NA,6698.30645315369
Afghanistan,AFG,Female,50,8678.285229244766,503171,7315.37044249916,NA,8199.98992510903
Afghanistan,AFG,Female,55,10279.832976888158,396460,8520.20717973066,NA,10147.7307186769
Afghanistan,AFG,Female,60,11595.614872253525,307557,9420.2791436321,NA,11662.7107193491
Afghanistan,AFG,Female,65,12496.98740087892,229221,10034.888103181,NA,12897.0787994373
Afghanistan,AFG,Female,70,13687.208421073794,172197,11070.0724499255,NA,13885.7881648694
Afghanistan,AFG,Female,75,10308.223183336257,91107,8513.09600168629,NA,10427.7825836139
Afghanistan,AFG,Female,80,7154.463239116676,42490,6054.66016349049,NA,7497.68901365981
Afghanistan,AFG,Female,85,5036.022302425371,17856,4435.34333453011,NA,5642.80258068861
Afghanistan,AFG,Male,0,31138.235624954443,2907406,39505.6416841977,NA,34457.4007446513
Afghanistan,AFG,Male,5,1149.7332837096487,2774630,1317.59970336362,NA,1272.04379127935
Afghanistan,AFG,Male,10,978.9543593813498,2651664,1027.0572861223,NA,1038.04779391628
Afghanistan,AFG,Male,15,3508.128215539332,2377941,3437.74664316305,NA,3279.42426048449
Afghanistan,AFG,Male,20,4714.19656799361,2017279,4394.70803141944,NA,3862.77040299819
Afghanistan,AFG,Male,25,4471.631892865776,1610796,4017.81559506793,NA,3532.58284919104
Afghanistan,AFG,Male,30,4470.783736965387,1299121,3910.13204182465,NA,3622.05414128642
Afghanistan,AFG,Male,35,4991.514412141932,1068167,4283.97683044285,NA,4354.89138811312
Afghanistan,AFG,Male,40,6093.29490813402,868020,5162.71526021119,NA,5548.24326745358
Afghanistan,AFG,Male,45,6945.2604062463915,677226,5829.13423122624,NA,6608.25235889736
Afghanistan,AFG,Male,50,8355.058485009498,529188,6948.63683192532,NA,8254.06724152157
Afghanistan,AFG,Male,55,9690.698071027477,411379,7957.40823164782,NA,9960.08806546476
Afghanistan,AFG,Male,60,11099.467991673066,305081,8955.00492301488,NA,11307.9424414856
Afghanistan,AFG,Male,65,11557.366856972725,215637,9189.67379847902,NA,11712.1884008594
Afghanistan,AFG,Male,70,10908.1311333813,140254,8645.16073679598,NA,10834.2209488796
Afghanistan,AFG,Male,75,8555.56716417284,76897,6826.7309225933,NA,8549.60740018552
Afghanistan,AFG,Male,80,5477.449984637869,33115,4425.18450875244,NA,5638.84686816966
Afghanistan,AFG,Male,85,3771.797639307325,12464,3129.9342220997,NA,4044.59836927631
Angola,AGO,Female,0,34026.58018355797,2871490,41541.0395331682,NA,35829.5254517873
Angola,AGO,Female,5,4548.925898395783,2535920,4949.79970539418,NA,4806.14551757416
Angola,AGO,Female,10,2193.357700524443,2182666,2154.94703243299,NA,2344.51918659323
Angola,AGO,Female,15,1913.1986850367168,1780690,1735.32043638568,NA,1915.88852008835
Angola,AGO,Female,20,2660.645674623397,1458325,2283.52620319333,NA,2414.01392695309
Angola,AGO,Female,25,3634.8641786320127,1231078,3023.10561950474,NA,3110.27856914382
Angola,AGO,Female,30,4492.209454242604,1041425,3687.92970397875,NA,3780.20212338948
Angola,AGO,Female,35,4673.237928804905,850121,3824.48277680174,NA,3996.31214929967
Angola,AGO,Female,40,4779.715250455327,684932,3909.20548621747,NA,4158.79053164414
Angola,AGO,Female,45,4834.485676039754,561290,3939.10761895244,NA,4320.43464355009
Angola,AGO,Female,50,4727.311917646276,410848,3811.52518594993,NA,4423.39957209527
Angola,AGO,Female,55,5398.793567221151,344802,4279.99193213101,NA,5342.90858802874
Angola,AGO,Female,60,5727.304218622537,252683,4450.4340887203,NA,5844.25903570493
Angola,AGO,Female,65,5350.629888430004,158692,4109.54977554172,NA,5566.96924227861
Angola,AGO,Female,70,6366.167332210156,117389,4924.88126144837,NA,6553.09092202595
Angola,AGO,Female,75,5631.472235815898,69351,4448.44061320463,NA,5754.02459072236
Angola,AGO,Female,80,4900.824324998534,37897,3967.01627617173,NA,5210.61586345946
Angola,AGO,Female,85,3450.219292123523,15799,2906.48730183839,NA,3938.56497304221
Angola,AGO,Male,0,40892.66482284365,2923514,50070.1245269374,NA,44837.3577281787
Angola,AGO,Male,5,4844.0080389396135,2568244,5357.4654483475,NA,5286.91248365233
Angola,AGO,Male,10,3001.497404670544,2166595,3039.05342363005,NA,3117.50962022339
Angola,AGO,Male,15,2783.4457646401042,1751828,2632.38441843456,NA,2532.77496388056
Angola,AGO,Male,20,3460.9988619876117,1424241,3113.80875546746,NA,2792.99807443786
Angola,AGO,Male,25,3513.858387240615,1192393,3047.02732569271,NA,2732.52436357748
Angola,AGO,Male,30,4046.868707472268,999332,3415.82029609059,NA,3235.16044925074
Angola,AGO,Male,35,4719.604175929853,808851,3909.20548621747,NA,4003.81364424616
Angola,AGO,Male,40,5574.269960193718,645763,4558.08176656616,NA,4982.69618727967
Angola,AGO,Male,45,6161.335251799662,520750,4990.66595346529,NA,5749.49317961711
Angola,AGO,Male,50,6633.863563162153,376364,5324.57310233905,NA,6437.01128010006
Angola,AGO,Male,55,8375.393295975606,332588,6637.27672940391,NA,8361.88715858837
Angola,AGO,Male,60,8517.887543281482,229285,6632.29304061475,NA,8555.6815833432
Angola,AGO,Male,65,7877.753363376662,145237,6045.21450125165,NA,7871.03632307301
Angola,AGO,Male,70,7721.08624967444,95124,5905.67121515515,NA,7553.54170728448
Angola,AGO,Male,75,5682.1580723786155,49865,4375.67875688289,NA,5532.52318305931
Angola,AGO,Male,80,3835.138596204917,22040,2990.21327349628,NA,3880.32872216941
Angola,AGO,Male,85,2602.435520190489,8856,2084.17865162691,NA,2781.01692800016
Albania,ALB,Female,0,95.49988474218435,79714,100.102905984778,137.956021989006,84.2887757303114
Albania,ALB,Female,5,11.420913371914057,79822,11.20032514515,5.91240094238595,9.05809635675533
Albania,ALB,Female,10,9.137020166996187,75224,8.40024385886249,10.8394017277076,8.11033743895353
Albania,ALB,Female,15,37.100394350805196,93379,32.2009347923062,11.8248018847719,36.3828456946032
Albania,ALB,Female,20,14.341982249217379,110982,11.9003454667219,16.7518026700935,14.2536611150584
Albania,ALB,Female,25,25.136533690955815,115006,20.3005893255844,26.6058042407368,23.645033288612
Albania,ALB,Female,30,10.499652174479827,101291,8.4002438588625,45.3284072249589,9.89201946192552
Albania,ALB,Female,35,18.304193143370885,76191,14.7004267530094,55.1824087956022,17.6661843384288
Albania,ALB,Female,40,34.437544159913664,76614,28.000812862875,76.8612122510174,35.272042803275
Albania,ALB,Female,45,72.0300593560748,90245,59.5017273336093,130.072820732491,78.184059859882
Albania,ALB,Female,50,135.65362284344405,95681,113.403292094644,222.700435496538,152.127664872009
Albania,ALB,Female,55,234.56396109335395,103252,195.305669718553,358.685657171414,264.631219581972
Albania,ALB,Female,60,231.8043895500186,95295,188.305466502834,589.269293924467,270.982677597228
Albania,ALB,Female,65,329.2589238038738,73946,261.107579946309,767.626722353109,390.013163125001
Albania,ALB,Female,70,842.5136276395713,55690,667.119366457997,1141.09338188049,963.196612459276
Albania,ALB,Female,75,1540.7729466429632,45107,1239.73598950379,1900.83690297708,1673.97939156896
Albania,ALB,Female,80,2710.414870424458,28149,2223.96456163385,2645.79942171771,2739.67875486388
Albania,ALB,Female,85,7477.336594225505,17498,6297.38281286059,3956.38163061326,7058.86457347297
Albania,ALB,Male,0,131.3334784258113,86564,128.803739169225,171.459627329193,124.548813955603
Albania,ALB,Male,5,11.63367676816686,87732,10.5003048235781,9.85400157064325,10.3678500560956
Albania,ALB,Male,10,19.228418426912473,86957,16.1004673961531,13.7956021989005,16.3224067479344
Albania,ALB,Male,15,46.938388851531734,106218,37.1010770433094,28.5766045548654,40.1266138030749
Albania,ALB,Male,20,78.14883962968604,117374,59.5017273336094,51.2408081673449,67.0326989334795
Albania,ALB,Male,25,73.9248881160098,129317,55.3016054041781,59.1240094238595,61.3934089648965
Albania,ALB,Male,30,54.51446748599124,122633,40.6011786511687,89.6714142928536,47.3918308360829
Albania,ALB,Male,35,76.27527286350475,90658,56.7016460473219,129.087420575427,71.3890916618008
Albania,ALB,Male,40,162.09246768118388,75896,120.403495310362,171.459627329193,158.314314033773
Albania,ALB,Male,45,221.17342160026828,80264,165.904816212534,261.131041622046,223.716914657955
Albania,ALB,Male,50,418.0020263938528,88504,319.909286958347,437.51766973656,434.25956819904
Albania,ALB,Male,55,566.8637110122089,98654,438.212721303994,872.079139001928,604.780584578024
Albania,ALB,Male,60,1029.4345332767755,91164,784.722780482072,1235.69179695866,1109.35636311874
Albania,ALB,Male,65,911.8279137134973,69837,679.019711924719,1552.00524737631,1010.78583667239
Albania,ALB,Male,70,1190.4517797255296,52442,873.6253613217,1844.66909402442,1302.21725617461
Albania,ALB,Male,75,1939.1069259335668,41429,1418.94119182619,2596.5294138645,1998.01627474844
Albania,ALB,Male,80,2698.1711741314602,25727,1987.35769294255,3001.52887841793,2642.36118008921
Albania,ALB,Male,85,4151.192427860644,13344,3134.69099999886,2979.85007496252,3857.93280466546
Andorra,AND,Female,0,0.5231519509551243,1401,0.53203910107489,0.001401,0.516504664280656
Andorra,AND,Female,5,9.595303568122687e-4,1616,0.0999999999999999,0.001616,0.0963986475984945
Andorra,AND,Female,10,0.0012078386894470677,2021,0.1,0.002021,0.0993321916070325
Andorra,AND,Female,15,0.0011814705463894563,1877,0.1,0.001877,0.103284076821093
Andorra,AND,Female,20,0.0012179968831921592,1862,0.1,0.001862,0.104174948267511
Andorra,AND,Female,25,0.67899787956554,1679,0.53203910107489,0.001679,0.568927848327389
Andorra,AND,Female,30,0.6854166852614731,2055,0.53203910107489,0.002055,0.582939914210067
Andorra,AND,Female,35,1.365595557132492,2929,1.06407820214978,1.99049881235154,1.19788268464444
Andorra,AND,Female,40,2.0232715668801897,3473,1.59611730322467,1.99049881235154,1.82849205490421
Andorra,AND,Female,45,3.31913976977814,3678,2.66019550537445,2.98574821852731,3.04107880010918
Andorra,AND,Female,50,5.247676189537022,3372,4.25631280859912,1.99049881235154,4.79682764175143
Andorra,AND,Female,55,7.244533329513553,3105,5.8524301118238,7.96199524940618,6.66675210151271
Andorra,AND,Female,60,8.100489517139794,2478,6.38446921289869,11.9429928741093,7.50390885361885
Andorra,AND,Female,65,10.372432502665639,1853,7.98058651612336,8.95724465558195,9.74511567492254
Andorra,AND,Female,70,13.158253984824276,1524,10.1087429204229,12.938242280285,12.7146229304468
Andorra,AND,Female,75,18.401129053384206,1147,14.365055729022,13.9334916864608,18.3586966067546
Andorra,AND,Female,80,21.385979998646974,826,17.0252512343965,17.9144893111639,21.9771637336812
Andorra,AND,Female,85,86.59837375310973,1143,70.7612004429604,80.6152019002376,89.2069052014119
Andorra,AND,Male,0,0.5249290773617015,1487,0.532039101074891,0.995249406175772,0.506269818651808
Andorra,AND,Male,5,9.770699182143814e-4,1614,0.1,1.99049881235154,0.0913145802524761
Andorra,AND,Male,10,0.0012942267858275177,2078,0.1,0.002078,0.0937276928786899
Andorra,AND,Male,15,0.6513213425814369,2067,0.53203910107489,0.995249406175772,0.544008689375923
Andorra,AND,Male,20,0.6761555417279115,2070,0.53203910107489,0.995249406175772,0.570875564549356
Andorra,AND,Male,25,1.3763737029528385,1912,1.06407820214978,0.001912,1.18188476012602
Andorra,AND,Male,30,1.3824726885009588,2108,1.06407820214978,0.002108,1.21166332965377
Andorra,AND,Male,35,2.7701380969668765,2848,2.12815640429956,2.98574821852732,2.49437662438648
Andorra,AND,Male,40,4.158419337880561,3493,3.19223460644934,6.9667458432304,3.79928887299872
Andorra,AND,Male,45,6.863208720881266,3812,5.3203910107489,3.98099762470309,6.39078749151008
