Source,Country,Code,Year,Sex,Age,Deaths,best
eurs,Albania,ALB,2015,f,0,123,y
eurs,Albania,ALB,2015,f,5,24,y
eurs,Albania,ALB,2015,f,10,29.999999999999996,y
eurs,Albania,ALB,2015,f,15,40,y
eurs,Albania,ALB,2015,f,20,30.000000000000004,y
eurs,Albania,ALB,2015,f,25,42,y
eurs,Albania,ALB,2015,f,30,44.00000000000001,y
eurs,Albania,ALB,2015,f,35,58,y
eurs,Albania,ALB,2015,f,40,98,y
eurs,Albania,ALB,2015,f,45,151.99999999999997,y
eurs,Albania,ALB,2015,f,50,237,y
eurs,Albania,ALB,2015,f,55,297,y
eurs,Albania,ALB,2015,f,60,417.9999999999999,y
eurs,Albania,ALB,2015,f,65,606.0000000000001,y
eurs,Albania,ALB,2015,f,70,1145,y
eurs,Albania,ALB,2015,f,75,1729.0000000000005,y
eurs,Albania,ALB,2015,f,80,2151,y
eurs,Albania,ALB,2015,f,85,1748,y
eurs,Albania,ALB,2015,f,90,1695,y
eurs,Albania,ALB,2015,m,0,174,y
eurs,Albania,ALB,2015,m,5,16,y
eurs,Albania,ALB,2015,m,10,18.999999999999996,y
eurs,Albania,ALB,2015,m,15,76,y
eurs,Albania,ALB,2015,m,20,92,y
eurs,Albania,ALB,2015,m,25,89,y
eurs,Albania,ALB,2015,m,30,81,y
eurs,Albania,ALB,2015,m,35,102,y
eurs,Albania,ALB,2015,m,40,176,y
eurs,Albania,ALB,2015,m,45,271.99999999999994,y
eurs,Albania,ALB,2015,m,50,481,y
eurs,Albania,ALB,2015,m,55,681,y
eurs,Albania,ALB,2015,m,60,856.0000000000001,y
eurs,Albania,ALB,2015,m,65,1030.0000000000002,y
eurs,Albania,ALB,2015,m,70,1558.0000000000002,y
eurs,Albania,ALB,2015,m,75,2089,y
eurs,Albania,ALB,2015,m,80,2071,y
eurs,Albania,ALB,2015,m,85,1341,y
eurs,Albania,ALB,2015,m,90,722,y
eurs,Albania,ALB,2015,t,0,297,y
eurs,Albania,ALB,2015,t,5,40,y
eurs,Albania,ALB,2015,t,10,48.99999999999999,y
eurs,Albania,ALB,2015,t,15,116,y
eurs,Albania,ALB,2015,t,20,122,y
eurs,Albania,ALB,2015,t,25,131,y
eurs,Albania,ALB,2015,t,30,125,y
eurs,Albania,ALB,2015,t,35,160,y
eurs,Albania,ALB,2015,t,40,274,y
eurs,Albania,ALB,2015,t,45,423.99999999999994,y
eurs,Albania,ALB,2015,t,50,718,y
eurs,Albania,ALB,2015,t,55,978,y
eurs,Albania,ALB,2015,t,60,1274,y
eurs,Albania,ALB,2015,t,65,1636.0000000000002,y
eurs,Albania,ALB,2015,t,70,2703,y
eurs,Albania,ALB,2015,t,75,3818.000000000001,y
eurs,Albania,ALB,2015,t,80,4222,y
eurs,Albania,ALB,2015,t,85,3089,y
eurs,Albania,ALB,2015,t,90,2417,y
eurs,Albania,ALB,2016,f,0,156,y
eurs,Albania,ALB,2016,f,5,12,y
eurs,Albania,ALB,2016,f,10,20.999999999999996,y
eurs,Albania,ALB,2016,f,15,40.99999999999999,y
eurs,Albania,ALB,2016,f,20,31,y
eurs,Albania,ALB,2016,f,25,40,y
eurs,Albania,ALB,2016,f,30,39,y
eurs,Albania,ALB,2016,f,35,62,y
eurs,Albania,ALB,2016,f,40,81,y
eurs,Albania,ALB,2016,f,45,142,y
eurs,Albania,ALB,2016,f,50,195.99999999999997,y
eurs,Albania,ALB,2016,f,55,312,y
eurs,Albania,ALB,2016,f,60,451,y
eurs,Albania,ALB,2016,f,65,575,y
eurs,Albania,ALB,2016,f,70,912,y
eurs,Albania,ALB,2016,f,75,1652.0000000000005,y
eurs,Albania,ALB,2016,f,80,1940,y
eurs,Albania,ALB,2016,f,85,1788.9999999999995,y
eurs,Albania,ALB,2016,f,90,1611,y
eurs,Albania,ALB,2016,m,0,167,y
eurs,Albania,ALB,2016,m,5,17,y
eurs,Albania,ALB,2016,m,10,25,y
eurs,Albania,ALB,2016,m,15,44.00000000000001,y
eurs,Albania,ALB,2016,m,20,56.00000000000001,y
eurs,Albania,ALB,2016,m,25,79,y
eurs,Albania,ALB,2016,m,30,76,y
eurs,Albania,ALB,2016,m,35,114,y
eurs,Albania,ALB,2016,m,40,145,y
eurs,Albania,ALB,2016,m,45,252,y
eurs,Albania,ALB,2016,m,50,410,y
eurs,Albania,ALB,2016,m,55,654,y
eurs,Albania,ALB,2016,m,60,803,y
eurs,Albania,ALB,2016,m,65,1028.0000000000002,y
eurs,Albania,ALB,2016,m,70,1338,y
eurs,Albania,ALB,2016,m,75,2008,y
eurs,Albania,ALB,2016,m,80,2098,y
eurs,Albania,ALB,2016,m,85,1332,y
eurs,Albania,ALB,2016,m,90,608,y
eurs,Albania,ALB,2016,t,0,323,y
eurs,Albania,ALB,2016,t,5,29,y
eurs,Albania,ALB,2016,t,10,46,y
eurs,Albania,ALB,2016,t,15,85,y
eurs,Albania,ALB,2016,t,20,87,y
eurs,Albania,ALB,2016,t,25,119,y
eurs,Albania,ALB,2016,t,30,115,y
eurs,Albania,ALB,2016,t,35,176,y
