Country,Code,Year,Sex,Age,Deaths,Source
Brazil,BRA,2015,f,0,16630,country_public
Brazil,BRA,2015,f,1,1160,country_public
Brazil,BRA,2015,f,2,626,country_public
Brazil,BRA,2015,f,3,412,country_public
Brazil,BRA,2015,f,4,373,country_public
Brazil,BRA,2015,f,5,311,country_public
Brazil,BRA,2015,f,6,307,country_public
Brazil,BRA,2015,f,7,282,country_public
Brazil,BRA,2015,f,8,283,country_public
Brazil,BRA,2015,f,9,262,country_public
Brazil,BRA,2015,f,10,297,country_public
Brazil,BRA,2015,f,11,263,country_public
Brazil,BRA,2015,f,12,362,country_public
Brazil,BRA,2015,f,13,412,country_public
Brazil,BRA,2015,f,14,512,country_public
Brazil,BRA,2015,f,15,652,country_public
Brazil,BRA,2015,f,16,716,country_public
Brazil,BRA,2015,f,17,794,country_public
Brazil,BRA,2015,f,18,845,country_public
Brazil,BRA,2015,f,19,869,country_public
Brazil,BRA,2015,f,20,914,country_public
Brazil,BRA,2015,f,21,955,country_public
Brazil,BRA,2015,f,22,909,country_public
Brazil,BRA,2015,f,23,902,country_public
Brazil,BRA,2015,f,24,933,country_public
Brazil,BRA,2015,f,25,997,country_public
Brazil,BRA,2015,f,26,1127,country_public
Brazil,BRA,2015,f,27,1106,country_public
Brazil,BRA,2015,f,28,1159,country_public
Brazil,BRA,2015,f,29,1183,country_public
Brazil,BRA,2015,f,30,1311,country_public
Brazil,BRA,2015,f,31,1364,country_public
Brazil,BRA,2015,f,32,1580,country_public
Brazil,BRA,2015,f,33,1712,country_public
Brazil,BRA,2015,f,34,1796,country_public
Brazil,BRA,2015,f,35,1890,country_public
Brazil,BRA,2015,f,36,1992,country_public
Brazil,BRA,2015,f,37,2070,country_public
Brazil,BRA,2015,f,38,2227,country_public
Brazil,BRA,2015,f,39,2239,country_public
Brazil,BRA,2015,f,40,2397,country_public
Brazil,BRA,2015,f,41,2450,country_public
Brazil,BRA,2015,f,42,2684,country_public
Brazil,BRA,2015,f,43,2735,country_public
Brazil,BRA,2015,f,44,2898,country_public
Brazil,BRA,2015,f,45,3174,country_public
Brazil,BRA,2015,f,46,3322,country_public
Brazil,BRA,2015,f,47,3596,country_public
Brazil,BRA,2015,f,48,3834,country_public
Brazil,BRA,2015,f,49,4150,country_public
Brazil,BRA,2015,f,50,4523,country_public
Brazil,BRA,2015,f,51,4988,country_public
Brazil,BRA,2015,f,52,5018,country_public
Brazil,BRA,2015,f,53,5197,country_public
Brazil,BRA,2015,f,54,5343,country_public
Brazil,BRA,2015,f,55,5650,country_public
Brazil,BRA,2015,f,56,6077,country_public
Brazil,BRA,2015,f,57,6476,country_public
Brazil,BRA,2015,f,58,6625,country_public
Brazil,BRA,2015,f,59,7063,country_public
Brazil,BRA,2015,f,60,7385,country_public
Brazil,BRA,2015,f,61,7426,country_public
Brazil,BRA,2015,f,62,7797,country_public
Brazil,BRA,2015,f,63,7928,country_public
Brazil,BRA,2015,f,64,8386,country_public
Brazil,BRA,2015,f,65,8924,country_public
Brazil,BRA,2015,f,66,8898,country_public
Brazil,BRA,2015,f,67,9372,country_public
Brazil,BRA,2015,f,68,9344,country_public
Brazil,BRA,2015,f,69,9636,country_public
Brazil,BRA,2015,f,70,9741,country_public
Brazil,BRA,2015,f,71,10557,country_public
Brazil,BRA,2015,f,72,10793,country_public
Brazil,BRA,2015,f,73,10725,country_public
Brazil,BRA,2015,f,74,11093,country_public
Brazil,BRA,2015,f,75,12697,country_public
Brazil,BRA,2015,f,76,12549,country_public
Brazil,BRA,2015,f,77,12583,country_public
Brazil,BRA,2015,f,78,13324,country_public
Brazil,BRA,2015,f,79,14270,country_public
Brazil,BRA,2015,f,80,13925,country_public
Brazil,BRA,2015,f,81,13329,country_public
Brazil,BRA,2015,f,82,13833,country_public
Brazil,BRA,2015,f,83,14326,country_public
Brazil,BRA,2015,f,84,14754,country_public
Brazil,BRA,2015,f,85,15197,country_public
Brazil,BRA,2015,f,86,13986,country_public
