Country,Year,Sex,Age,Deaths,Code,Source
Chile,2016,f,0,730,CHL,country_public
Chile,2016,f,1,60,CHL,country_public
Chile,2016,f,2,24,CHL,country_public
Chile,2016,f,3,23,CHL,country_public
Chile,2016,f,4,19,CHL,country_public
Chile,2016,f,5,16,CHL,country_public
Chile,2016,f,6,18,CHL,country_public
Chile,2016,f,7,15,CHL,country_public
Chile,2016,f,8,18,CHL,country_public
Chile,2016,f,9,10,CHL,country_public
Chile,2016,f,10,16,CHL,country_public
Chile,2016,f,11,23,CHL,country_public
Chile,2016,f,12,12,CHL,country_public
Chile,2016,f,13,24,CHL,country_public
Chile,2016,f,14,17,CHL,country_public
Chile,2016,f,15,25,CHL,country_public
Chile,2016,f,16,36,CHL,country_public
Chile,2016,f,17,39,CHL,country_public
Chile,2016,f,18,37,CHL,country_public
Chile,2016,f,19,44,CHL,country_public
Chile,2016,f,20,44,CHL,country_public
Chile,2016,f,21,34,CHL,country_public
Chile,2016,f,22,44,CHL,country_public
Chile,2016,f,23,58,CHL,country_public
Chile,2016,f,24,62,CHL,country_public
Chile,2016,f,25,42,CHL,country_public
Chile,2016,f,26,35,CHL,country_public
Chile,2016,f,27,56,CHL,country_public
Chile,2016,f,28,54,CHL,country_public
Chile,2016,f,29,49,CHL,country_public
Chile,2016,f,30,64,CHL,country_public
Chile,2016,f,31,52,CHL,country_public
Chile,2016,f,32,59,CHL,country_public
Chile,2016,f,33,64,CHL,country_public
Chile,2016,f,34,75,CHL,country_public
Chile,2016,f,35,74,CHL,country_public
Chile,2016,f,36,68,CHL,country_public
Chile,2016,f,37,84,CHL,country_public
Chile,2016,f,38,87,CHL,country_public
Chile,2016,f,39,92,CHL,country_public
Chile,2016,f,40,99,CHL,country_public
Chile,2016,f,41,128,CHL,country_public
Chile,2016,f,42,123,CHL,country_public
Chile,2016,f,43,146,CHL,country_public
Chile,2016,f,44,162,CHL,country_public
Chile,2016,f,45,156,CHL,country_public
Chile,2016,f,46,184,CHL,country_public
Chile,2016,f,47,186,CHL,country_public
Chile,2016,f,48,223,CHL,country_public
Chile,2016,f,49,249,CHL,country_public
Chile,2016,f,50,288,CHL,country_public
Chile,2016,f,51,306,CHL,country_public
Chile,2016,f,52,327,CHL,country_public
Chile,2016,f,53,318,CHL,country_public
Chile,2016,f,54,363,CHL,country_public
Chile,2016,f,55,367,CHL,country_public
Chile,2016,f,56,429,CHL,country_public
Chile,2016,f,57,449,CHL,country_public
Chile,2016,f,58,462,CHL,country_public
Chile,2016,f,59,467,CHL,country_public
Chile,2016,f,60,522,CHL,country_public
Chile,2016,f,61,518,CHL,country_public
Chile,2016,f,62,556,CHL,country_public
Chile,2016,f,63,593,CHL,country_public
Chile,2016,f,64,606,CHL,country_public
Chile,2016,f,65,618,CHL,country_public
Chile,2016,f,66,670,CHL,country_public
Chile,2016,f,67,702,CHL,country_public
Chile,2016,f,68,764,CHL,country_public
Chile,2016,f,69,797,CHL,country_public
Chile,2016,f,70,865,CHL,country_public
Chile,2016,f,71,937,CHL,country_public
Chile,2016,f,72,928,CHL,country_public
Chile,2016,f,73,1015,CHL,country_public
Chile,2016,f,74,997,CHL,country_public
Chile,2016,f,75,1091,CHL,country_public
Chile,2016,f,76,1078,CHL,country_public
Chile,2016,f,77,1113,CHL,country_public
Chile,2016,f,78,1200,CHL,country_public
Chile,2016,f,79,1236,CHL,country_public
Chile,2016,f,80,1327,CHL,country_public
Chile,2016,f,81,1349,CHL,country_public
Chile,2016,f,82,1389,CHL,country_public
Chile,2016,f,83,1427,CHL,country_public
Chile,2016,f,84,1576,CHL,country_public
Chile,2016,f,85,1715,CHL,country_public
Chile,2016,f,86,1742,CHL,country_public
Chile,2016,f,87,1669,CHL,country_public
Chile,2016,f,88,1686,CHL,country_public
Chile,2016,f,89,1514,CHL,country_public
Chile,2016,f,90,1383,CHL,country_public
Chile,2016,f,91,1358,CHL,country_public
Chile,2016,f,92,1203,CHL,country_public
Chile,2016,f,93,1073,CHL,country_public
Chile,2016,f,94,901,CHL,country_public
Chile,2016,f,95,743,CHL,country_public
Chile,2016,f,96,624,CHL,country_public
Chile,2016,f,97,498,CHL,country_public
Chile,2016,f,98,395,CHL,country_public
Chile,2016,f,99,287,CHL,country_public
Chile,2016,f,100,739,CHL,country_public
Chile,2016,f,TOT,49239,CHL,country_public
Chile,2016,m,0,873,CHL,country_public
Chile,2016,m,1,43,CHL,country_public
Chile,2016,m,2,32,CHL,country_public
Chile,2016,m,3,28,CHL,country_public
Chile,2016,m,4,21,CHL,country_public
Chile,2016,m,5,24,CHL,country_public
Chile,2016,m,6,14,CHL,country_public
Chile,2016,m,7,16,CHL,country_public
Chile,2016,m,8,21,CHL,country_public
Chile,2016,m,9,13,CHL,country_public
Chile,2016,m,10,14,CHL,country_public
Chile,2016,m,11,16,CHL,country_public
Chile,2016,m,12,18,CHL,country_public
Chile,2016,m,13,23,CHL,country_public
Chile,2016,m,14,32,CHL,country_public
Chile,2016,m,15,41,CHL,country_public
Chile,2016,m,16,51,CHL,country_public
Chile,2016,m,17,71,CHL,country_public
Chile,2016,m,18,103,CHL,country_public
Chile,2016,m,19,121,CHL,country_public
Chile,2016,m,20,120,CHL,country_public
Chile,2016,m,21,136,CHL,country_public
Chile,2016,m,22,122,CHL,country_public
Chile,2016,m,23,146,CHL,country_public
Chile,2016,m,24,144,CHL,country_public
Chile,2016,m,25,129,CHL,country_public
Chile,2016,m,26,158,CHL,country_public
Chile,2016,m,27,181,CHL,country_public
Chile,2016,m,28,164,CHL,country_public
Chile,2016,m,29,170,CHL,country_public
Chile,2016,m,30,153,CHL,country_public
Chile,2016,m,31,163,CHL,country_public
Chile,2016,m,32,180,CHL,country_public
Chile,2016,m,33,166,CHL,country_public
Chile,2016,m,34,189,CHL,country_public
Chile,2016,m,35,194,CHL,country_public
Chile,2016,m,36,194,CHL,country_public
Chile,2016,m,37,222,CHL,country_public
Chile,2016,m,38,208,CHL,country_public
Chile,2016,m,39,191,CHL,country_public
Chile,2016,m,40,242,CHL,country_public
Chile,2016,m,41,264,CHL,country_public
Chile,2016,m,42,272,CHL,country_public
Chile,2016,m,43,287,CHL,country_public
Chile,2016,m,44,337,CHL,country_public
Chile,2016,m,45,301,CHL,country_public
Chile,2016,m,46,327,CHL,country_public
Chile,2016,m,47,349,CHL,country_public
Chile,2016,m,48,379,CHL,country_public
Chile,2016,m,49,423,CHL,country_public
Chile,2016,m,50,491,CHL,country_public
Chile,2016,m,51,527,CHL,country_public
Chile,2016,m,52,556,CHL,country_public
Chile,2016,m,53,593,CHL,country_public
Chile,2016,m,54,613,CHL,country_public
Chile,2016,m,55,615,CHL,country_public
Chile,2016,m,56,634,CHL,country_public
Chile,2016,m,57,723,CHL,country_public
Chile,2016,m,58,766,CHL,country_public
Chile,2016,m,59,762,CHL,country_public
Chile,2016,m,60,763,CHL,country_public
Chile,2016,m,61,873,CHL,country_public
Chile,2016,m,62,892,CHL,country_public
Chile,2016,m,63,888,CHL,country_public
Chile,2016,m,64,975,CHL,country_public
Chile,2016,m,65,951,CHL,country_public
