Country,Year,Sex,Age,Deaths,Code,Source
Colombia,2015,f,0,3086,COL,country_public
Colombia,2015,f,1,702,COL,country_public
Colombia,2015,f,5,355,COL,country_public
Colombia,2015,f,10,476,COL,country_public
Colombia,2015,f,15,873,COL,country_public
Colombia,2015,f,20,1098,COL,country_public
Colombia,2015,f,25,1125,COL,country_public
Colombia,2015,f,30,1316,COL,country_public
Colombia,2015,f,35,1628,COL,country_public
Colombia,2015,f,40,1979,COL,country_public
Colombia,2015,f,45,2708,COL,country_public
Colombia,2015,f,50,3785,COL,country_public
Colombia,2015,f,55,4854,COL,country_public
Colombia,2015,f,60,6005,COL,country_public
Colombia,2015,f,65,7193,COL,country_public
Colombia,2015,f,70,8764,COL,country_public
Colombia,2015,f,75,11777,COL,country_public
Colombia,2015,f,80,13718,COL,country_public
Colombia,2015,f,85,13324,COL,country_public
Colombia,2015,f,90,8609,COL,country_public
Colombia,2015,f,95,3630,COL,country_public
Colombia,2015,f,100,904,COL,country_public
Colombia,2015,f,TOT,97937,COL,country_public
Colombia,2015,m,0,4131,COL,country_public
Colombia,2015,m,1,796,COL,country_public
Colombia,2015,m,5,544,COL,country_public
Colombia,2015,m,10,680,COL,country_public
Colombia,2015,m,15,3039,COL,country_public
Colombia,2015,m,20,4612,COL,country_public
Colombia,2015,m,25,4095,COL,country_public
Colombia,2015,m,30,3864,COL,country_public
Colombia,2015,m,35,3530,COL,country_public
Colombia,2015,m,40,3349,COL,country_public
Colombia,2015,m,45,4007,COL,country_public
Colombia,2015,m,50,5444,COL,country_public
Colombia,2015,m,55,6634,COL,country_public
Colombia,2015,m,60,8204,COL,country_public
Colombia,2015,m,65,9687,COL,country_public
Colombia,2015,m,70,11189,COL,country_public
Colombia,2015,m,75,13294,COL,country_public
Colombia,2015,m,80,13421,COL,country_public
Colombia,2015,m,85,11575,COL,country_public
Colombia,2015,m,90,6115,COL,country_public
Colombia,2015,m,95,2117,COL,country_public
Colombia,2015,m,100,457,COL,country_public
Colombia,2015,m,TOT,120993,COL,country_public
Colombia,2015,t,0,7223,COL,country_public
Colombia,2015,t,1,1498,COL,country_public
Colombia,2015,t,5,901,COL,country_public
Colombia,2015,t,10,1156,COL,country_public
Colombia,2015,t,15,3912,COL,country_public
Colombia,2015,t,20,5714,COL,country_public
Colombia,2015,t,25,5222,COL,country_public
Colombia,2015,t,30,5186,COL,country_public
Colombia,2015,t,35,5160,COL,country_public
Colombia,2015,t,40,5332,COL,country_public
Colombia,2015,t,45,6719,COL,country_public
Colombia,2015,t,50,9229,COL,country_public
Colombia,2015,t,55,11488,COL,country_public
Colombia,2015,t,60,14209,COL,country_public
Colombia,2015,t,65,16880,COL,country_public
Colombia,2015,t,70,19953,COL,country_public
Colombia,2015,t,75,25071,COL,country_public
Colombia,2015,t,80,27139,COL,country_public
Colombia,2015,t,85,24899,COL,country_public
