"Country" "iso3" "sex" "age" "Nx" "deaths" "cluster" "lmx" "lmx.hat" "lmx.hatU" "lmx.hatL"
"1" "Albania" "ALB" "Female" 0 79714 137.956021989006 2 -6.35926555494386 -6.70766282735256 -6.58569770385052 -6.82962795085461
"2" "Albania" "ALB" "Female" 5 79822 5.91240094238595 2 -9.51050243491846 -8.53707782176 -8.32942326529228 -8.74473237822773
"3" "Albania" "ALB" "Female" 10 75224 10.8394017277076 2 -8.84503780463939 -8.91620832364333 -8.67417378821772 -9.15824285906894
"4" "Albania" "ALB" "Female" 15 93379 11.8248018847719 2 -8.97422257922918 -8.84476782319783 -8.64034286705683 -9.04919277933883
"5" "Albania" "ALB" "Female" 20 110982 16.7518026700935 2 -8.79861743040724 -8.6772005026749 -8.48405624175829 -8.87034476359151
"6" "Albania" "ALB" "Female" 25 115006 26.6058042407368 2 -8.37161018337394 -8.48210841437352 -8.30565411167876 -8.65856271706828
"7" "Albania" "ALB" "Female" 30 101291 45.3284072249589 2 -7.71181891426677 -8.23716348791743 -8.08121728378962 -8.39310969204524
"8" "Albania" "ALB" "Female" 35 76191 55.1824087956022 2 -7.23035440320865 -7.8583826885116 -7.69960347003461 -8.0171619069886
"9" "Albania" "ALB" "Female" 40 76614 76.8612122510174 2 -6.90453374944399 -7.35703892213513 -7.24987044183244 -7.46420740243781
"10" "Albania" "ALB" "Female" 45 90245 130.072820732491 2 -6.54218901989282 -6.85769772967718 -6.76005288890883 -6.95534257044553
"11" "Albania" "ALB" "Female" 50 95681 222.700435496538 2 -6.06294749084342 -6.4267278020087 -6.35999216670055 -6.49346343731684
"12" "Albania" "ALB" "Female" 55 103252 358.685657171414 2 -5.66248148293983 -6.00479102892949 -5.9431355858045 -6.06644647205448
"13" "Albania" "ALB" "Female" 60 95295 589.269293924467 2 -5.08584933789896 -5.5226328383273 -5.47633297287974 -5.56893270377486
"14" "Albania" "ALB" "Female" 65 73946 767.626722353109 2 -4.56778679968434 -4.92602047034426 -4.8811441737374 -4.97089676695113
"15" "Albania" "ALB" "Female" 70 55690 1141.09338188049 2 -3.88781368793162 -4.17732023555967 -4.14349292478356 -4.21114754633579
"16" "Albania" "ALB" "Female" 75 45107 1900.83690297708 2 -3.16674318066498 -3.31765785019739 -3.28487253691023 -3.35044316348454
"17" "Albania" "ALB" "Female" 80 28149 2645.79942171771 2 -2.36453857149604 -2.41779299738592 -2.3885122892653 -2.44707370550653
"18" "Albania" "ALB" "Female" 85 17498 3956.38163061326 2 -1.4867567107662 -1.17638232968378 -1.15390666371533 -1.19885799565223
"19" "Albania" "ALB" "Male" 0 86564 171.459627329193 2 -6.22429147399983 -6.36542667663249 -6.25712076367004 -6.47373258959493
"20" "Albania" "ALB" "Male" 5 87732 9.85400157064325 2 -9.09416436856812 -8.29620095243488 -8.10837310063161 -8.48402880423815
"21" "Albania" "ALB" "Male" 10 86957 13.7956021989005 2 -8.74881916244554 -8.40221157994239 -8.20958439134192 -8.59483876854285
"22" "Albania" "ALB" "Male" 15 106218 28.5766045548654 2 -8.22066050444771 -8.04648545408233 -7.89081647283756 -8.2021544353271
"23" "Albania" "ALB" "Male" 20 117374 51.2408081673449 2 -7.73658444767188 -7.69416669153019 -7.5686489786738 -7.81968440438659
"24" "Albania" "ALB" "Male" 25 129317 59.1240094238595 2 -7.69038494056117 -7.41313702365368 -7.29948975697171 -7.52678429033564
"25" "Albania" "ALB" "Male" 30 122633 89.6714142928536 2 -7.22079939725513 -7.15130401292332 -7.05780957537504 -7.2447984504716
"26" "Albania" "ALB" "Male" 35 90658 129.087420575427 2 -6.55435961008558 -6.77493077847607 -6.67719868116048 -6.87266287579166
