Country,Code,Year,Sex,Age,Deaths,Source
Ecuador,ECU,2015,t,0,3011,ecuador
Ecuador,ECU,2015,t,1,361,ecuador
Ecuador,ECU,2015,t,2,211,ecuador
Ecuador,ECU,2015,t,3,145,ecuador
Ecuador,ECU,2015,t,4,115,ecuador
Ecuador,ECU,2015,t,5,112,ecuador
Ecuador,ECU,2015,t,6,97,ecuador
Ecuador,ECU,2015,t,7,68,ecuador
Ecuador,ECU,2015,t,8,94,ecuador
Ecuador,ECU,2015,t,9,80,ecuador
Ecuador,ECU,2015,t,10,89,ecuador
Ecuador,ECU,2015,t,11,94,ecuador
Ecuador,ECU,2015,t,12,101,ecuador
Ecuador,ECU,2015,t,13,115,ecuador
Ecuador,ECU,2015,t,14,141,ecuador
Ecuador,ECU,2015,t,15,151,ecuador
Ecuador,ECU,2015,t,16,178,ecuador
Ecuador,ECU,2015,t,17,224,ecuador
Ecuador,ECU,2015,t,18,285,ecuador
Ecuador,ECU,2015,t,19,292,ecuador
Ecuador,ECU,2015,t,20,317,ecuador
Ecuador,ECU,2015,t,21,337,ecuador
Ecuador,ECU,2015,t,22,305,ecuador
Ecuador,ECU,2015,t,23,300,ecuador
Ecuador,ECU,2015,t,24,343,ecuador
Ecuador,ECU,2015,t,25,321,ecuador
Ecuador,ECU,2015,t,26,333,ecuador
Ecuador,ECU,2015,t,27,332,ecuador
Ecuador,ECU,2015,t,28,327,ecuador
Ecuador,ECU,2015,t,29,285,ecuador
Ecuador,ECU,2015,t,30,283,ecuador
Ecuador,ECU,2015,t,31,290,ecuador
Ecuador,ECU,2015,t,32,312,ecuador
Ecuador,ECU,2015,t,33,340,ecuador
Ecuador,ECU,2015,t,34,332,ecuador
Ecuador,ECU,2015,t,35,333,ecuador
Ecuador,ECU,2015,t,36,334,ecuador
Ecuador,ECU,2015,t,37,338,ecuador
Ecuador,ECU,2015,t,38,330,ecuador
Ecuador,ECU,2015,t,39,332,ecuador
Ecuador,ECU,2015,t,40,344,ecuador
Ecuador,ECU,2015,t,41,349,ecuador
Ecuador,ECU,2015,t,42,323,ecuador
Ecuador,ECU,2015,t,43,336,ecuador
Ecuador,ECU,2015,t,44,395,ecuador
Ecuador,ECU,2015,t,45,370,ecuador
Ecuador,ECU,2015,t,46,365,ecuador
Ecuador,ECU,2015,t,47,421,ecuador
Ecuador,ECU,2015,t,48,447,ecuador
Ecuador,ECU,2015,t,49,427,ecuador
Ecuador,ECU,2015,t,50,484,ecuador
Ecuador,ECU,2015,t,51,486,ecuador
Ecuador,ECU,2015,t,52,535,ecuador
Ecuador,ECU,2015,t,53,540,ecuador
Ecuador,ECU,2015,t,54,583,ecuador
Ecuador,ECU,2015,t,55,592,ecuador
Ecuador,ECU,2015,t,56,595,ecuador
Ecuador,ECU,2015,t,57,656,ecuador
Ecuador,ECU,2015,t,58,739,ecuador
Ecuador,ECU,2015,t,59,700,ecuador
Ecuador,ECU,2015,t,60,786,ecuador
Ecuador,ECU,2015,t,61,761,ecuador
Ecuador,ECU,2015,t,62,843,ecuador
Ecuador,ECU,2015,t,63,831,ecuador
Ecuador,ECU,2015,t,64,891,ecuador
Ecuador,ECU,2015,t,65,902,ecuador
Ecuador,ECU,2015,t,66,909,ecuador
Ecuador,ECU,2015,t,67,903,ecuador
Ecuador,ECU,2015,t,68,976,ecuador
Ecuador,ECU,2015,t,69,1032,ecuador
Ecuador,ECU,2015,t,70,997,ecuador
Ecuador,ECU,2015,t,71,1042,ecuador
Ecuador,ECU,2015,t,72,1040,ecuador
Ecuador,ECU,2015,t,73,1060,ecuador
Ecuador,ECU,2015,t,74,1194,ecuador
Ecuador,ECU,2015,t,75,1226,ecuador
Ecuador,ECU,2015,t,76,1229,ecuador
Ecuador,ECU,2015,t,77,1261,ecuador
Ecuador,ECU,2015,t,78,1331,ecuador
Ecuador,ECU,2015,t,79,1413,ecuador
Ecuador,ECU,2015,t,80,1371,ecuador
Ecuador,ECU,2015,t,81,1461,ecuador
Ecuador,ECU,2015,t,82,1421,ecuador
Ecuador,ECU,2015,t,83,1338,ecuador
Ecuador,ECU,2015,t,84,1574,ecuador
Ecuador,ECU,2015,t,85,1534,ecuador
Ecuador,ECU,2015,t,86,1583,ecuador
Ecuador,ECU,2015,t,87,1488,ecuador
Ecuador,ECU,2015,t,88,1323,ecuador
Ecuador,ECU,2015,t,89,1270,ecuador
Ecuador,ECU,2015,t,90,1238,ecuador
Ecuador,ECU,2015,t,91,1098,ecuador
Ecuador,ECU,2015,t,92,1036,ecuador
Ecuador,ECU,2015,t,93,1033,ecuador
Ecuador,ECU,2015,t,94,884,ecuador
Ecuador,ECU,2015,t,95,659,ecuador
Ecuador,ECU,2015,t,96,503,ecuador
Ecuador,ECU,2015,t,97,460,ecuador
Ecuador,ECU,2015,t,98,393,ecuador
Ecuador,ECU,2015,t,99,281,ecuador
Ecuador,ECU,2015,t,100,737,ecuador
Ecuador,ECU,2015,t,TOT,65391,ecuador
Ecuador,ECU,2016,t,0,3078,ecuador
Ecuador,ECU,2016,t,1,320,ecuador
Ecuador,ECU,2016,t,2,206,ecuador
Ecuador,ECU,2016,t,3,161,ecuador
Ecuador,ECU,2016,t,4,133,ecuador
Ecuador,ECU,2016,t,5,127,ecuador
Ecuador,ECU,2016,t,6,98,ecuador
Ecuador,ECU,2016,t,7,86,ecuador
Ecuador,ECU,2016,t,8,107,ecuador
Ecuador,ECU,2016,t,9,101,ecuador
Ecuador,ECU,2016,t,10,87,ecuador
Ecuador,ECU,2016,t,11,83,ecuador
Ecuador,ECU,2016,t,12,99,ecuador
Ecuador,ECU,2016,t,13,122,ecuador
Ecuador,ECU,2016,t,14,132,ecuador
Ecuador,ECU,2016,t,15,161,ecuador
Ecuador,ECU,2016,t,16,221,ecuador
Ecuador,ECU,2016,t,17,247,ecuador
Ecuador,ECU,2016,t,18,224,ecuador
Ecuador,ECU,2016,t,19,281,ecuador
Ecuador,ECU,2016,t,20,307,ecuador
Ecuador,ECU,2016,t,21,316,ecuador
