Country,Code,Year,Sex,Age,Deaths,Source
Belgium,BEL,2015,f,0,174,hmd
Belgium,BEL,2015,f,1,21,hmd
Belgium,BEL,2015,f,2,11,hmd
Belgium,BEL,2015,f,3,8,hmd
Belgium,BEL,2015,f,4,4,hmd
Belgium,BEL,2015,f,5,5,hmd
Belgium,BEL,2015,f,6,3,hmd
Belgium,BEL,2015,f,7,6,hmd
Belgium,BEL,2015,f,8,6,hmd
Belgium,BEL,2015,f,9,7,hmd
Belgium,BEL,2015,f,10,4,hmd
Belgium,BEL,2015,f,11,4,hmd
Belgium,BEL,2015,f,12,7,hmd
Belgium,BEL,2015,f,13,6,hmd
Belgium,BEL,2015,f,14,9,hmd
Belgium,BEL,2015,f,15,9,hmd
Belgium,BEL,2015,f,16,11,hmd
Belgium,BEL,2015,f,17,8,hmd
Belgium,BEL,2015,f,18,11,hmd
Belgium,BEL,2015,f,19,11,hmd
Belgium,BEL,2015,f,20,12,hmd
Belgium,BEL,2015,f,21,11,hmd
Belgium,BEL,2015,f,22,16,hmd
Belgium,BEL,2015,f,23,13,hmd
Belgium,BEL,2015,f,24,26,hmd
Belgium,BEL,2015,f,25,15,hmd
Belgium,BEL,2015,f,26,16,hmd
Belgium,BEL,2015,f,27,21,hmd
Belgium,BEL,2015,f,28,21,hmd
Belgium,BEL,2015,f,29,20,hmd
Belgium,BEL,2015,f,30,29,hmd
Belgium,BEL,2015,f,31,26,hmd
Belgium,BEL,2015,f,32,25,hmd
Belgium,BEL,2015,f,33,27,hmd
Belgium,BEL,2015,f,34,40,hmd
Belgium,BEL,2015,f,35,33,hmd
Belgium,BEL,2015,f,36,44,hmd
Belgium,BEL,2015,f,37,42,hmd
Belgium,BEL,2015,f,38,43,hmd
Belgium,BEL,2015,f,39,44,hmd
Belgium,BEL,2015,f,40,53,hmd
Belgium,BEL,2015,f,41,74,hmd
Belgium,BEL,2015,f,42,69,hmd
Belgium,BEL,2015,f,43,77,hmd
Belgium,BEL,2015,f,44,93,hmd
Belgium,BEL,2015,f,45,100,hmd
Belgium,BEL,2015,f,46,110,hmd
Belgium,BEL,2015,f,47,129,hmd
Belgium,BEL,2015,f,48,130,hmd
Belgium,BEL,2015,f,49,184,hmd
Belgium,BEL,2015,f,50,159,hmd
Belgium,BEL,2015,f,51,206,hmd
Belgium,BEL,2015,f,52,202,hmd
Belgium,BEL,2015,f,53,231,hmd
Belgium,BEL,2015,f,54,234,hmd
Belgium,BEL,2015,f,55,267,hmd
Belgium,BEL,2015,f,56,294,hmd
Belgium,BEL,2015,f,57,314,hmd
Belgium,BEL,2015,f,58,378,hmd
Belgium,BEL,2015,f,59,374,hmd
Belgium,BEL,2015,f,60,390,hmd
Belgium,BEL,2015,f,61,441,hmd
Belgium,BEL,2015,f,62,453,hmd
Belgium,BEL,2015,f,63,486,hmd
Belgium,BEL,2015,f,64,505,hmd
Belgium,BEL,2015,f,65,527,hmd
Belgium,BEL,2015,f,66,521,hmd
Belgium,BEL,2015,f,67,551,hmd
Belgium,BEL,2015,f,68,650,hmd
Belgium,BEL,2015,f,69,599,hmd
Belgium,BEL,2015,f,70,631,hmd
Belgium,BEL,2015,f,71,658,hmd
Belgium,BEL,2015,f,72,646,hmd
Belgium,BEL,2015,f,73,653,hmd
Belgium,BEL,2015,f,74,765,hmd
Belgium,BEL,2015,f,75,868,hmd
Belgium,BEL,2015,f,76,1052,hmd
Belgium,BEL,2015,f,77,1097,hmd
Belgium,BEL,2015,f,78,1150,hmd
Belgium,BEL,2015,f,79,1417,hmd
Belgium,BEL,2015,f,80,1499,hmd
Belgium,BEL,2015,f,81,1719,hmd
Belgium,BEL,2015,f,82,1860,hmd
Belgium,BEL,2015,f,83,2237,hmd
Belgium,BEL,2015,f,84,2333,hmd
Belgium,BEL,2015,f,85,2429,hmd
Belgium,BEL,2015,f,86,2529,hmd
Belgium,BEL,2015,f,87,2573,hmd
Belgium,BEL,2015,f,88,2768,hmd
Belgium,BEL,2015,f,89,2697,hmd
Belgium,BEL,2015,f,90,2684,hmd
Belgium,BEL,2015,f,91,2545,hmd
Belgium,BEL,2015,f,92,2267,hmd
Belgium,BEL,2015,f,93,2111,hmd
Belgium,BEL,2015,f,94,1875,hmd
Belgium,BEL,2015,f,95,1361,hmd
Belgium,BEL,2015,f,96,684,hmd
Belgium,BEL,2015,f,97,505,hmd
Belgium,BEL,2015,f,98,416,hmd
Belgium,BEL,2015,f,99,359,hmd
Belgium,BEL,2015,f,100,312,hmd
Belgium,BEL,2015,f,101,219,hmd
Belgium,BEL,2015,f,102,129,hmd
Belgium,BEL,2015,f,103,109,hmd
Belgium,BEL,2015,f,104,49,hmd
Belgium,BEL,2015,f,105,22,hmd
Belgium,BEL,2015,f,106,19,hmd
Belgium,BEL,2015,f,107,9,hmd
Belgium,BEL,2015,f,108,2,hmd
Belgium,BEL,2015,f,109,1,hmd
Belgium,BEL,2015,f,110,1,hmd
Belgium,BEL,2015,f,TOT,56910,hmd
Belgium,BEL,2016,f,0,140,hmd
Belgium,BEL,2016,f,1,15,hmd
Belgium,BEL,2016,f,2,7,hmd
Belgium,BEL,2016,f,3,13,hmd
Belgium,BEL,2016,f,4,10,hmd
Belgium,BEL,2016,f,5,8,hmd
Belgium,BEL,2016,f,6,3,hmd
Belgium,BEL,2016,f,7,5,hmd
Belgium,BEL,2016,f,8,6,hmd
Belgium,BEL,2016,f,9,1,hmd
Belgium,BEL,2016,f,10,2,hmd
Belgium,BEL,2016,f,11,4,hmd
Belgium,BEL,2016,f,12,2,hmd
Belgium,BEL,2016,f,13,2,hmd
Belgium,BEL,2016,f,14,4,hmd
Belgium,BEL,2016,f,15,3,hmd
Belgium,BEL,2016,f,16,5,hmd
Belgium,BEL,2016,f,17,13,hmd
Belgium,BEL,2016,f,18,14,hmd
Belgium,BEL,2016,f,19,16,hmd
Belgium,BEL,2016,f,20,10,hmd
Belgium,BEL,2016,f,21,19,hmd
Belgium,BEL,2016,f,22,8,hmd
Belgium,BEL,2016,f,23,15,hmd
Belgium,BEL,2016,f,24,14,hmd
Belgium,BEL,2016,f,25,15,hmd
Belgium,BEL,2016,f,26,20,hmd
Belgium,BEL,2016,f,27,19,hmd
Belgium,BEL,2016,f,28,26,hmd
Belgium,BEL,2016,f,29,31,hmd
Belgium,BEL,2016,f,30,27,hmd
Belgium,BEL,2016,f,31,21,hmd
Belgium,BEL,2016,f,32,35,hmd
Belgium,BEL,2016,f,33,29,hmd
Belgium,BEL,2016,f,34,31,hmd
Belgium,BEL,2016,f,35,41,hmd
Belgium,BEL,2016,f,36,37,hmd
Belgium,BEL,2016,f,37,45,hmd
Belgium,BEL,2016,f,38,37,hmd
Belgium,BEL,2016,f,39,41,hmd
Belgium,BEL,2016,f,40,43,hmd
Belgium,BEL,2016,f,41,66,hmd
Belgium,BEL,2016,f,42,56,hmd
Belgium,BEL,2016,f,43,79,hmd
Belgium,BEL,2016,f,44,79,hmd
Belgium,BEL,2016,f,45,112,hmd
Belgium,BEL,2016,f,46,112,hmd
Belgium,BEL,2016,f,47,111,hmd
Belgium,BEL,2016,f,48,120,hmd
Belgium,BEL,2016,f,49,171,hmd
Belgium,BEL,2016,f,50,177,hmd
Belgium,BEL,2016,f,51,167,hmd
Belgium,BEL,2016,f,52,217,hmd
Belgium,BEL,2016,f,53,215,hmd
Belgium,BEL,2016,f,54,270,hmd
Belgium,BEL,2016,f,55,236,hmd
Belgium,BEL,2016,f,56,290,hmd
Belgium,BEL,2016,f,57,299,hmd
Belgium,BEL,2016,f,58,328,hmd
Belgium,BEL,2016,f,59,331,hmd
Belgium,BEL,2016,f,60,389,hmd
Belgium,BEL,2016,f,61,415,hmd
Belgium,BEL,2016,f,62,452,hmd
Belgium,BEL,2016,f,63,441,hmd
Belgium,BEL,2016,f,64,477,hmd
Belgium,BEL,2016,f,65,496,hmd
Belgium,BEL,2016,f,66,526,hmd
Belgium,BEL,2016,f,67,547,hmd
Belgium,BEL,2016,f,68,584,hmd
Belgium,BEL,2016,f,69,666,hmd
