Year,Age,Code,Sex,Deaths,Country,Source
2015,0,BEL,f,174,Belgium,hmd
2015,1,BEL,f,21,Belgium,hmd
2015,2,BEL,f,11,Belgium,hmd
2015,3,BEL,f,8,Belgium,hmd
2015,4,BEL,f,4,Belgium,hmd
2015,5,BEL,f,5,Belgium,hmd
2015,6,BEL,f,3,Belgium,hmd
2015,7,BEL,f,6,Belgium,hmd
2015,8,BEL,f,6,Belgium,hmd
2015,9,BEL,f,7,Belgium,hmd
2015,10,BEL,f,4,Belgium,hmd
2015,11,BEL,f,4,Belgium,hmd
2015,12,BEL,f,7,Belgium,hmd
2015,13,BEL,f,6,Belgium,hmd
2015,14,BEL,f,9,Belgium,hmd
2015,15,BEL,f,9,Belgium,hmd
2015,16,BEL,f,11,Belgium,hmd
2015,17,BEL,f,8,Belgium,hmd
2015,18,BEL,f,11,Belgium,hmd
2015,19,BEL,f,11,Belgium,hmd
2015,20,BEL,f,12,Belgium,hmd
2015,21,BEL,f,11,Belgium,hmd
2015,22,BEL,f,16,Belgium,hmd
2015,23,BEL,f,13,Belgium,hmd
2015,24,BEL,f,26,Belgium,hmd
2015,25,BEL,f,15,Belgium,hmd
2015,26,BEL,f,16,Belgium,hmd
2015,27,BEL,f,21,Belgium,hmd
2015,28,BEL,f,21,Belgium,hmd
2015,29,BEL,f,20,Belgium,hmd
2015,30,BEL,f,29,Belgium,hmd
2015,31,BEL,f,26,Belgium,hmd
2015,32,BEL,f,25,Belgium,hmd
2015,33,BEL,f,27,Belgium,hmd
2015,34,BEL,f,40,Belgium,hmd
2015,35,BEL,f,33,Belgium,hmd
2015,36,BEL,f,44,Belgium,hmd
2015,37,BEL,f,42,Belgium,hmd
2015,38,BEL,f,43,Belgium,hmd
2015,39,BEL,f,44,Belgium,hmd
2015,40,BEL,f,53,Belgium,hmd
2015,41,BEL,f,74,Belgium,hmd
2015,42,BEL,f,69,Belgium,hmd
2015,43,BEL,f,77,Belgium,hmd
2015,44,BEL,f,93,Belgium,hmd
2015,45,BEL,f,100,Belgium,hmd
2015,46,BEL,f,110,Belgium,hmd
2015,47,BEL,f,129,Belgium,hmd
2015,48,BEL,f,130,Belgium,hmd
2015,49,BEL,f,184,Belgium,hmd
2015,50,BEL,f,159,Belgium,hmd
2015,51,BEL,f,206,Belgium,hmd
2015,52,BEL,f,202,Belgium,hmd
2015,53,BEL,f,231,Belgium,hmd
2015,54,BEL,f,234,Belgium,hmd
2015,55,BEL,f,267,Belgium,hmd
2015,56,BEL,f,294,Belgium,hmd
2015,57,BEL,f,314,Belgium,hmd
2015,58,BEL,f,378,Belgium,hmd
2015,59,BEL,f,374,Belgium,hmd
2015,60,BEL,f,390,Belgium,hmd
2015,61,BEL,f,441,Belgium,hmd
2015,62,BEL,f,453,Belgium,hmd
2015,63,BEL,f,486,Belgium,hmd
2015,64,BEL,f,505,Belgium,hmd
2015,65,BEL,f,527,Belgium,hmd
2015,66,BEL,f,521,Belgium,hmd
2015,67,BEL,f,551,Belgium,hmd
2015,68,BEL,f,650,Belgium,hmd
2015,69,BEL,f,599,Belgium,hmd
2015,70,BEL,f,631,Belgium,hmd
2015,71,BEL,f,658,Belgium,hmd
2015,72,BEL,f,646,Belgium,hmd
2015,73,BEL,f,653,Belgium,hmd
2015,74,BEL,f,765,Belgium,hmd
2015,75,BEL,f,868,Belgium,hmd
2015,76,BEL,f,1052,Belgium,hmd
2015,77,BEL,f,1097,Belgium,hmd
2015,78,BEL,f,1150,Belgium,hmd
2015,79,BEL,f,1417,Belgium,hmd
2015,80,BEL,f,1499,Belgium,hmd
2015,81,BEL,f,1719,Belgium,hmd
2015,82,BEL,f,1860,Belgium,hmd
2015,83,BEL,f,2237,Belgium,hmd
2015,84,BEL,f,2333,Belgium,hmd
2015,85,BEL,f,2429,Belgium,hmd
2015,86,BEL,f,2529,Belgium,hmd
2015,87,BEL,f,2573,Belgium,hmd
2015,88,BEL,f,2768,Belgium,hmd
2015,89,BEL,f,2697,Belgium,hmd
2015,90,BEL,f,2684,Belgium,hmd
2015,91,BEL,f,2545,Belgium,hmd
2015,92,BEL,f,2267,Belgium,hmd
2015,93,BEL,f,2111,Belgium,hmd
2015,94,BEL,f,1875,Belgium,hmd
2015,95,BEL,f,1361,Belgium,hmd
2015,96,BEL,f,684,Belgium,hmd
2015,97,BEL,f,505,Belgium,hmd
2015,98,BEL,f,416,Belgium,hmd
2015,99,BEL,f,359,Belgium,hmd
2015,100,BEL,f,312,Belgium,hmd
2015,101,BEL,f,219,Belgium,hmd
2015,102,BEL,f,129,Belgium,hmd
2015,103,BEL,f,109,Belgium,hmd
2015,104,BEL,f,49,Belgium,hmd
2015,105,BEL,f,22,Belgium,hmd
2015,106,BEL,f,19,Belgium,hmd
2015,107,BEL,f,9,Belgium,hmd
2015,108,BEL,f,2,Belgium,hmd
2015,109,BEL,f,1,Belgium,hmd
2015,110,BEL,f,1,Belgium,hmd
2015,TOT,BEL,f,56910,Belgium,hmd
2016,0,BEL,f,140,Belgium,hmd
2016,1,BEL,f,15,Belgium,hmd
2016,2,BEL,f,7,Belgium,hmd
2016,3,BEL,f,13,Belgium,hmd
2016,4,BEL,f,10,Belgium,hmd
2016,5,BEL,f,8,Belgium,hmd
2016,6,BEL,f,3,Belgium,hmd
2016,7,BEL,f,5,Belgium,hmd
2016,8,BEL,f,6,Belgium,hmd
2016,9,BEL,f,1,Belgium,hmd
2016,10,BEL,f,2,Belgium,hmd
2016,11,BEL,f,4,Belgium,hmd
2016,12,BEL,f,2,Belgium,hmd
2016,13,BEL,f,2,Belgium,hmd
2016,14,BEL,f,4,Belgium,hmd
2016,15,BEL,f,3,Belgium,hmd
2016,16,BEL,f,5,Belgium,hmd
2016,17,BEL,f,13,Belgium,hmd
2016,18,BEL,f,14,Belgium,hmd
2016,19,BEL,f,16,Belgium,hmd
2016,20,BEL,f,10,Belgium,hmd
2016,21,BEL,f,19,Belgium,hmd
2016,22,BEL,f,8,Belgium,hmd
2016,23,BEL,f,15,Belgium,hmd
2016,24,BEL,f,14,Belgium,hmd
2016,25,BEL,f,15,Belgium,hmd
2016,26,BEL,f,20,Belgium,hmd
2016,27,BEL,f,19,Belgium,hmd
2016,28,BEL,f,26,Belgium,hmd
2016,29,BEL,f,31,Belgium,hmd
2016,30,BEL,f,27,Belgium,hmd
2016,31,BEL,f,21,Belgium,hmd
2016,32,BEL,f,35,Belgium,hmd
2016,33,BEL,f,29,Belgium,hmd
2016,34,BEL,f,31,Belgium,hmd
2016,35,BEL,f,41,Belgium,hmd
2016,36,BEL,f,37,Belgium,hmd
2016,37,BEL,f,45,Belgium,hmd
2016,38,BEL,f,37,Belgium,hmd
2016,39,BEL,f,41,Belgium,hmd
2016,40,BEL,f,43,Belgium,hmd
2016,41,BEL,f,66,Belgium,hmd
2016,42,BEL,f,56,Belgium,hmd
2016,43,BEL,f,79,Belgium,hmd
2016,44,BEL,f,79,Belgium,hmd
2016,45,BEL,f,112,Belgium,hmd
2016,46,BEL,f,112,Belgium,hmd
2016,47,BEL,f,111,Belgium,hmd
2016,48,BEL,f,120,Belgium,hmd
2016,49,BEL,f,171,Belgium,hmd
2016,50,BEL,f,177,Belgium,hmd
2016,51,BEL,f,167,Belgium,hmd
2016,52,BEL,f,217,Belgium,hmd
2016,53,BEL,f,215,Belgium,hmd
2016,54,BEL,f,270,Belgium,hmd
2016,55,BEL,f,236,Belgium,hmd
2016,56,BEL,f,290,Belgium,hmd
2016,57,BEL,f,299,Belgium,hmd
2016,58,BEL,f,328,Belgium,hmd
2016,59,BEL,f,331,Belgium,hmd
2016,60,BEL,f,389,Belgium,hmd
2016,61,BEL,f,415,Belgium,hmd
2016,62,BEL,f,452,Belgium,hmd
2016,63,BEL,f,441,Belgium,hmd
2016,64,BEL,f,477,Belgium,hmd
2016,65,BEL,f,496,Belgium,hmd
2016,66,BEL,f,526,Belgium,hmd
2016,67,BEL,f,547,Belgium,hmd
2016,68,BEL,f,584,Belgium,hmd
2016,69,BEL,f,666,Belgium,hmd
2016,70,BEL,f,673,Belgium,hmd
2016,71,BEL,f,659,Belgium,hmd
2016,72,BEL,f,695,Belgium,hmd
2016,73,BEL,f,694,Belgium,hmd
2016,74,BEL,f,676,Belgium,hmd
2016,75,BEL,f,754,Belgium,hmd
2016,76,BEL,f,997,Belgium,hmd
2016,77,BEL,f,1038,Belgium,hmd
2016,78,BEL,f,1178,Belgium,hmd
2016,79,BEL,f,1246,Belgium,hmd
2016,80,BEL,f,1370,Belgium,hmd
2016,81,BEL,f,1574,Belgium,hmd
2016,82,BEL,f,1784,Belgium,hmd
2016,83,BEL,f,1977,Belgium,hmd
2016,84,BEL,f,2214,Belgium,hmd
2016,85,BEL,f,2437,Belgium,hmd
2016,86,BEL,f,2436,Belgium,hmd
2016,87,BEL,f,2568,Belgium,hmd
2016,88,BEL,f,2587,Belgium,hmd
2016,89,BEL,f,2546,Belgium,hmd
2016,90,BEL,f,2477,Belgium,hmd
2016,91,BEL,f,2416,Belgium,hmd
2016,92,BEL,f,2185,Belgium,hmd
2016,93,BEL,f,2022,Belgium,hmd
2016,94,BEL,f,1770,Belgium,hmd
2016,95,BEL,f,1422,Belgium,hmd
2016,96,BEL,f,1179,Belgium,hmd
2016,97,BEL,f,599,Belgium,hmd
2016,98,BEL,f,363,Belgium,hmd
2016,99,BEL,f,257,Belgium,hmd
2016,100,BEL,f,215,Belgium,hmd
2016,101,BEL,f,181,Belgium,hmd
2016,102,BEL,f,129,Belgium,hmd
2016,103,BEL,f,82,Belgium,hmd
2016,104,BEL,f,53,Belgium,hmd
2016,105,BEL,f,21,Belgium,hmd
2016,106,BEL,f,17,Belgium,hmd
2016,107,BEL,f,9,Belgium,hmd
2016,108,BEL,f,3,Belgium,hmd
2016,109,BEL,f,0,Belgium,hmd
2016,110,BEL,f,2,Belgium,hmd
2016,TOT,BEL,f,54771,Belgium,hmd
2017,0,BEL,f,188,Belgium,hmd
2017,1,BEL,f,17,Belgium,hmd
2017,2,BEL,f,9,Belgium,hmd
2017,3,BEL,f,2,Belgium,hmd
2017,4,BEL,f,5,Belgium,hmd
2017,5,BEL,f,7,Belgium,hmd
2017,6,BEL,f,2,Belgium,hmd
2017,7,BEL,f,3,Belgium,hmd
2017,8,BEL,f,6,Belgium,hmd
2017,9,BEL,f,6,Belgium,hmd
2017,10,BEL,f,3,Belgium,hmd
2017,11,BEL,f,6,Belgium,hmd
2017,12,BEL,f,6,Belgium,hmd
2017,13,BEL,f,4,Belgium,hmd
2017,14,BEL,f,5,Belgium,hmd
2017,15,BEL,f,4,Belgium,hmd
2017,16,BEL,f,7,Belgium,hmd
2017,17,BEL,f,14,Belgium,hmd
2017,18,BEL,f,17,Belgium,hmd
2017,19,BEL,f,11,Belgium,hmd
2017,20,BEL,f,10,Belgium,hmd
2017,21,BEL,f,12,Belgium,hmd
2017,22,BEL,f,19,Belgium,hmd
2017,23,BEL,f,17,Belgium,hmd
2017,24,BEL,f,15,Belgium,hmd
2017,25,BEL,f,12,Belgium,hmd
2017,26,BEL,f,19,Belgium,hmd
2017,27,BEL,f,20,Belgium,hmd
2017,28,BEL,f,18,Belgium,hmd
2017,29,BEL,f,20,Belgium,hmd
2017,30,BEL,f,24,Belgium,hmd
2017,31,BEL,f,32,Belgium,hmd
2017,32,BEL,f,33,Belgium,hmd
2017,33,BEL,f,25,Belgium,hmd
2017,34,BEL,f,31,Belgium,hmd
2017,35,BEL,f,45,Belgium,hmd
2017,36,BEL,f,42,Belgium,hmd
2017,37,BEL,f,47,Belgium,hmd
2017,38,BEL,f,31,Belgium,hmd
2017,39,BEL,f,55,Belgium,hmd
2017,40,BEL,f,52,Belgium,hmd
2017,41,BEL,f,50,Belgium,hmd
2017,42,BEL,f,55,Belgium,hmd
2017,43,BEL,f,59,Belgium,hmd
2017,44,BEL,f,88,Belgium,hmd
2017,45,BEL,f,92,Belgium,hmd
2017,46,BEL,f,97,Belgium,hmd
2017,47,BEL,f,135,Belgium,hmd
2017,48,BEL,f,142,Belgium,hmd
2017,49,BEL,f,142,Belgium,hmd
2017,50,BEL,f,142,Belgium,hmd
2017,51,BEL,f,158,Belgium,hmd
2017,52,BEL,f,198,Belgium,hmd
2017,53,BEL,f,212,Belgium,hmd
2017,54,BEL,f,257,Belgium,hmd
2017,55,BEL,f,240,Belgium,hmd
2017,56,BEL,f,260,Belgium,hmd
2017,57,BEL,f,324,Belgium,hmd
2017,58,BEL,f,313,Belgium,hmd
2017,59,BEL,f,304,Belgium,hmd
2017,60,BEL,f,380,Belgium,hmd
2017,61,BEL,f,367,Belgium,hmd
2017,62,BEL,f,503,Belgium,hmd
2017,63,BEL,f,435,Belgium,hmd
2017,64,BEL,f,482,Belgium,hmd
2017,65,BEL,f,519,Belgium,hmd
2017,66,BEL,f,516,Belgium,hmd
2017,67,BEL,f,548,Belgium,hmd
2017,68,BEL,f,584,Belgium,hmd
2017,69,BEL,f,677,Belgium,hmd
2017,70,BEL,f,751,Belgium,hmd
2017,71,BEL,f,735,Belgium,hmd
2017,72,BEL,f,721,Belgium,hmd
2017,73,BEL,f,829,Belgium,hmd
2017,74,BEL,f,753,Belgium,hmd
2017,75,BEL,f,740,Belgium,hmd
2017,76,BEL,f,863,Belgium,hmd
2017,77,BEL,f,1017,Belgium,hmd
2017,78,BEL,f,1214,Belgium,hmd
2017,79,BEL,f,1274,Belgium,hmd
2017,80,BEL,f,1353,Belgium,hmd
2017,81,BEL,f,1546,Belgium,hmd
2017,82,BEL,f,1752,Belgium,hmd
2017,83,BEL,f,1912,Belgium,hmd
2017,84,BEL,f,2096,Belgium,hmd
2017,85,BEL,f,2456,Belgium,hmd
2017,86,BEL,f,2596,Belgium,hmd
2017,87,BEL,f,2585,Belgium,hmd
2017,88,BEL,f,2599,Belgium,hmd
2017,89,BEL,f,2658,Belgium,hmd
2017,90,BEL,f,2548,Belgium,hmd
2017,91,BEL,f,2472,Belgium,hmd
2017,92,BEL,f,2330,Belgium,hmd
2017,93,BEL,f,2040,Belgium,hmd
2017,94,BEL,f,1821,Belgium,hmd
2017,95,BEL,f,1548,Belgium,hmd
2017,96,BEL,f,1210,Belgium,hmd
2017,97,BEL,f,903,Belgium,hmd
2017,98,BEL,f,427,Belgium,hmd
2017,99,BEL,f,241,Belgium,hmd
2017,100,BEL,f,204,Belgium,hmd
2017,101,BEL,f,164,Belgium,hmd
2017,102,BEL,f,122,Belgium,hmd
2017,103,BEL,f,65,Belgium,hmd
2017,104,BEL,f,56,Belgium,hmd
2017,105,BEL,f,30,Belgium,hmd
2017,106,BEL,f,14,Belgium,hmd
2017,107,BEL,f,8,Belgium,hmd
