Country,Code,Year,Sex,Age,Deaths,Source
Iran,IRN,2015,f,0,12577.857142857143,wmd
Iran,IRN,2015,f,5,2701,wmd
Iran,IRN,2015,f,10,1673.7142857142858,wmd
Iran,IRN,2015,f,15,1876,wmd
Iran,IRN,2015,f,20,2091.1428571428573,wmd
Iran,IRN,2015,f,25,2908.285714285714,wmd
Iran,IRN,2015,f,30,2976.5714285714284,wmd
Iran,IRN,2015,f,35,2803.4285714285716,wmd
Iran,IRN,2015,f,40,2969.714285714286,wmd
Iran,IRN,2015,f,45,3875.142857142857,wmd
Iran,IRN,2015,f,50,5093.142857142857,wmd
Iran,IRN,2015,f,55,7316.857142857143,wmd
Iran,IRN,2015,f,60,9674.857142857143,wmd
Iran,IRN,2015,f,65,11154.714285714286,wmd
Iran,IRN,2015,f,70,13848.857142857143,wmd
Iran,IRN,2015,f,75,19698.571428571428,wmd
Iran,IRN,2015,f,80,24046.571428571428,wmd
Iran,IRN,2015,f,85,33026.142857142855,wmd
Iran,IRN,2015,f,TOT,160312.57142857142,wmd
Iran,IRN,2015,m,0,8889,wmd
Iran,IRN,2015,m,5,1900.857142857143,wmd
Iran,IRN,2015,m,10,1572,wmd
Iran,IRN,2015,m,15,3472.285714285714,wmd
Iran,IRN,2015,m,20,5367,wmd
Iran,IRN,2015,m,25,6249.714285714285,wmd
Iran,IRN,2015,m,30,6507.428571428572,wmd
Iran,IRN,2015,m,35,5930.428571428572,wmd
Iran,IRN,2015,m,40,6439.571428571428,wmd
Iran,IRN,2015,m,45,7580,wmd
Iran,IRN,2015,m,50,10149.42857142857,wmd
Iran,IRN,2015,m,55,13281.142857142857,wmd
Iran,IRN,2015,m,60,14447.142857142857,wmd
Iran,IRN,2015,m,65,14188.142857142857,wmd
Iran,IRN,2015,m,70,16194.714285714286,wmd
Iran,IRN,2015,m,75,23268.857142857145,wmd
Iran,IRN,2015,m,80,26308.428571428572,wmd
Iran,IRN,2015,m,85,32767.85714285714,wmd
Iran,IRN,2015,m,TOT,204514,wmd
Iran,IRN,2015,t,0,21466.857142857145,wmd
Iran,IRN,2015,t,5,4601.857142857143,wmd
Iran,IRN,2015,t,10,3245.714285714286,wmd
Iran,IRN,2015,t,15,5348.285714285714,wmd
Iran,IRN,2015,t,20,7458.142857142857,wmd
Iran,IRN,2015,t,25,9158,wmd
