Country,iso3,WHO_region,Cluster
Afghanistan,AFG,EMRO,3
Albania,ALB,EURO,2
Algeria,DZA,AFRO,6
Andorra,AND,EURO,2
Angola,AGO,AFRO,3
Antigua and Barbuda,ATG,AMRO,6
Argentina,ARG,AMRO,3
Armenia,ARM,EURO,8
Australia,AUS,WPRO,7
Austria,AUT,EURO,4
Azerbaijan,AZE,EURO,8
Bahamas,BHS,AMRO,6
Bahrain,BHR,EMRO,6
Bangladesh,BGD,SEARO,6
Barbados,BRB,AMRO,7
Belarus,BLR,EURO,2
Belgium,BEL,EURO,2
Belize,BLZ,AMRO,3
Benin,BEN,AFRO,3
Bhutan,BTN,SEARO,6
Bolivia (Plurinational State of),BOL,AMRO,8
Bosnia and Herzegovina,BIH,EURO,2
Botswana,BWA,AFRO,6
Brazil,BRA,AMRO,3
Brunei Darussalam,BRN,WPRO,7
Bulgaria,BGR,EURO,2
Burkina Faso,BFA,AFRO,3
Burundi,BDI,AFRO,3
Côte d’Ivoire,CIV,AFRO,3
Cabo Verde,CPV,AFRO,3
Cambodia,KHM,WPRO,6
Cameroon,CMR,AFRO,3
Canada,CAN,AMRO,5
Central African Republic,CAF,AFRO,3
Chad,TCD,AFRO,3
Chile,CHL,AMRO,4
China,CHN,WPRO,1
Colombia,COL,AMRO,3
Comoros,COM,AFRO,3
Congo,COG,AFRO,3
Cook Islands,COK,WPRO,6
Costa Rica,CRI,AMRO,6
Croatia,HRV,EURO,4
Cuba,CUB,AMRO,1
Cyprus,CYP,EURO,1
Czechia,CZE,EURO,2
Democratic People's Republic of Korea,PRK,SEARO,6
Democratic Republic of the Congo,COD,AFRO,3
Denmark,DNK,EURO,1
Djibouti,DJI,EMRO,3
Dominica,DMA,AMRO,6
Dominican Republic,DOM,AMRO,3
Ecuador,ECU,AMRO,8
Egypt,EGY,EMRO,3
El Salvador,SLV,AMRO,3
Equatorial Guinea,GNQ,AFRO,3
Eritrea,ERI,AFRO,6
Estonia,EST,EURO,1
Eswatini,SWZ,AFRO,3
Ethiopia,ETH,AFRO,3
Fiji,FJI,WPRO,6
Finland,FIN,EURO,1
France,FRA,EURO,4
Gabon,GAB,AFRO,3
Gambia,GMB,AFRO,3
Georgia,GEO,EURO,4
Germany,DEU,EURO,5
Ghana,GHA,AFRO,3
Greece,GRC,EURO,5
Grenada,GRD,AMRO,6
Guatemala,GTM,AMRO,7
Guinea,GIN,AFRO,3
Guinea-Bissau,GNB,AFRO,3
Guyana,GUY,AMRO,3
Haiti,HTI,AMRO,3
Honduras,HND,AMRO,3
Hungary,HUN,EURO,4
Iceland,ISL,EURO,1
India,IND,SEARO,6
Indonesia,IDN,SEARO,3
Iran (Islamic Republic of),IRN,EMRO,3
Iraq,IRQ,EMRO,3
Ireland,IRL,EURO,7
Israel,ISR,EURO,6
Italy,ITA,EURO,2
Jamaica,JAM,AMRO,6
Japan,JPN,WPRO,1
Jordan,JOR,EMRO,6
Kazakhstan,KAZ,EURO,3
Kenya,KEN,AFRO,3
Kiribati,KIR,WPRO,6
Kuwait,KWT,EMRO,6
Kyrgyzstan,KGZ,EURO,3
Lao People's Democratic Republic,LAO,WPRO,6
Latvia,LVA,EURO,5
Lebanon,LBN,EMRO,6
Lesotho,LSO,AFRO,3
Liberia,LBR,AFRO,3
Libya,LBY,EMRO,3
Lithuania,LTU,EURO,2
Luxembourg,LUX,EURO,1
Madagascar,MDG,AFRO,3
Malawi,MWI,AFRO,3
Malaysia,MYS,WPRO,7
Maldives,MDV,SEARO,6
Mali,MLI,AFRO,3
Malta,MLT,EURO,5
Marshall Islands,MHL,WPRO,6
Mauritania,MRT,AFRO,3
Mauritius,MUS,AFRO,7
Mexico,MEX,AMRO,8
