Country,Code,Year,Age,Sex,Deaths,Source
Albania,ALB,2020,0,f,199.560117752562,Msemburi(TAG)
Albania,ALB,2020,10,f,15.6797235377013,Msemburi(TAG)
Albania,ALB,2020,15,f,17.1051529502196,Msemburi(TAG)
Albania,ALB,2020,20,f,24.2323000128111,Msemburi(TAG)
Albania,ALB,2020,25,f,38.4865941379941,Msemburi(TAG)
Albania,ALB,2020,30,f,65.5697529758419,Msemburi(TAG)
Albania,ALB,2020,35,f,79.8240471010249,Msemburi(TAG)
Albania,ALB,2020,40,f,111.183494176428,Msemburi(TAG)
Albania,ALB,2020,45,f,188.156682452416,Msemburi(TAG)
Albania,ALB,2020,5,f,8.55257647510981,Msemburi(TAG)
Albania,ALB,2020,50,f,322.147047229136,Msemburi(TAG)
Albania,ALB,2020,55,f,518.856306156662,Msemburi(TAG)
Albania,ALB,2020,60,f,852.406788685944,Msemburi(TAG)
Albania,ALB,2020,65,f,1110.40951235176,Msemburi(TAG)
Albania,ALB,2020,70,f,1650.64725969619,Msemburi(TAG)
Albania,ALB,2020,75,f,2749.6533367478,Msemburi(TAG)
Albania,ALB,2020,80,f,3827.27797261164,Msemburi(TAG)
Albania,ALB,2020,85,f,5723.09909126098,Msemburi(TAG)
Albania,ALB,2020,TOT,f,17502.84775631222,Msemburi(TAG)
Albania,ALB,2020,0,m,248.024717778184,Msemburi(TAG)
Albania,ALB,2020,10,m,19.9560117752562,Msemburi(TAG)
Albania,ALB,2020,15,m,41.3374529630307,Msemburi(TAG)
Albania,ALB,2020,20,m,74.1223294509517,Msemburi(TAG)
Albania,ALB,2020,25,m,85.5257647510981,Msemburi(TAG)
Albania,ALB,2020,30,m,129.714076539165,Msemburi(TAG)
Albania,ALB,2020,35,m,186.731253039897,Msemburi(TAG)
Albania,ALB,2020,40,m,248.024717778184,Msemburi(TAG)
Albania,ALB,2020,45,m,377.73879431735,Msemburi(TAG)
Albania,ALB,2020,5,m,14.254294125183,Msemburi(TAG)
Albania,ALB,2020,50,m,632.890659158126,Msemburi(TAG)
Albania,ALB,2020,55,m,1261.5050300787,Msemburi(TAG)
Albania,ALB,2020,60,m,1787.48848329795,Msemburi(TAG)
Albania,ALB,2020,65,m,2245.05132471632,Msemburi(TAG)
Albania,ALB,2020,70,m,2668.40386023426,Msemburi(TAG)
Albania,ALB,2020,75,m,3756.00650198572,Msemburi(TAG)
Albania,ALB,2020,80,m,4341.85799053075,Msemburi(TAG)
