Country,Code,Year,Sex,Age,Population
Albania,ALB,2015,f,0,18752
Albania,ALB,2015,f,1,17116
Albania,ALB,2015,f,2,15912
Albania,ALB,2015,f,3,15102
Albania,ALB,2015,f,4,14648
Albania,ALB,2015,f,5,14510
Albania,ALB,2015,f,6,14651
Albania,ALB,2015,f,7,15031
Albania,ALB,2015,f,8,15612
Albania,ALB,2015,f,9,16355
Albania,ALB,2015,f,10,17235
Albania,ALB,2015,f,11,18224
Albania,ALB,2015,f,12,19223
Albania,ALB,2015,f,13,20171
Albania,ALB,2015,f,14,21065
Albania,ALB,2015,f,15,21957
Albania,ALB,2015,f,16,22828
Albania,ALB,2015,f,17,23544
Albania,ALB,2015,f,18,24040
Albania,ALB,2015,f,19,24347
Albania,ALB,2015,f,20,24573
Albania,ALB,2015,f,21,24714
Albania,ALB,2015,f,22,24639
Albania,ALB,2015,f,23,24301
Albania,ALB,2015,f,24,23753
Albania,ALB,2015,f,25,23159
Albania,ALB,2015,f,26,22558
Albania,ALB,2015,f,27,21708
Albania,ALB,2015,f,28,20526
Albania,ALB,2015,f,29,19168
Albania,ALB,2015,f,30,17850
Albania,ALB,2015,f,31,16506
Albania,ALB,2015,f,32,15549
Albania,ALB,2015,f,33,15199
Albania,ALB,2015,f,34,15277
Albania,ALB,2015,f,35,15348
Albania,ALB,2015,f,36,15459
Albania,ALB,2015,f,37,15744
Albania,ALB,2015,f,38,16213.999999999998
Albania,ALB,2015,f,39,16804
Albania,ALB,2015,f,40,17457
Albania,ALB,2015,f,41,18203
Albania,ALB,2015,f,42,18768
Albania,ALB,2015,f,43,19016
Albania,ALB,2015,f,44,19066
Albania,ALB,2015,f,45,19144
Albania,ALB,2015,f,46,19170
Albania,ALB,2015,f,47,19334
Albania,ALB,2015,f,48,19743
Albania,ALB,2015,f,49,20279
Albania,ALB,2015,f,50,20719
Albania,ALB,2015,f,51,21114
Albania,ALB,2015,f,52,21320
Albania,ALB,2015,f,53,21247
Albania,ALB,2015,f,54,20960
Albania,ALB,2015,f,55,20645
Albania,ALB,2015,f,56,20298
Albania,ALB,2015,f,57,19770
Albania,ALB,2015,f,58,19018
Albania,ALB,2015,f,59,18116
Albania,ALB,2015,f,60,17193
Albania,ALB,2015,f,61,16233
Albania,ALB,2015,f,62,15328
Albania,ALB,2015,f,63,14543
Albania,ALB,2015,f,64,13849
Albania,ALB,2015,f,65,13134
Albania,ALB,2015,f,66,12389
Albania,ALB,2015,f,67,11813
Albania,ALB,2015,f,68,11484
Albania,ALB,2015,f,69,11308
Albania,ALB,2015,f,70,11122
Albania,ALB,2015,f,71,10967
Albania,ALB,2015,f,72,10688
Albania,ALB,2015,f,73,10193
Albania,ALB,2015,f,74,9557
Albania,ALB,2015,f,75,8952
Albania,ALB,2015,f,76,8351
Albania,ALB,2015,f,77,7734
Albania,ALB,2015,f,78,7110
Albania,ALB,2015,f,79,6485
Albania,ALB,2015,f,80,5856
Albania,ALB,2015,f,81,5225
Albania,ALB,2015,f,82,4629
Albania,ALB,2015,f,83,4086.9999999999995
Albania,ALB,2015,f,84,3589
Albania,ALB,2015,f,85,3108
Albania,ALB,2015,f,86,2654
Albania,ALB,2015,f,87,2222
