Country,Code,Year,Sex,Age,Population
Albania,ALB,2015,f,0,18752
Albania,ALB,2015,f,1,62778
Albania,ALB,2015,f,5,76159
Albania,ALB,2015,f,10,95918
Albania,ALB,2015,f,15,116716
Albania,ALB,2015,f,20,121980
Albania,ALB,2015,f,25,107119
Albania,ALB,2015,f,30,80381
Albania,ALB,2015,f,35,79569
Albania,ALB,2015,f,40,92510
Albania,ALB,2015,f,45,97670
Albania,ALB,2015,f,50,105360
Albania,ALB,2015,f,55,97847
Albania,ALB,2015,f,60,77146
Albania,ALB,2015,f,65,60128
Albania,ALB,2015,f,70,52527
Albania,ALB,2015,f,75,38632
Albania,ALB,2015,f,80,23386
Albania,ALB,2015,f,85,11212
Albania,ALB,2015,f,90,2818
Albania,ALB,2015,f,95,430
Albania,ALB,2015,f,100,30
Albania,ALB,2015,m,0,20071
Albania,ALB,2015,m,1,69437
Albania,ALB,2015,m,5,87899
Albania,ALB,2015,m,10,108608
Albania,ALB,2015,m,15,122795
Albania,ALB,2015,m,20,136171
Albania,ALB,2015,m,25,128652
Albania,ALB,2015,m,30,95215
Albania,ALB,2015,m,35,79279
Albania,ALB,2015,m,40,83065
Albania,ALB,2015,m,45,91363
Albania,ALB,2015,m,50,102318
Albania,ALB,2015,m,55,95709
Albania,ALB,2015,m,60,75057
Albania,ALB,2015,m,65,58867
Albania,ALB,2015,m,70,50410
Albania,ALB,2015,m,75,37222
Albania,ALB,2015,m,80,20360
Albania,ALB,2015,m,85,7517
Albania,ALB,2015,m,90,1257
Albania,ALB,2015,m,95,174
Albania,ALB,2015,m,100,10
Albania,ALB,2015,t,0,38823
Albania,ALB,2015,t,1,132215
Albania,ALB,2015,t,5,164058
Albania,ALB,2015,t,10,204526
Albania,ALB,2015,t,15,239511
Albania,ALB,2015,t,20,258151
Albania,ALB,2015,t,25,235771
Albania,ALB,2015,t,30,175596
Albania,ALB,2015,t,35,158848
Albania,ALB,2015,t,40,175575
Albania,ALB,2015,t,45,189033
Albania,ALB,2015,t,50,207678
Albania,ALB,2015,t,55,193556
Albania,ALB,2015,t,60,152203
Albania,ALB,2015,t,65,118995
Albania,ALB,2015,t,70,102937
Albania,ALB,2015,t,75,75854
Albania,ALB,2015,t,80,43746
Albania,ALB,2015,t,85,18729
Albania,ALB,2015,t,90,4075
Albania,ALB,2015,t,95,604
Albania,ALB,2015,t,100,40
Albania,ALB,2016,f,0,18279
Albania,ALB,2016,f,1,66197
Albania,ALB,2016,f,5,74243
Albania,ALB,2016,f,10,90510
Albania,ALB,2016,f,15,112056
Albania,ALB,2016,f,20,120816
Albania,ALB,2016,f,25,110137
Albania,ALB,2016,f,30,83117
Albania,ALB,2016,f,35,77174
Albania,ALB,2016,f,40,89500
Albania,ALB,2016,f,45,95762
Albania,ALB,2016,f,50,103950
Albania,ALB,2016,f,55,99896
Albania,ALB,2016,f,60,80557
Albania,ALB,2016,f,65,61669
Albania,ALB,2016,f,70,52767
Albania,ALB,2016,f,75,39574
Albania,ALB,2016,f,80,24051
Albania,ALB,2016,f,85,11745
Albania,ALB,2016,f,90,3366
Albania,ALB,2016,f,95,482
Albania,ALB,2016,f,100,31
Albania,ALB,2016,m,0,19669
Albania,ALB,2016,m,1,72372
Albania,ALB,2016,m,5,85411
Albania,ALB,2016,m,10,103973
Albania,ALB,2016,m,15,118800
Albania,ALB,2016,m,20,133151
Albania,ALB,2016,m,25,131285
Albania,ALB,2016,m,30,100342
Albania,ALB,2016,m,35,79850
Albania,ALB,2016,m,40,80924
Albania,ALB,2016,m,45,88546
Albania,ALB,2016,m,50,100334
Albania,ALB,2016,m,55,97492
Albania,ALB,2016,m,60,78135
Albania,ALB,2016,m,65,60072
Albania,ALB,2016,m,70,50485
Albania,ALB,2016,m,75,37994
Albania,ALB,2016,m,80,21467
Albania,ALB,2016,m,85,8383
Albania,ALB,2016,m,90,1658
Albania,ALB,2016,m,95,194
Albania,ALB,2016,m,100,11
Albania,ALB,2016,t,0,37948
Albania,ALB,2016,t,1,138569
Albania,ALB,2016,t,5,159654
Albania,ALB,2016,t,10,194483
Albania,ALB,2016,t,15,230856
Albania,ALB,2016,t,20,253967
Albania,ALB,2016,t,25,241422
Albania,ALB,2016,t,30,183459
Albania,ALB,2016,t,35,157024
Albania,ALB,2016,t,40,170424
Albania,ALB,2016,t,45,184308
Albania,ALB,2016,t,50,204284
Albania,ALB,2016,t,55,197388
Albania,ALB,2016,t,60,158692
Albania,ALB,2016,t,65,121741
Albania,ALB,2016,t,70,103252
Albania,ALB,2016,t,75,77568
Albania,ALB,2016,t,80,45518
Albania,ALB,2016,t,85,20128
Albania,ALB,2016,t,90,5024
Albania,ALB,2016,t,95,676
Albania,ALB,2016,t,100,42
Albania,ALB,2017,f,0,17449
Albania,ALB,2017,f,1,67152
Albania,ALB,2017,f,5,74189
Albania,ALB,2017,f,10,85570
Albania,ALB,2017,f,15,107425
Albania,ALB,2017,f,20,119222
Albania,ALB,2017,f,25,112545
Albania,ALB,2017,f,30,87395
Albania,ALB,2017,f,35,75440
Albania,ALB,2017,f,40,86184
Albania,ALB,2017,f,45,94615
Albania,ALB,2017,f,50,102050
Albania,ALB,2017,f,55,101662
Albania,ALB,2017,f,60,84462
Albania,ALB,2017,f,65,64022
Albania,ALB,2017,f,70,52970
Albania,ALB,2017,f,75,40869
Albania,ALB,2017,f,80,24856
Albania,ALB,2017,f,85,12087
Albania,ALB,2017,f,90,3790
Albania,ALB,2017,f,95,595
Albania,ALB,2017,f,100,32
Albania,ALB,2017,m,0,18921
Albania,ALB,2017,m,1,73000
Albania,ALB,2017,m,5,84605
Albania,ALB,2017,m,10,99101
Albania,ALB,2017,m,15,115620
Albania,ALB,2017,m,20,129442
Albania,ALB,2017,m,25,132549
Albania,ALB,2017,m,30,106540
Albania,ALB,2017,m,35,81226
Albania,ALB,2017,m,40,78940
Albania,ALB,2017,m,45,86272
Albania,ALB,2017,m,50,97682
Albania,ALB,2017,m,55,98845
