Country,Code,Year,Sex,Age,Deaths,Source
Peru,PER,2017,f,0,1929.2472225185957,peru_sinadef
Peru,PER,2017,f,1,200.1175316987438,peru_sinadef
Peru,PER,2017,f,2,126.07405376545236,peru_sinadef
Peru,PER,2017,f,3,97.05705332834943,peru_sinadef
Peru,PER,2017,f,4,72.04236393175225,peru_sinadef
Peru,PER,2017,f,5,56.0327653398976,peru_sinadef
Peru,PER,2017,f,6,64.03786309089836,peru_sinadef
Peru,PER,2017,f,7,54.03165448924845,peru_sinadef
Peru,PER,2017,f,8,43.024973997966264,peru_sinadef
Peru,PER,2017,f,9,50.029449846495915,peru_sinadef
Peru,PER,2017,f,10,50.02936623254616,peru_sinadef
Peru,PER,2017,f,11,46.02695146718435,peru_sinadef
Peru,PER,2017,f,12,51.029802196711195,peru_sinadef
Peru,PER,2017,f,13,59.03482127663153,peru_sinadef
Peru,PER,2017,f,14,83.04935213132559,peru_sinadef
Peru,PER,2017,f,15,73.0427256199597,peru_sinadef
Peru,PER,2017,f,16,114.06743987202783,peru_sinadef
Peru,PER,2017,f,17,88.05144853892519,peru_sinadef
Peru,PER,2017,f,18,85.04936777318719,peru_sinadef
Peru,PER,2017,f,19,107.06219891046774,peru_sinadef
Peru,PER,2017,f,20,126.07355710424959,peru_sinadef
Peru,PER,2017,f,21,98.0563845533541,peru_sinadef
Peru,PER,2017,f,22,114.06602118528104,peru_sinadef
Peru,PER,2017,f,23,126.41298497221433,peru_sinadef
Peru,PER,2017,f,24,123.0712357966244,peru_sinadef
Peru,PER,2017,f,25,105.3652359403032,peru_sinadef
Peru,PER,2017,f,26,127.07377792415494,peru_sinadef
Peru,PER,2017,f,27,96.05540051691455,peru_sinadef
Peru,PER,2017,f,28,108.06232340605959,peru_sinadef
Peru,PER,2017,f,29,120.06931167124391,peru_sinadef
Peru,PER,2017,f,30,129.07462763595504,peru_sinadef
Peru,PER,2017,f,31,124.07186633073205,peru_sinadef
Peru,PER,2017,f,32,127.07377792415494,peru_sinadef
Peru,PER,2017,f,33,134.07803074949518,peru_sinadef
Peru,PER,2017,f,34,143.0828396463193,peru_sinadef
Peru,PER,2017,f,35,177.10333808689836,peru_sinadef
Peru,PER,2017,f,36,161.09380326904716,peru_sinadef
Peru,PER,2017,f,37,153.08874533849058,peru_sinadef
Peru,PER,2017,f,38,163.09479167434182,peru_sinadef
Peru,PER,2017,f,39,159.09222674509928,peru_sinadef
Peru,PER,2017,f,40,202.1178925061849,peru_sinadef
Peru,PER,2017,f,41,208.12142204153218,peru_sinadef
Peru,PER,2017,f,42,240.14058208566357,peru_sinadef
Peru,PER,2017,f,43,221.1289687727559,peru_sinadef
Peru,PER,2017,f,44,242.5593218794713,peru_sinadef
Peru,PER,2017,f,45,267.156686991763,peru_sinadef
Peru,PER,2017,f,46,291.17100895919657,peru_sinadef
Peru,PER,2017,f,47,256.1496555252324,peru_sinadef
Peru,PER,2017,f,48,290.16995706137993,peru_sinadef
Peru,PER,2017,f,49,326.19190647204323,peru_sinadef
Peru,PER,2017,f,50,347.2039912441287,peru_sinadef
Peru,PER,2017,f,51,361.21205466305804,peru_sinadef
Peru,PER,2017,f,52,351.2054281665462,peru_sinadef
Peru,PER,2017,f,53,327.58532896107096,peru_sinadef
Peru,PER,2017,f,54,378.22193522353086,peru_sinadef
Peru,PER,2017,f,55,377.22158347885465,peru_sinadef
Peru,PER,2017,f,56,397.23288539454325,peru_sinadef
Peru,PER,2017,f,57,420.24616901931176,peru_sinadef
Peru,PER,2017,f,58,499.2933534400725,peru_sinadef
Peru,PER,2017,f,59,422.2474492514541,peru_sinadef
Peru,PER,2017,f,60,524.309139007493,peru_sinadef
Peru,PER,2017,f,61,456.68470471782996,peru_sinadef
Peru,PER,2017,f,62,527.7502481399611,peru_sinadef
Peru,PER,2017,f,63,527.7301831962664,peru_sinadef
Peru,PER,2017,f,64,552.7541740275468,peru_sinadef
Peru,PER,2017,f,65,617.363635037009,peru_sinadef
Peru,PER,2017,f,66,631.3724132841181,peru_sinadef
Peru,PER,2017,f,67,654.3849817159352,peru_sinadef
Peru,PER,2017,f,68,667.3928471405683,peru_sinadef
Peru,PER,2017,f,69,723.4259650823087,peru_sinadef
Peru,PER,2017,f,70,731.3172651927268,peru_sinadef
