Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2015,f,261508,TOT,samrc/uct
South Africa,ZAF,2015,f,15724,0,samrc/uct
South Africa,ZAF,2015,f,6183,1,samrc/uct
South Africa,ZAF,2015,f,1554,5,samrc/uct
South Africa,ZAF,2015,f,1459,10,samrc/uct
South Africa,ZAF,2015,f,3237,15,samrc/uct
South Africa,ZAF,2015,f,6849,20,samrc/uct
South Africa,ZAF,2015,f,12247,25,samrc/uct
South Africa,ZAF,2015,f,14151,30,samrc/uct
South Africa,ZAF,2015,f,13610,35,samrc/uct
South Africa,ZAF,2015,f,13524,40,samrc/uct
South Africa,ZAF,2015,f,14493,45,samrc/uct
South Africa,ZAF,2015,f,16029,50,samrc/uct
South Africa,ZAF,2015,f,16738,55,samrc/uct
South Africa,ZAF,2015,f,17648,60,samrc/uct
South Africa,ZAF,2015,f,18458,65,samrc/uct
South Africa,ZAF,2015,f,18247,70,samrc/uct
South Africa,ZAF,2015,f,21025,75,samrc/uct
South Africa,ZAF,2015,f,19373,80,samrc/uct
South Africa,ZAF,2015,f,30959,85,samrc/uct
South Africa,ZAF,2015,m,276448,TOT,samrc/uct
South Africa,ZAF,2015,m,16821,0,samrc/uct
South Africa,ZAF,2015,m,7408,1,samrc/uct
South Africa,ZAF,2015,m,2129,5,samrc/uct
South Africa,ZAF,2015,m,1835,10,samrc/uct
South Africa,ZAF,2015,m,4271,15,samrc/uct
South Africa,ZAF,2015,m,8697,20,samrc/uct
South Africa,ZAF,2015,m,13624,25,samrc/uct
South Africa,ZAF,2015,m,17158,30,samrc/uct
South Africa,ZAF,2015,m,18103,35,samrc/uct
South Africa,ZAF,2015,m,19750,40,samrc/uct
South Africa,ZAF,2015,m,19421,45,samrc/uct
South Africa,ZAF,2015,m,21633,50,samrc/uct
South Africa,ZAF,2015,m,23274,55,samrc/uct
South Africa,ZAF,2015,m,23309,60,samrc/uct
South Africa,ZAF,2015,m,22148,65,samrc/uct
