Country,Code,Year,Sex,Age,Deaths,Source
Australia,AUS,2015,f,0,2865,stmf
Australia,AUS,2015,f,45,8151,stmf
Australia,AUS,2015,f,65,9543,stmf
Australia,AUS,2015,f,75,18537,stmf
Australia,AUS,2015,f,85,38905,stmf
Australia,AUS,2015,f,TOT,78001,stmf
Australia,AUS,2015,m,0,5331,stmf
Australia,AUS,2015,m,45,13259,stmf
Australia,AUS,2015,m,65,15004,stmf
Australia,AUS,2015,m,75,22640,stmf
Australia,AUS,2015,m,85,25526,stmf
Australia,AUS,2015,m,TOT,81761,stmf
Australia,AUS,2015,t,0,8196,stmf
Australia,AUS,2015,t,45,21410,stmf
Australia,AUS,2015,t,65,24547,stmf
Australia,AUS,2015,t,75,41177,stmf
Australia,AUS,2015,t,85,64431,stmf
Australia,AUS,2015,t,TOT,159762,stmf
Australia,AUS,2016,f,0,2832,stmf
Australia,AUS,2016,f,45,7935,stmf
Australia,AUS,2016,f,65,9538,stmf
Australia,AUS,2016,f,75,17885,stmf
Australia,AUS,2016,f,85,38132,stmf
Australia,AUS,2016,f,TOT,76324,stmf
Australia,AUS,2016,m,0,5114,stmf
Australia,AUS,2016,m,45,12797,stmf
Australia,AUS,2016,m,65,15183,stmf
Australia,AUS,2016,m,75,22605,stmf
Australia,AUS,2016,m,85,25824,stmf
Australia,AUS,2016,m,TOT,81524,stmf
Australia,AUS,2016,t,0,7946,stmf
Australia,AUS,2016,t,45,20732,stmf
Australia,AUS,2016,t,65,24721,stmf
Australia,AUS,2016,t,75,40490,stmf
Australia,AUS,2016,t,85,63956,stmf
Australia,AUS,2016,t,TOT,157848,stmf
Australia,AUS,2017,f,0,2832,stmf
Australia,AUS,2017,f,45,8138,stmf
Australia,AUS,2017,f,65,10196,stmf
Australia,AUS,2017,f,75,18579,stmf
Australia,AUS,2017,f,85,39569,stmf
Australia,AUS,2017,f,TOT,79315,stmf
Australia,AUS,2017,m,0,5322,stmf
Australia,AUS,2017,m,45,13077,stmf
Australia,AUS,2017,m,65,15917,stmf
Australia,AUS,2017,m,75,23201,stmf
Australia,AUS,2017,m,85,27088,stmf
Australia,AUS,2017,m,TOT,84608,stmf
Australia,AUS,2017,t,0,8154,stmf
Australia,AUS,2017,t,45,21215,stmf
Australia,AUS,2017,t,65,26113,stmf
Australia,AUS,2017,t,75,41780,stmf
Australia,AUS,2017,t,85,66657,stmf
Australia,AUS,2017,t,TOT,163923,stmf
