Country,Sources,Source,Deaths,ages,sexs,years,period
Albania,2,eurs,137645,19,3,6,2015-2020
Albania,2,unpd,158470,19,3,7,2015-2021
American Samoa,1,unpd,907,19,3,3,2017-2020
Andorra,1,unpd,1339,19,3,4,2015-2020
Anguilla,1,unpd,537,11,1,4,2015-2021
Argentina,1,unpd,2082857,19,3,6,2015-2020
Armenia,2,eurs,170273,19,3,6,2015-2020
Armenia,2,unpd,192492,19,3,6,2015-2021
Aruba,1,unpd,5233,21,3,7,2015-2021
Australia,3,stmf,1140639,5,3,7,2015-2021
Australia,3,unpd,1115366,19,3,6,2015-2021
Australia,3,who_mort_db,967559,21,3,6,2015-2020
Austria,4,eurs,587476,19,3,7,2015-2021
Austria,4,stmf,587404,19,3,7,2015-2021
Austria,4,unpd,596280,19,3,5,2015-2021
Austria,4,who_mort_db,505972,21,3,6,2015-2020
Azerbaijan,1,unpd,357267,19,3,5,2015-2020
Belgium,4,eurs,788384,19,3,7,2015-2021
Belgium,4,hmd,674675.98,111,3,6,2015-2020
Belgium,4,stmf,788384,19,3,7,2015-2021
Belgium,4,unpd,679561,19,3,4,2015-2021
Belize,1,unpd,13975,15,3,7,2015-2021
Bermuda,1,unpd,3310,22,3,6,2015-2021
Bolivia,1,unpd,400472.2233,19,3,5,2015-2021
Bosnia and Herzegovina,1,who_mort_db,195550,21,3,5,2016-2020
Brazil,2,direct,9936310,101,3,7,2015-2021
Brazil,2,unpd,9692773,22,3,7,2015-2021
Brunei Darussalam,1,unpd,9999,22,3,6,2015-2020
Bulgaria,4,eurs,819042,19,3,7,2015-2021
Bulgaria,4,hmd,817827.07,111,3,7,2015-2021
Bulgaria,4,stmf,819041,19,3,7,2015-2021
Bulgaria,4,unpd,816615,19,3,7,2015-2021
Cabo Verde,1,unpd,16415,21,3,6,2015-2020
Canada,2,stmf,1991910,4,3,7,2015-2021
Canada,2,unpd,1917865,19,3,6,2015-2021
Chile,3,hmd,656036.02,111,3,6,2015-2020
Chile,3,stmf,689769,20,3,6,2016-2021
Chile,3,unpd,793111,20,3,7,2015-2021
"China, Hong Kong SAR",1,unpd,286865,19,3,6,2015-2020
Colombia,1,unpd,1813331,22,3,7,2015-2021
Costa Rica,2,unpd,128615,22,3,5,2017-2021
Costa Rica,2,who_mort_db,139860,19,3,5,2015-2020
Croatia,4,eurs,384419,19,3,7,2015-2021
Croatia,4,hmd,320746.62,111,3,6,2015-2020
Croatia,4,stmf,384419,19,3,7,2015-2021
Croatia,4,unpd,383120,19,3,6,2015-2021
Cuba,1,unpd,801397,15,3,6,2015-2021
Cyprus,2,eurs,43183,19,3,7,2015-2021
Cyprus,2,unpd,42955,19,3,6,2015-2021
Czechia,4,eurs,826721,19,3,7,2015-2021
Czechia,4,stmf,826716,19,3,7,2015-2021
Czechia,4,unpd,820997,19,3,6,2015-2021
Czechia,4,who_mort_db,684937,21,3,6,2015-2020
Denmark,4,eurs,380517,19,3,7,2015-2021
Denmark,4,hmd,379627,111,3,7,2015-2021
Denmark,4,stmf,380516,21,3,7,2015-2021
Denmark,4,unpd,379495,19,3,6,2015-2021
Dominican Republic,1,unpd,305564,20,3,7,2015-2021
Ecuador,2,unpd,465232,20,3,6,2015-2020
Ecuador,2,who_mort_db,462472,21,3,6,2015-2020
Egypt,1,unpd,3472886,19,3,6,2015-2020
England and Wales,1,who_mort_db,3263747,21,3,6,2015-2020
Estonia,4,eurs,112065,19,3,7,2015-2021
Estonia,4,stmf,112065,19,3,7,2015-2021
Estonia,4,unpd,111948,19,3,5,2015-2021
Estonia,4,who_mort_db,92546,21,3,6,2015-2020
Faeroe Islands,1,unpd,2799,22,3,7,2015-2021
Finland,4,eurs,382292,19,3,7,2015-2021
Finland,4,hmd,381760,111,3,7,2015-2021
Finland,4,stmf,382593,19,3,7,2015-2021
Finland,4,unpd,380969,19,3,6,2015-2021
France,4,eurs,4356234,19,3,7,2015-2021
France,4,hmd,3607008,111,3,6,2015-2020
France,4,stmf,4261595,19,3,7,2015-2021
France,4,unpd,4266304,19,3,7,2015-2021
French Guiana,1,unpd,5608,22,3,6,2015-2020
French Polynesia,1,unpd,8740,22,3,5,2017-2021
Georgia,3,eurs,291833,19,3,6,2015-2020
Georgia,3,unpd,291318,19,3,6,2015-2020
Georgia,3,who_mort_db,291434,21,3,6,2015-2020
Germany,5,eurs,6685868,11,1,5,2015-2021
Germany,5,hmd,5648323.56,111,3,6,2015-2020
Germany,5,stmf,6685910,15,3,7,2015-2021
Germany,5,unpd,6661715,19,3,6,2015-2021
Germany,5,who_mort_db,5648328,19,3,6,2015-2020
Greece,3,eurs,886551,19,3,7,2015-2021
Greece,3,stmf,886551,19,3,7,2015-2021
Greece,3,unpd,884381,19,3,6,2015-2021
Guatemala,2,unpd,541683,20,3,6,2016-2021
Guatemala,2,who_mort_db,509839,21,3,6,2015-2020
Hong Kong SAR China,1,hmd,286865.03,111,3,6,2015-2020
Hungary,4,eurs,949731,19,3,7,2015-2021
Hungary,4,hmd,792073.33,111,3,6,2015-2020
Hungary,4,stmf,949722,19,3,7,2015-2021
Hungary,4,unpd,947730,19,3,6,2015-2021
Iceland,5,eurs,15939,19,3,7,2015-2021
Iceland,5,hmd,13558,111,3,6,2015-2020
Iceland,5,stmf,15932,19,3,7,2015-2021
Iceland,5,unpd,15894,21,3,5,2015-2021
Iceland,5,who_mort_db,13564,21,3,6,2015-2020
Iran,2,direct,2740400.286,18,3,7,2015-2021
Iran,2,unpd,2270770,17,3,6,2015-2020
Iraq,1,unpd,769251,17,3,6,2015-2020
Ireland,2,hmd,185872.99,111,3,6,2015-2020
Ireland,2,unpd,185189,19,3,6,2015-2020
Israel,3,stmf,323573,8,3,7,2015-2021
Israel,3,unpd,324255,22,3,7,2015-2021
Israel,3,who_mort_db,272166,19,3,6,2015-2020
Italy,3,eurs,4693545,19,3,7,2015-2021
Italy,3,stmf,4693545,22,3,7,2015-2021
Italy,3,unpd,4550004,19,3,6,2015-2021
Japan,2,hmd,8062095.95,111,3,6,2015-2020
Japan,2,unpd,8054907,22,3,6,2015-2020
Kazakhstan,2,unpd,998363,22,3,7,2015-2021
Kazakhstan,2,who_mort_db,816178,21,3,6,2015-2020
Kenya,1,unpd,1190564.002,9,3,5,2017-2021
Kuwait,1,unpd,33611,18,3,5,2015-2019
Kyrgyzstan,1,unpd,207710,22,3,6,2015-2020
Latvia,4,eurs,206256,19,3,7,2015-2021
Latvia,4,stmf,206236,19,3,7,2015-2021
Latvia,4,unpd,142628,22,3,5,2015-2020
Latvia,4,who_mort_db,169470,21,3,6,2015-2020
Lebanon,1,unpd,107953.6926,19,3,3,2017-2021
Lesotho,1,unpd,53839,16,3,4,2017-2020
Liechtenstein,2,eurs,1902,19,3,7,2015-2021
Liechtenstein,2,unpd,1376,22,3,5,2016-2020
Lithuania,5,eurs,292802,19,3,7,2015-2021
Lithuania,5,hmd,244425.99,111,3,6,2015-2020
Lithuania,5,stmf,292802,19,3,7,2015-2021
Lithuania,5,unpd,291158,19,3,6,2015-2021
Lithuania,5,who_mort_db,244426,21,3,6,2015-2020
Luxembourg,4,eurs,29963,19,3,7,2015-2021
Luxembourg,4,hmd,25423,111,3,6,2015-2020
Luxembourg,4,stmf,29963,19,3,7,2015-2021
Luxembourg,4,unpd,29907,19,3,6,2015-2021
Malaysia,1,unpd,998439,19,3,6,2015-2020
Maldives,1,unpd,7213,16,3,5,2015-2020
Malta,2,eurs,26017,19,3,7,2015-2021
Malta,2,unpd,25868,19,3,6,2015-2021
Martinique,1,unpd,19995,22,3,6,2015-2020
Mauritius,2,unpd,76356,22,3,7,2015-2021
Mauritius,2,who_mort_db,62351,21,3,6,2015-2020
Mayotte,1,unpd,4578,22,3,6,2015-2020
Mexico,3,direct,4578360,101,3,6,2015-2020
Mexico,3,unpd,4529171.322,20,3,6,2015-2020
Mexico,3,who_mort_db,4502881,21,3,6,2015-2020
Moldova,1,unpd,274928,19,3,7,2015-2021
Mongolia,1,unpd,126903,16,3,7,2015-2021
Montenegro,2,eurs,47543,19,3,7,2015-2021
Montenegro,2,unpd,42396,19,3,5,2015-2021
Montserrat,1,unpd,267,20,3,6,2015-2020
Netherlands,4,eurs,1093371,19,3,7,2015-2021
Netherlands,4,stmf,1093806,19,3,7,2015-2021
Netherlands,4,unpd,1090322,19,3,6,2015-2021
Netherlands,4,who_mort_db,920271,21,3,6,2015-2020
New Zealand,2,hmd,231143.94,111,3,7,2015-2021
New Zealand,2,unpd,226092,22,3,7,2015-2021
Nicaragua,1,unpd,152395,21,3,6,2015-2020
North Macedonia,2,unpd,127092,22,3,6,2015-2020
North Macedonia,2,who_mort_db,127128,21,3,6,2015-2020
Norway,4,eurs,286938,19,3,7,2015-2021
