Country,Code,Source,Period,Deaths,Age_groups,Sex_groups
Albania,ALB,eurs,2015-2020,275290,19,3
American Samoa,ASM,unpd,2017-2020,1814,19,3
Andorra,AND,unpd,2015-2020,2678,19,3
Anguilla,AIA,unpd,2015-2021,1015,"11, 14","1, 3"
Argentina,ARG,unpd,2015-2020,4165714,19,3
Armenia,ARM,eurs,2015-2020,340546,19,3
Aruba,ABW,unpd,2015-2021,10466,"21, 22",3
Australia,AUS,who_mort_db,2015-2020,1935118,21,3
Austria,AUT,stmf,2015-2021,1174808,19,3
Azerbaijan,AZE,unpd,2015-2020,714534,"21, 19",3
Belgium,BEL,hmd,2015-2020,1349351.96,111,3
Belize,BLZ,unpd,2015-2021,27950,15,3
Bermuda,BMU,unpd,2015-2021,6620,22,3
Bolivia,BOL,unpd,2015-2021,800944.4467,19,3
Bosnia and Herzegovina,BIH,who_mort_db,2016-2020,391100,21,3
Brazil,BRA,direct,2015-2021,19872620,101,3
Brunei Darussalam,BRN,unpd,2015-2020,19998,22,3
Bulgaria,BGR,hmd,2015-2021,1635654.14,111,3
Cabo Verde,CPV,unpd,2015-2020,32830,21,3
Canada,CAN,unpd,2015-2021,3835730,"21, 22, 19",3
Chile,CHL,hmd,2015-2020,1312072.04,111,3
"China, Hong Kong SAR",HKG,unpd,2015-2020,573730,19,3
Colombia,COL,unpd,2015-2021,3626662,22,3
Costa Rica,CRI,unpd,2017-2021,257230,22,3
Croatia,HRV,hmd,2015-2020,641493.24,111,3
Cuba,CUB,unpd,2015-2021,1602794,"20, 22, 15",3
Cyprus,CYP,eurs,2015-2021,86366,19,3
Czechia,CZE,stmf,2015-2021,1653432,19,3
Denmark,DNK,hmd,2015-2021,759254,111,3
Dominican Republic,DOM,unpd,2015-2021,611128,"20, 22",3
Ecuador,ECU,unpd,2015-2020,930464,20,3
Egypt,EGY,unpd,2015-2020,6945772,19,3
England and Wales,GBR-ENW,who_mort_db,2015-2020,6527494,21,3
Estonia,EST,stmf,2015-2021,224130,19,3
Faeroe Islands,FRO,unpd,2015-2021,5598,22,3
Finland,FIN,hmd,2015-2021,763520,111,3
France,FRA,hmd,2015-2020,7214016,111,3
French Guiana,GUF,unpd,2015-2020,11216,22,3
French Polynesia,PYF,unpd,2017-2021,17480,22,3
Georgia,GEO,eurs,2015-2020,583666,19,3
Germany,DEU,hmd,2015-2020,11296647.12,111,3
Greece,GRC,stmf,2015-2021,1773102,19,3
Guatemala,GTM,unpd,2016-2021,1083366,"20, 22",3
Hong Kong SAR China,HKG,hmd,2015-2020,573730.06,111,3
Hungary,HUN,hmd,2015-2020,1584146.66,111,3
Iceland,ISL,hmd,2015-2020,27116,111,3
Iran,IRN,direct,2015-2021,5480800.571,18,3
Iraq,IRQ,unpd,2015-2020,1538502,"17, 19",3
Ireland,IRL,hmd,2015-2020,371745.98,111,3
Israel,ISR,unpd,2015-2021,648510,22,3
Italy,ITA,stmf,2015-2021,9387090,22,3
Japan,JPN,hmd,2015-2020,16124191.9,111,3
Kazakhstan,KAZ,unpd,2015-2021,1996726,22,3
Kenya,KEN,unpd,2017-2021,2381128.004,"9, 19",3
Kuwait,KWT,unpd,2015-2019,67222,18,3
Kyrgyzstan,KGZ,unpd,2015-2020,415420,22,3
Latvia,LVA,stmf,2015-2021,412472,19,3
Lebanon,LBN,unpd,2017-2021,215907.3851,"21, 19",3
Lesotho,LSO,unpd,2017-2020,107678,16,3
Liechtenstein,LIE,eurs,2015-2021,3804,19,3
Lithuania,LTU,hmd,2015-2020,488851.98,111,3
Luxembourg,LUX,hmd,2015-2020,50846,111,3
Malaysia,MYS,unpd,2015-2020,1996878,"19, 21",3
Maldives,MDV,unpd,2015-2020,14426,"19, 16",3
Malta,MLT,eurs,2015-2021,52034,19,3
Martinique,MTQ,unpd,2015-2020,39990,"22, 24",3
Mauritius,MUS,unpd,2015-2021,152712,22,3
Mayotte,MYT,unpd,2015-2020,9156,22,3
Mexico,MEX,direct,2015-2020,9156720,101,3
Moldova,MDA,unpd,2015-2021,549856,"19, 22",3
Mongolia,MNG,unpd,2015-2021,253806,"16, 22",3
Montenegro,MNE,eurs,2015-2021,95086,19,3
Montserrat,MSR,unpd,2015-2020,534,20,3
Netherlands,NLD,stmf,2015-2021,2187612,19,3
New Zealand,NZL,hmd,2015-2021,462287.88,111,3
Nicaragua,NIC,unpd,2015-2020,304790,"21, 22",3
North Macedonia,MKD,unpd,2015-2020,254184,22,3
Norway,NOR,hmd,2015-2020,488724,111,3
Oman,OMN,who_mort_db,2016-2020,87222,"19, 21",3
Panama,PAN,unpd,2015-2020,242932,22,3
Paraguay,PRY,unpd,2015-2021,475128,"20, 22",3
Peru,PER,direct,2017-2021,1603434,101,3
Poland,POL,stmf,2015-2021,6029156,19,3
Portugal,PRT,hmd,2015-2021,1603577.56,111,3
Puerto Rico,PRI,unpd,2015-2020,359098,22,3
Qatar,QAT,unpd,2015-2020,24672.85235,"18, 22",3
Republic of Korea,KOR,who_mort_db,2015-2020,3482268,21,3
Réunion,REU,unpd,2015-2020,58244,22,3
Romania,ROU,eurs,2015-2021,3883694,19,3
Russia,RUS,stmf,2015-2020,22366978.5,21,3
San Marino,SMR,unpd,2015-2021,3200,"21, 22, 19",3
Scotland,GBR-SCO,who_mort_db,2015-2020,705788,21,3
Serbia,SRB,eurs,2015-2021,1496114,19,3
Seychelles,SYC,unpd,2015-2021,10808,"19, 22",3
Singapore,SGP,unpd,2015-2020,251132,22,3
Slovakia,SVK,stmf,2015-2021,801166,19,3
Slovenia,SVN,stmf,2015-2021,297330,19,3
South Africa,ZAF,direct,2015-2020,6492118,19,3
South Korea,KOR,hmd,2015-2020,3482268.32,111,3
Spain,ESP,hmd,2015-2020,5168755.98,111,3
State of Palestine,PSE,unpd,2015-2020,150586,22,3
Suriname,SUR,unpd,2015-2021,55635.99999,"22, 21, 19",3
Sweden,SWE,hmd,2015-2021,1289788.04,111,3
Switzerland,CHE,hmd,2015-2021,963346,111,3
Taiwan,TWN,stmf,2015-2021,2437310.4,21,3
Thailand,THA,unpd,2015-2020,5637866,"16, 22",3
Tunisia,TUN,unpd,2015-2020,540936.0212,19,3
Turks and Caicos Islands,TCA,unpd,2016-2020,890,19,3
Tuvalu,TUV,unpd,2015-2020,1036,"17, 18",3
Ukraine,UKR,unpd,2015-2020,7076328,"19, 22",3
United Kingdom,GBR,hmd,2015-2020,7435019.94,111,3
"United Kingdom, Northern Ireland",GBR,who_mort_db,2015-2020,192616,21,3
United States,USA,hmd,2015-2020,34696305.22,111,3
United States of America,USA,who_mort_db,2015-2020,34696306,21,3
Uruguay,URY,unpd,2016-2021,415684,"20, 22",3
USA,USA,unpd,2015-2021,41542044,19,3
Uzbekistan,UZB,unpd,2015-2021,2254396,19,3
