Country,Code,Year,Sex,Age,Deaths,Source
Albania,ALB,2015,f,0,99,unpd
Albania,ALB,2016,f,0,131,unpd
Albania,ALB,2017,f,0,118,unpd
Albania,ALB,2018,f,0,111,unpd
Albania,ALB,2019,f,0,126,unpd
Albania,ALB,2020,f,0,129.70588684082,unpd
Albania,ALB,2021,f,0,73.1911773681641,unpd
Albania,ALB,2015,f,1,24,unpd
Albania,ALB,2016,f,1,25,unpd
Albania,ALB,2017,f,1,16,unpd
Albania,ALB,2018,f,1,14,unpd
Albania,ALB,2019,f,1,10,unpd
Albania,ALB,2020,f,1,10.2941179275513,unpd
Albania,ALB,2021,f,1,5.80882358551025,unpd
Albania,ALB,2015,f,5,24,unpd
Albania,ALB,2016,f,5,11,unpd
Albania,ALB,2017,f,5,14,unpd
Albania,ALB,2018,f,5,19,unpd
Albania,ALB,2019,f,5,12,unpd
Albania,ALB,2020,f,5,6,unpd
Albania,ALB,2021,f,5,10,unpd
Albania,ALB,2015,f,10,30,unpd
Albania,ALB,2016,f,10,21,unpd
Albania,ALB,2017,f,10,19,unpd
Albania,ALB,2018,f,10,20,unpd
Albania,ALB,2019,f,10,24,unpd
Albania,ALB,2020,f,10,11,unpd
Albania,ALB,2021,f,10,12,unpd
Albania,ALB,2015,f,15,40,unpd
Albania,ALB,2016,f,15,41,unpd
Albania,ALB,2017,f,15,28,unpd
Albania,ALB,2018,f,15,33,unpd
Albania,ALB,2019,f,15,25,unpd
Albania,ALB,2020,f,15,12,unpd
Albania,ALB,2021,f,15,13,unpd
Albania,ALB,2015,f,20,30,unpd
Albania,ALB,2016,f,20,31,unpd
Albania,ALB,2017,f,20,41,unpd
Albania,ALB,2018,f,20,29,unpd
Albania,ALB,2019,f,20,33,unpd
Albania,ALB,2020,f,20,17,unpd
Albania,ALB,2021,f,20,24,unpd
Albania,ALB,2015,f,25,42,unpd
Albania,ALB,2016,f,25,40,unpd
Albania,ALB,2017,f,25,26,unpd
Albania,ALB,2018,f,25,29,unpd
Albania,ALB,2019,f,25,28,unpd
Albania,ALB,2020,f,25,27,unpd
Albania,ALB,2021,f,25,28,unpd
Albania,ALB,2015,f,30,44,unpd
Albania,ALB,2016,f,30,39,unpd
Albania,ALB,2017,f,30,31,unpd
Albania,ALB,2018,f,30,30,unpd
Albania,ALB,2019,f,30,43,unpd
Albania,ALB,2020,f,30,46,unpd
Albania,ALB,2021,f,30,26,unpd
Albania,ALB,2015,f,35,57,unpd
Albania,ALB,2016,f,35,62,unpd
Albania,ALB,2017,f,35,55,unpd
Albania,ALB,2018,f,35,53,unpd
Albania,ALB,2019,f,35,43,unpd
Albania,ALB,2020,f,35,56,unpd
Albania,ALB,2021,f,35,39,unpd
Albania,ALB,2015,f,40,98,unpd
Albania,ALB,2016,f,40,81,unpd
Albania,ALB,2017,f,40,80,unpd
Albania,ALB,2018,f,40,78,unpd
Albania,ALB,2019,f,40,75,unpd
Albania,ALB,2020,f,40,78,unpd
Albania,ALB,2021,f,40,58,unpd
Albania,ALB,2015,f,45,151,unpd
Albania,ALB,2016,f,45,143,unpd
Albania,ALB,2017,f,45,139,unpd
Albania,ALB,2018,f,45,120,unpd
Albania,ALB,2019,f,45,131,unpd
Albania,ALB,2020,f,45,132,unpd
Albania,ALB,2021,f,45,114,unpd
Albania,ALB,2015,f,50,233,unpd
Albania,ALB,2016,f,50,200,unpd
Albania,ALB,2017,f,50,217,unpd
Albania,ALB,2018,f,50,181,unpd
Albania,ALB,2019,f,50,205,unpd
Albania,ALB,2020,f,50,226,unpd
Albania,ALB,2021,f,50,194,unpd
Albania,ALB,2015,f,55,292,unpd
Albania,ALB,2016,f,55,313,unpd
Albania,ALB,2017,f,55,306,unpd
Albania,ALB,2018,f,55,344,unpd
Albania,ALB,2019,f,55,312,unpd
Albania,ALB,2020,f,55,364,unpd
Albania,ALB,2021,f,55,289,unpd
Albania,ALB,2015,f,60,413,unpd
Albania,ALB,2016,f,60,452,unpd
Albania,ALB,2017,f,60,455,unpd
Albania,ALB,2018,f,60,478,unpd
Albania,ALB,2019,f,60,463,unpd
Albania,ALB,2020,f,60,598,unpd
Albania,ALB,2021,f,60,456,unpd
Albania,ALB,2015,f,65,600,unpd
Albania,ALB,2016,f,65,579,unpd
Albania,ALB,2017,f,65,622,unpd
Albania,ALB,2018,f,65,590,unpd
Albania,ALB,2019,f,65,597,unpd
Albania,ALB,2020,f,65,779,unpd
Albania,ALB,2021,f,65,604,unpd
Albania,ALB,2015,f,70,1135,unpd
Albania,ALB,2016,f,70,919,unpd
Albania,ALB,2017,f,70,920,unpd
Albania,ALB,2018,f,70,816,unpd
Albania,ALB,2019,f,70,790,unpd
Albania,ALB,2020,f,70,1158,unpd
Albania,ALB,2021,f,70,976,unpd
Albania,ALB,2015,f,75,1714,unpd
Albania,ALB,2016,f,75,1659,unpd
Albania,ALB,2017,f,75,1748,unpd
Albania,ALB,2018,f,75,1704,unpd
Albania,ALB,2019,f,75,1714,unpd
Albania,ALB,2020,f,75,1929,unpd
Albania,ALB,2021,f,75,1430,unpd
