Country,Code,Year,Sex,Age,Deaths,age_up,Source
United Arab Emirates,ARE,2019,f,0,184,0,who_mort_db
United Arab Emirates,ARE,2019,f,1,52,4,who_mort_db
United Arab Emirates,ARE,2019,f,5,23,9,who_mort_db
United Arab Emirates,ARE,2019,f,10,28,14,who_mort_db
United Arab Emirates,ARE,2019,f,15,15,19,who_mort_db
United Arab Emirates,ARE,2019,f,20,23,24,who_mort_db
United Arab Emirates,ARE,2019,f,25,64,29,who_mort_db
United Arab Emirates,ARE,2019,f,30,92,34,who_mort_db
United Arab Emirates,ARE,2019,f,35,97,39,who_mort_db
United Arab Emirates,ARE,2019,f,40,114,44,who_mort_db
United Arab Emirates,ARE,2019,f,45,104,49,who_mort_db
United Arab Emirates,ARE,2019,f,50,127,54,who_mort_db
United Arab Emirates,ARE,2019,f,55,165,59,who_mort_db
United Arab Emirates,ARE,2019,f,60,178,64,who_mort_db
United Arab Emirates,ARE,2019,f,65,221,69,who_mort_db
United Arab Emirates,ARE,2019,f,70,249,74,who_mort_db
United Arab Emirates,ARE,2019,f,75,254,79,who_mort_db
United Arab Emirates,ARE,2019,f,80,240,84,who_mort_db
United Arab Emirates,ARE,2019,f,85,211,89,who_mort_db
United Arab Emirates,ARE,2019,f,90,91,94,who_mort_db
United Arab Emirates,ARE,2019,f,95,93,15,who_mort_db
United Arab Emirates,ARE,2019,m,0,216,0,who_mort_db
United Arab Emirates,ARE,2019,m,1,64,4,who_mort_db
United Arab Emirates,ARE,2019,m,5,27,9,who_mort_db
United Arab Emirates,ARE,2019,m,10,23,14,who_mort_db
United Arab Emirates,ARE,2019,m,15,82,19,who_mort_db
United Arab Emirates,ARE,2019,m,20,236,24,who_mort_db
United Arab Emirates,ARE,2019,m,25,373,29,who_mort_db
United Arab Emirates,ARE,2019,m,30,447,34,who_mort_db
United Arab Emirates,ARE,2019,m,35,491,39,who_mort_db
United Arab Emirates,ARE,2019,m,40,504,44,who_mort_db
United Arab Emirates,ARE,2019,m,45,537,49,who_mort_db
United Arab Emirates,ARE,2019,m,50,537,54,who_mort_db
