Source,Country,Code,Year,Sex,Age,Deaths
eurs,Albania,ALB,2015,f,0,123
eurs,Albania,ALB,2015,f,5,24
eurs,Albania,ALB,2015,f,10,29.999999999999996
eurs,Albania,ALB,2015,f,15,40
eurs,Albania,ALB,2015,f,20,30.000000000000004
eurs,Albania,ALB,2015,f,25,42
eurs,Albania,ALB,2015,f,30,44.00000000000001
eurs,Albania,ALB,2015,f,35,58
eurs,Albania,ALB,2015,f,40,98
eurs,Albania,ALB,2015,f,45,151.99999999999997
eurs,Albania,ALB,2015,f,50,237
eurs,Albania,ALB,2015,f,55,297
eurs,Albania,ALB,2015,f,60,417.9999999999999
eurs,Albania,ALB,2015,f,65,606.0000000000001
eurs,Albania,ALB,2015,f,70,1145
eurs,Albania,ALB,2015,f,75,1729.0000000000005
eurs,Albania,ALB,2015,f,80,2151
eurs,Albania,ALB,2015,f,85,1748
eurs,Albania,ALB,2015,f,90,1695
eurs,Albania,ALB,2015,m,0,174
eurs,Albania,ALB,2015,m,5,16
eurs,Albania,ALB,2015,m,10,18.999999999999996
eurs,Albania,ALB,2015,m,15,76
eurs,Albania,ALB,2015,m,20,92
eurs,Albania,ALB,2015,m,25,89
eurs,Albania,ALB,2015,m,30,81
eurs,Albania,ALB,2015,m,35,102
eurs,Albania,ALB,2015,m,40,176
eurs,Albania,ALB,2015,m,45,271.99999999999994
eurs,Albania,ALB,2015,m,50,481
eurs,Albania,ALB,2015,m,55,681
eurs,Albania,ALB,2015,m,60,856.0000000000001
eurs,Albania,ALB,2015,m,65,1030.0000000000002
eurs,Albania,ALB,2015,m,70,1558.0000000000002
eurs,Albania,ALB,2015,m,75,2089
eurs,Albania,ALB,2015,m,80,2071
eurs,Albania,ALB,2015,m,85,1341
eurs,Albania,ALB,2015,m,90,722
eurs,Albania,ALB,2015,t,0,297
eurs,Albania,ALB,2015,t,5,40
eurs,Albania,ALB,2015,t,10,48.99999999999999
eurs,Albania,ALB,2015,t,15,116
eurs,Albania,ALB,2015,t,20,122
eurs,Albania,ALB,2015,t,25,131
eurs,Albania,ALB,2015,t,30,125
eurs,Albania,ALB,2015,t,35,160
eurs,Albania,ALB,2015,t,40,274
eurs,Albania,ALB,2015,t,45,423.99999999999994
eurs,Albania,ALB,2015,t,50,718
eurs,Albania,ALB,2015,t,55,978
eurs,Albania,ALB,2015,t,60,1274
eurs,Albania,ALB,2015,t,65,1636.0000000000002
eurs,Albania,ALB,2015,t,70,2703
eurs,Albania,ALB,2015,t,75,3818.000000000001
