Source,Country,Code,Year,Sex,Age,Deaths,Population
direct,Brazil,BRA,2015,f,0,16729.454156768934,1456545
direct,Brazil,BRA,2015,f,1,1161.159279245417,1439523
direct,Brazil,BRA,2015,f,2,626.6416299100462,1435045.5
direct,Brazil,BRA,2015,f,3,412.3863818149959,1451056.5
direct,Brazil,BRA,2015,f,4,373.33284693427,1463076
direct,Brazil,BRA,2015,f,5,311.283762267229,1467055.5
direct,Brazil,BRA,2015,f,6,307.2783174474325,1472280
direct,Brazil,BRA,2015,f,7,282.2861751515952,1486106
direct,Brazil,BRA,2015,f,8,283.2610964556678,1510178.5
direct,Brazil,BRA,2015,f,9,262.23284768541004,1535039.5
direct,Brazil,BRA,2015,f,10,297.6874166926855,1550220.5
direct,Brazil,BRA,2015,f,11,263.2014021754263,1552392.5
direct,Brazil,BRA,2015,f,12,362.3118849042556,1571738.5
direct,Brazil,BRA,2015,f,13,412.3081792021966,1609687
direct,Brazil,BRA,2015,f,14,512.2932697391387,1638543.5
direct,Brazil,BRA,2015,f,15,652.238431874929,1661064.5
direct,Brazil,BRA,2015,f,16,716.152131555833,1683134
direct,Brazil,BRA,2015,f,17,794.0994313585034,1695567.5
direct,Brazil,BRA,2015,f,18,845.077590881791,1696193.5
direct,Brazil,BRA,2015,f,19,869.061227765841,1697525
direct,Brazil,BRA,2015,f,20,914.2196543314312,1693495
direct,Brazil,BRA,2015,f,21,955.1028885466668,1686163.5
direct,Brazil,BRA,2015,f,22,909.2773494100568,1681019
direct,Brazil,BRA,2015,f,23,902.4342893014186,1686596.5
direct,Brazil,BRA,2015,f,24,933.322299871205,1702153.5
direct,Brazil,BRA,2015,f,25,997.363366370015,1716435.5
direct,Brazil,BRA,2015,f,26,1127.2454319448111,1730377
direct,Brazil,BRA,2015,f,27,1106.2389429470225,1744662.5
direct,Brazil,BRA,2015,f,28,1159.490405213364,1755918
direct,Brazil,BRA,2015,f,29,1183.2928024343992,1763772.5
direct,Brazil,BRA,2015,f,30,1311.8620319172685,1770414
direct,Brazil,BRA,2015,f,31,1364.927050142708,1770176
direct,Brazil,BRA,2015,f,32,1580.8576613941964,1762379.5
direct,Brazil,BRA,2015,f,33,1712.9519460788083,1745309
direct,Brazil,BRA,2015,f,34,1796.8225508345718,1719599
direct,Brazil,BRA,2015,f,35,1891.445930280845,1687176
direct,Brazil,BRA,2015,f,36,1992.9762249927055,1651340.5
direct,Brazil,BRA,2015,f,37,2071.3373649370433,1613308.5
direct,Brazil,BRA,2015,f,38,2228.56116783809,1574339.5
direct,Brazil,BRA,2015,f,39,2240.6032583613737,1535776.5
direct,Brazil,BRA,2015,f,40,2400.282873991642,1499187.5
direct,Brazil,BRA,2015,f,41,2451.804611634719,1472707.5
direct,Brazil,BRA,2015,f,42,2686.6048402568385,1448686
direct,Brazil,BRA,2015,f,43,2736.6657831138737,1420226
direct,Brazil,BRA,2015,f,44,2899.7992652965895,1394312
direct,Brazil,BRA,2015,f,45,3175.973926835295,1368994
direct,Brazil,BRA,2015,f,46,3324.437342246993,1346183
direct,Brazil,BRA,2015,f,47,3598.360391577396,1332331
direct,Brazil,BRA,2015,f,48,3836.5922967729302,1324724.5
direct,Brazil,BRA,2015,f,49,4153.9026522246195,1315240
direct,Brazil,BRA,2015,f,50,4528.308220099024,1303163
direct,Brazil,BRA,2015,f,51,4991.93895939804,1286342
direct,Brazil,BRA,2015,f,52,5021.517012430718,1260217
direct,Brazil,BRA,2015,f,53,5201.427964883847,1227536.5
direct,Brazil,BRA,2015,f,54,5347.052060995825,1190369
direct,Brazil,BRA,2015,f,55,5654.360055643615,1150605
direct,Brazil,BRA,2015,f,56,6081.433382148183,1110377
direct,Brazil,BRA,2015,f,57,6481.1873705547405,1069330
direct,Brazil,BRA,2015,f,58,6631.092579862613,1028029.5
direct,Brazil,BRA,2015,f,59,7069.188381663901,987043.5
direct,Brazil,BRA,2015,f,60,7392.246385985663,946909
direct,Brazil,BRA,2015,f,61,7432.403859380396,907168
direct,Brazil,BRA,2015,f,62,7803.120502415856,869178.5
direct,Brazil,BRA,2015,f,63,7935.815451957502,833998
direct,Brazil,BRA,2015,f,64,8393.297411569078,799050
direct,Brazil,BRA,2015,f,65,8933.508986620956,761992.5
direct,Brazil,BRA,2015,f,66,8906.258173256121,709005.5
direct,Brazil,BRA,2015,f,67,9381.112107657784,651305.5
direct,Brazil,BRA,2015,f,68,9353.56575792576,606256
direct,Brazil,BRA,2015,f,69,9647.512788512671,565567
direct,Brazil,BRA,2015,f,70,9750.506540657929,533545
direct,Brazil,BRA,2015,f,71,10568.022918832728,508145
direct,Brazil,BRA,2015,f,72,10805.297629170018,483575
direct,Brazil,BRA,2015,f,73,10736.82202740401,459606.5
direct,Brazil,BRA,2015,f,74,11104.014888912376,433975
direct,Brazil,BRA,2015,f,75,12710.98198685612,409180
direct,Brazil,BRA,2015,f,76,12562.52224181568,384116.5
direct,Brazil,BRA,2015,f,77,12597.283909691829,356394.5
direct,Brazil,BRA,2015,f,78,13341.15982787981,328675
direct,Brazil,BRA,2015,f,79,14288.777032905822,301177.5
direct,Brazil,BRA,2015,f,80,13941.106261031591,274556
direct,Brazil,BRA,2015,f,81,13346.811570233622,248940.5
direct,Brazil,BRA,2015,f,82,13854.356255766605,222649.5
direct,Brazil,BRA,2015,f,83,14345.34190188945,195505
direct,Brazil,BRA,2015,f,84,14775.616174968824,168118
direct,Brazil,BRA,2015,f,85,15220.913324394896,141912.5
direct,Brazil,BRA,2015,f,86,14005.682662152789,117282.5
direct,Brazil,BRA,2015,f,87,13766.71087609932,94237.5
direct,Brazil,BRA,2015,f,88,13360.425214865696,73612.5
direct,Brazil,BRA,2015,f,89,12257.186786327757,56202.5
direct,Brazil,BRA,2015,f,90,11100.595526578903,42154.5
direct,Brazil,BRA,2015,f,91,9954.32214108678,30957
direct,Brazil,BRA,2015,f,92,8844.581503488345,22147.5
direct,Brazil,BRA,2015,f,93,7374.119499647118,15459.5
direct,Brazil,BRA,2015,f,94,6285.510015682943,10544.5
direct,Brazil,BRA,2015,f,95,5648.876183674199,6995.5
direct,Brazil,BRA,2015,f,96,4477.016526932244,4504
direct,Brazil,BRA,2015,f,97,3727.957725233497,2834.5
direct,Brazil,BRA,2015,f,98,2969.875459996831,1746.5
direct,Brazil,BRA,2015,f,99,2319.531258290878,1044.5
direct,Brazil,BRA,2015,f,100,6384.640277073631,1303.5
direct,Brazil,BRA,2015,m,0,20869.098200881785,1517573
direct,Brazil,BRA,2015,m,1,1332.3102205939829,1498999
direct,Brazil,BRA,2015,m,2,694.7869188588836,1493940.5
direct,Brazil,BRA,2015,m,3,514.0172441808246,1510265
direct,Brazil,BRA,2015,m,4,494.9199021051029,1522329
direct,Brazil,BRA,2015,m,5,401.5657811126717,1526141
direct,Brazil,BRA,2015,m,6,399.5556179714566,1531104.5
direct,Brazil,BRA,2015,m,7,317.2694182959163,1544789
direct,Brazil,BRA,2015,m,8,360.408955372597,1569181
direct,Brazil,BRA,2015,m,9,349.3539616841252,1594502
direct,Brazil,BRA,2015,m,10,402.1283094383565,1609557.5
direct,Brazil,BRA,2015,m,11,415.5596960920741,1610781.5
direct,Brazil,BRA,2015,m,12,500.9278575009407,1629859
direct,Brazil,BRA,2015,m,13,667.4934497994253,1668312
direct,Brazil,BRA,2015,m,14,1071.8168266606406,1696900.5
direct,Brazil,BRA,2015,m,15,1912.415762169777,1718667.5
direct,Brazil,BRA,2015,m,16,2807.991532270259,1739705.5
direct,Brazil,BRA,2015,m,17,3766.734004415293,1750292
direct,Brazil,BRA,2015,m,18,4340.376471510399,1748608.5
direct,Brazil,BRA,2015,m,19,4707.407352092117,1747217.5
direct,Brazil,BRA,2015,m,20,4962.026722250283,1740077.5
direct,Brazil,BRA,2015,m,21,4720.623222667986,1730070
direct,Brazil,BRA,2015,m,22,4403.507081490217,1721706.5
direct,Brazil,BRA,2015,m,23,4462.4854105942895,1723646
direct,Brazil,BRA,2015,m,24,4187.965277603525,1735953
direct,Brazil,BRA,2015,m,25,4248.246775632292,1746638
direct,Brazil,BRA,2015,m,26,4372.022845746828,1756188.5
direct,Brazil,BRA,2015,m,27,4305.803019309945,1766233.5
direct,Brazil,BRA,2015,m,28,4303.684224712205,1773545.5
direct,Brazil,BRA,2015,m,29,4322.993684545087,1776826.5
direct,Brazil,BRA,2015,m,30,4321.754823570302,1778543
direct,Brazil,BRA,2015,m,31,4300.773047803592,1772857
direct,Brazil,BRA,2015,m,32,4531.000026993813,1758535
direct,Brazil,BRA,2015,m,33,4729.764180164851,1734568
