Code,Country,Year,Sex,Age,Deaths,Source,age_spn
AUS,Australia,2010,f,0,494.02,hmd,1
AUS,Australia,2010,f,1,42,hmd,1
AUS,Australia,2010,f,2,27,hmd,1
AUS,Australia,2010,f,3,13,hmd,1
AUS,Australia,2010,f,4,14,hmd,1
AUS,Australia,2010,f,5,13,hmd,1
AUS,Australia,2010,f,6,11,hmd,1
AUS,Australia,2010,f,7,11,hmd,1
AUS,Australia,2010,f,8,6,hmd,1
AUS,Australia,2010,f,9,14,hmd,1
AUS,Australia,2010,f,10,12,hmd,1
AUS,Australia,2010,f,11,7,hmd,1
AUS,Australia,2010,f,12,10,hmd,1
AUS,Australia,2010,f,13,11,hmd,1
AUS,Australia,2010,f,14,14,hmd,1
AUS,Australia,2010,f,15,21,hmd,1
AUS,Australia,2010,f,16,29,hmd,1
AUS,Australia,2010,f,17,41,hmd,1
AUS,Australia,2010,f,18,30,hmd,1
AUS,Australia,2010,f,19,31,hmd,1
AUS,Australia,2010,f,20,51,hmd,1
AUS,Australia,2010,f,21,37,hmd,1
AUS,Australia,2010,f,22,42,hmd,1
AUS,Australia,2010,f,23,34,hmd,1
AUS,Australia,2010,f,24,52,hmd,1
AUS,Australia,2010,f,25,49,hmd,1
AUS,Australia,2010,f,26,48,hmd,1
AUS,Australia,2010,f,27,39,hmd,1
AUS,Australia,2010,f,28,54,hmd,1
AUS,Australia,2010,f,29,55,hmd,1
AUS,Australia,2010,f,30,58,hmd,1
AUS,Australia,2010,f,31,50,hmd,1
AUS,Australia,2010,f,32,53,hmd,1
AUS,Australia,2010,f,33,63,hmd,1
AUS,Australia,2010,f,34,64.3,hmd,1
AUS,Australia,2010,f,35,84,hmd,1
AUS,Australia,2010,f,36,80,hmd,1
AUS,Australia,2010,f,37,94,hmd,1
AUS,Australia,2010,f,38,105.3,hmd,1
AUS,Australia,2010,f,39,136,hmd,1
AUS,Australia,2010,f,40,124,hmd,1
AUS,Australia,2010,f,41,147,hmd,1
AUS,Australia,2010,f,42,131,hmd,1
AUS,Australia,2010,f,43,134,hmd,1
AUS,Australia,2010,f,44,171,hmd,1
AUS,Australia,2010,f,45,182,hmd,1
AUS,Australia,2010,f,46,213,hmd,1
AUS,Australia,2010,f,47,209,hmd,1
AUS,Australia,2010,f,48,230.01,hmd,1
AUS,Australia,2010,f,49,265.02,hmd,1
AUS,Australia,2010,f,50,284.32,hmd,1
AUS,Australia,2010,f,51,275.02,hmd,1
AUS,Australia,2010,f,52,331.02,hmd,1
AUS,Australia,2010,f,53,319.02,hmd,1
AUS,Australia,2010,f,54,342.02,hmd,1
AUS,Australia,2010,f,55,390.32,hmd,1
AUS,Australia,2010,f,56,377.02,hmd,1
AUS,Australia,2010,f,57,403.31,hmd,1
AUS,Australia,2010,f,58,425.02,hmd,1
AUS,Australia,2010,f,59,466.02,hmd,1
AUS,Australia,2010,f,60,479.02,hmd,1
AUS,Australia,2010,f,61,492.02,hmd,1
AUS,Australia,2010,f,62,612.02,hmd,1
AUS,Australia,2010,f,63,620.02,hmd,1
AUS,Australia,2010,f,64,632.02,hmd,1
AUS,Australia,2010,f,65,618.02,hmd,1
AUS,Australia,2010,f,66,679.43,hmd,1
AUS,Australia,2010,f,67,690.43,hmd,1
AUS,Australia,2010,f,68,686.03,hmd,1
AUS,Australia,2010,f,69,755.03,hmd,1
AUS,Australia,2010,f,70,868.04,hmd,1
AUS,Australia,2010,f,71,920.04,hmd,1
AUS,Australia,2010,f,72,953.04,hmd,1
AUS,Australia,2010,f,73,1031.34,hmd,1
AUS,Australia,2010,f,74,1088.35,hmd,1
AUS,Australia,2010,f,75,1180.45,hmd,1
AUS,Australia,2010,f,76,1171.05,hmd,1
AUS,Australia,2010,f,77,1336.46,hmd,1
AUS,Australia,2010,f,78,1491.47,hmd,1
AUS,Australia,2010,f,79,1653.37,hmd,1
AUS,Australia,2010,f,80,1993.09,hmd,1
AUS,Australia,2010,f,81,2083.09,hmd,1
AUS,Australia,2010,f,82,2268.4,hmd,1
AUS,Australia,2010,f,83,2444.1,hmd,1
AUS,Australia,2010,f,84,2702.12,hmd,1
AUS,Australia,2010,f,85,2827.42,hmd,1
AUS,Australia,2010,f,86,2918.13,hmd,1
AUS,Australia,2010,f,87,2986.13,hmd,1
AUS,Australia,2010,f,88,3152.13,hmd,1
AUS,Australia,2010,f,89,3062.13,hmd,1
AUS,Australia,2010,f,90,2851.42,hmd,1
AUS,Australia,2010,f,91,2373.1,hmd,1
AUS,Australia,2010,f,92,2263.39,hmd,1
AUS,Australia,2010,f,93,2085.09,hmd,1
AUS,Australia,2010,f,94,1885.38,hmd,1
AUS,Australia,2010,f,95,1630.07,hmd,1
AUS,Australia,2010,f,96,1333.06,hmd,1
AUS,Australia,2010,f,97,1010.04,hmd,1
AUS,Australia,2010,f,98,768.03,hmd,1
AUS,Australia,2010,f,99,546.03,hmd,1
AUS,Australia,2010,f,100,1052.05,hmd,-1
AUS,Australia,2010,m,0,727.04,hmd,1
AUS,Australia,2010,m,1,52,hmd,1
AUS,Australia,2010,m,2,33,hmd,1
AUS,Australia,2010,m,3,22,hmd,1
AUS,Australia,2010,m,4,15,hmd,1
AUS,Australia,2010,m,5,18,hmd,1
AUS,Australia,2010,m,6,26,hmd,1
AUS,Australia,2010,m,7,10,hmd,1
AUS,Australia,2010,m,8,24,hmd,1
AUS,Australia,2010,m,9,10,hmd,1
AUS,Australia,2010,m,10,14,hmd,1
AUS,Australia,2010,m,11,9,hmd,1
AUS,Australia,2010,m,12,13,hmd,1
AUS,Australia,2010,m,13,15,hmd,1
AUS,Australia,2010,m,14,36,hmd,1
AUS,Australia,2010,m,15,28,hmd,1
AUS,Australia,2010,m,16,59,hmd,1
AUS,Australia,2010,m,17,81,hmd,1
AUS,Australia,2010,m,18,100,hmd,1
AUS,Australia,2010,m,19,89,hmd,1
AUS,Australia,2010,m,20,98,hmd,1
AUS,Australia,2010,m,21,107,hmd,1
AUS,Australia,2010,m,22,93,hmd,1
AUS,Australia,2010,m,23,95.3,hmd,1
AUS,Australia,2010,m,24,103,hmd,1
AUS,Australia,2010,m,25,111,hmd,1
AUS,Australia,2010,m,26,107,hmd,1
AUS,Australia,2010,m,27,124,hmd,1
AUS,Australia,2010,m,28,106,hmd,1
AUS,Australia,2010,m,29,130,hmd,1
AUS,Australia,2010,m,30,121,hmd,1
AUS,Australia,2010,m,31,134,hmd,1
AUS,Australia,2010,m,32,142,hmd,1
AUS,Australia,2010,m,33,147,hmd,1
AUS,Australia,2010,m,34,143,hmd,1
AUS,Australia,2010,m,35,158.31,hmd,1
AUS,Australia,2010,m,36,161,hmd,1
AUS,Australia,2010,m,37,195.01,hmd,1
AUS,Australia,2010,m,38,224.02,hmd,1
AUS,Australia,2010,m,39,205.02,hmd,1
AUS,Australia,2010,m,40,215.02,hmd,1
AUS,Australia,2010,m,41,190.01,hmd,1
AUS,Australia,2010,m,42,232.02,hmd,1
AUS,Australia,2010,m,43,260.02,hmd,1
AUS,Australia,2010,m,44,256.02,hmd,1
AUS,Australia,2010,m,45,305.02,hmd,1
AUS,Australia,2010,m,46,332.02,hmd,1
AUS,Australia,2010,m,47,377.02,hmd,1
AUS,Australia,2010,m,48,400.02,hmd,1
AUS,Australia,2010,m,49,400.32,hmd,1
AUS,Australia,2010,m,50,457.02,hmd,1
AUS,Australia,2010,m,51,462.02,hmd,1
AUS,Australia,2010,m,52,490.33,hmd,1
AUS,Australia,2010,m,53,530.02,hmd,1
AUS,Australia,2010,m,54,557.04,hmd,1
AUS,Australia,2010,m,55,637.04,hmd,1
AUS,Australia,2010,m,56,616.33,hmd,1
AUS,Australia,2010,m,57,667.04,hmd,1
AUS,Australia,2010,m,58,680.04,hmd,1
AUS,Australia,2010,m,59,751.04,hmd,1
AUS,Australia,2010,m,60,849.04,hmd,1
AUS,Australia,2010,m,61,850.04,hmd,1
AUS,Australia,2010,m,62,949.35,hmd,1
AUS,Australia,2010,m,63,1029.35,hmd,1
AUS,Australia,2010,m,64,1003.06,hmd,1
AUS,Australia,2010,m,65,1097.36,hmd,1
AUS,Australia,2010,m,66,1146.76,hmd,1
AUS,Australia,2010,m,67,1161.76,hmd,1
AUS,Australia,2010,m,68,1209.06,hmd,1
AUS,Australia,2010,m,69,1258.07,hmd,1
AUS,Australia,2010,m,70,1404.08,hmd,1
AUS,Australia,2010,m,71,1402.08,hmd,1
AUS,Australia,2010,m,72,1458.08,hmd,1
AUS,Australia,2010,m,73,1581.09,hmd,1
AUS,Australia,2010,m,74,1577.08,hmd,1
AUS,Australia,2010,m,75,1700.79,hmd,1
AUS,Australia,2010,m,76,1679.09,hmd,1
AUS,Australia,2010,m,77,1837.8,hmd,1
AUS,Australia,2010,m,78,1998.8,hmd,1
AUS,Australia,2010,m,79,2223.12,hmd,1
