Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2015,f,15724,0,direct
South Africa,ZAF,2015,f,6183,1,direct
South Africa,ZAF,2015,f,1554,5,direct
South Africa,ZAF,2015,f,1459,10,direct
South Africa,ZAF,2015,f,3237,15,direct
South Africa,ZAF,2015,f,6849,20,direct
South Africa,ZAF,2015,f,12247,25,direct
South Africa,ZAF,2015,f,14151,30,direct
South Africa,ZAF,2015,f,13610,35,direct
South Africa,ZAF,2015,f,13524,40,direct
South Africa,ZAF,2015,f,14493,45,direct
South Africa,ZAF,2015,f,16029,50,direct
South Africa,ZAF,2015,f,16738,55,direct
South Africa,ZAF,2015,f,17648,60,direct
South Africa,ZAF,2015,f,18458,65,direct
South Africa,ZAF,2015,f,18247,70,direct
South Africa,ZAF,2015,f,21025,75,direct
South Africa,ZAF,2015,f,19373,80,direct
South Africa,ZAF,2015,f,30959,85,direct
South Africa,ZAF,2015,m,16821,0,direct
South Africa,ZAF,2015,m,7408,1,direct
South Africa,ZAF,2015,m,2129,5,direct
South Africa,ZAF,2015,m,1835.0000000000002,10,direct
South Africa,ZAF,2015,m,4271,15,direct
South Africa,ZAF,2015,m,8697,20,direct
South Africa,ZAF,2015,m,13624,25,direct
South Africa,ZAF,2015,m,17158,30,direct
South Africa,ZAF,2015,m,18103,35,direct
South Africa,ZAF,2015,m,19750,40,direct
South Africa,ZAF,2015,m,19421,45,direct
South Africa,ZAF,2015,m,21633,50,direct
South Africa,ZAF,2015,m,23273.999999999996,55,direct
South Africa,ZAF,2015,m,23309,60,direct
South Africa,ZAF,2015,m,22148,65,direct
South Africa,ZAF,2015,m,18650,70,direct
South Africa,ZAF,2015,m,15695,75,direct
South Africa,ZAF,2015,m,10176,80,direct
South Africa,ZAF,2015,m,12346,85,direct
South Africa,ZAF,2015,t,32545,0,direct
South Africa,ZAF,2015,t,13591,1,direct
South Africa,ZAF,2015,t,3683,5,direct
South Africa,ZAF,2015,t,3294,10,direct
South Africa,ZAF,2015,t,7508,15,direct
South Africa,ZAF,2015,t,15546,20,direct
South Africa,ZAF,2015,t,25871,25,direct
South Africa,ZAF,2015,t,31309,30,direct
South Africa,ZAF,2015,t,31713,35,direct
South Africa,ZAF,2015,t,33274,40,direct
South Africa,ZAF,2015,t,33914,45,direct
South Africa,ZAF,2015,t,37662,50,direct
South Africa,ZAF,2015,t,40012,55,direct
South Africa,ZAF,2015,t,40957,60,direct
South Africa,ZAF,2015,t,40606,65,direct
