Country,Code,Year,Sex,Age,Deaths,Source,age_spn
Austria,AUT,2010,f,0,156,stmf,5
Austria,AUT,2010,f,5,19.999999999999996,stmf,5
Austria,AUT,2010,f,10,18,stmf,5
Austria,AUT,2010,f,15,43,stmf,5
Austria,AUT,2010,f,20,66,stmf,5
Austria,AUT,2010,f,25,72,stmf,5
Austria,AUT,2010,f,30,82,stmf,5
Austria,AUT,2010,f,35,168.99999999999997,stmf,5
Austria,AUT,2010,f,40,279,stmf,5
Austria,AUT,2010,f,45,532,stmf,5
Austria,AUT,2010,f,50,715,stmf,5
Austria,AUT,2010,f,55,934,stmf,5
Austria,AUT,2010,f,60,1478,stmf,5
Austria,AUT,2010,f,65,2041.0000000000002,stmf,5
Austria,AUT,2010,f,70,2672,stmf,5
Austria,AUT,2010,f,75,4032,stmf,5
Austria,AUT,2010,f,80,7464.000000000001,stmf,5
Austria,AUT,2010,f,85,11027,stmf,5
Austria,AUT,2010,f,90,8606,stmf,-1
Austria,AUT,2010,m,0,206,stmf,5
Austria,AUT,2010,m,5,13,stmf,5
Austria,AUT,2010,m,10,22,stmf,5
Austria,AUT,2010,m,15,137,stmf,5
Austria,AUT,2010,m,20,239,stmf,5
Austria,AUT,2010,m,25,192,stmf,5
Austria,AUT,2010,m,30,213.00000000000003,stmf,5
Austria,AUT,2010,m,35,317,stmf,5
Austria,AUT,2010,m,40,545,stmf,5
Austria,AUT,2010,m,45,998,stmf,5
Austria,AUT,2010,m,50,1479,stmf,5
Austria,AUT,2010,m,55,1855,stmf,5
Austria,AUT,2010,m,60,2803,stmf,5
Austria,AUT,2010,m,65,3822,stmf,5
Austria,AUT,2010,m,70,4252,stmf,5
Austria,AUT,2010,m,75,4969,stmf,5
Austria,AUT,2010,m,80,6296,stmf,5
Austria,AUT,2010,m,85,5339,stmf,5
Austria,AUT,2010,m,90,2895,stmf,-1
Austria,AUT,2010,t,0,362,stmf,5
Austria,AUT,2010,t,5,33,stmf,5
Austria,AUT,2010,t,10,40,stmf,5
Austria,AUT,2010,t,15,180,stmf,5
Austria,AUT,2010,t,20,305,stmf,5
Austria,AUT,2010,t,25,264,stmf,5
Austria,AUT,2010,t,30,295,stmf,5
Austria,AUT,2010,t,35,486,stmf,5
Austria,AUT,2010,t,40,824,stmf,5
Austria,AUT,2010,t,45,1530,stmf,5
Austria,AUT,2010,t,50,2194,stmf,5
Austria,AUT,2010,t,55,2789,stmf,5
Austria,AUT,2010,t,60,4281,stmf,5
Austria,AUT,2010,t,65,5863,stmf,5
Austria,AUT,2010,t,70,6924,stmf,5
Austria,AUT,2010,t,75,9001,stmf,5
Austria,AUT,2010,t,80,13760,stmf,5
Austria,AUT,2010,t,85,16366,stmf,5
Austria,AUT,2010,t,90,11501,stmf,-1
Austria,AUT,2011,f,0,125,stmf,5
Austria,AUT,2011,f,5,20,stmf,5
Austria,AUT,2011,f,10,16,stmf,5
Austria,AUT,2011,f,15,51.99999999999999,stmf,5
Austria,AUT,2011,f,20,71,stmf,5
Austria,AUT,2011,f,25,87.99999999999999,stmf,5
Austria,AUT,2011,f,30,87.99999999999999,stmf,5
Austria,AUT,2011,f,35,129,stmf,5
Austria,AUT,2011,f,40,263,stmf,5
Austria,AUT,2011,f,45,531,stmf,5
Austria,AUT,2011,f,50,742,stmf,5
Austria,AUT,2011,f,55,988.0000000000001,stmf,5
Austria,AUT,2011,f,60,1467.0000000000002,stmf,5
Austria,AUT,2011,f,65,1984,stmf,5
Austria,AUT,2011,f,70,2806.9999999999995,stmf,5
Austria,AUT,2011,f,75,3762,stmf,5
Austria,AUT,2011,f,80,6964,stmf,5
Austria,AUT,2011,f,85,10522,stmf,5
Austria,AUT,2011,f,90,9198,stmf,-1
Austria,AUT,2011,m,0,214,stmf,5
Austria,AUT,2011,m,5,17,stmf,5
Austria,AUT,2011,m,10,19,stmf,5
Austria,AUT,2011,m,15,121.99999999999999,stmf,5
Austria,AUT,2011,m,20,196,stmf,5
Austria,AUT,2011,m,25,178,stmf,5
Austria,AUT,2011,m,30,205,stmf,5
Austria,AUT,2011,m,35,273,stmf,5
Austria,AUT,2011,m,40,520,stmf,5
Austria,AUT,2011,m,45,930,stmf,5
Austria,AUT,2011,m,50,1424,stmf,5
Austria,AUT,2011,m,55,1844,stmf,5
Austria,AUT,2011,m,60,2869,stmf,5
Austria,AUT,2011,m,65,3463.9999999999995,stmf,5
Austria,AUT,2011,m,70,4468,stmf,5
Austria,AUT,2011,m,75,4888,stmf,5
Austria,AUT,2011,m,80,6401,stmf,5
Austria,AUT,2011,m,85,5310,stmf,5
Austria,AUT,2011,m,90,3097.0000000000005,stmf,-1
Austria,AUT,2011,t,0,339,stmf,5
Austria,AUT,2011,t,5,37,stmf,5
Austria,AUT,2011,t,10,35,stmf,5
Austria,AUT,2011,t,15,173.99999999999997,stmf,5
Austria,AUT,2011,t,20,267,stmf,5
Austria,AUT,2011,t,25,266,stmf,5
Austria,AUT,2011,t,30,293,stmf,5
Austria,AUT,2011,t,35,402,stmf,5
Austria,AUT,2011,t,40,783,stmf,5
Austria,AUT,2011,t,45,1461,stmf,5
Austria,AUT,2011,t,50,2166,stmf,5
Austria,AUT,2011,t,55,2832,stmf,5
Austria,AUT,2011,t,60,4336,stmf,5
Austria,AUT,2011,t,65,5448,stmf,5
Austria,AUT,2011,t,70,7275,stmf,5
Austria,AUT,2011,t,75,8650,stmf,5
Austria,AUT,2011,t,80,13365,stmf,5
Austria,AUT,2011,t,85,15832,stmf,5
Austria,AUT,2011,t,90,12295,stmf,-1
Austria,AUT,2012,f,0,141,stmf,5
Austria,AUT,2012,f,5,15,stmf,5
Austria,AUT,2012,f,10,21,stmf,5
Austria,AUT,2012,f,15,44,stmf,5
Austria,AUT,2012,f,20,49,stmf,5
Austria,AUT,2012,f,25,66,stmf,5
Austria,AUT,2012,f,30,86.99999999999999,stmf,5
Austria,AUT,2012,f,35,130,stmf,5
Austria,AUT,2012,f,40,254.99999999999994,stmf,5
Austria,AUT,2012,f,45,504.00000000000006,stmf,5
Austria,AUT,2012,f,50,749,stmf,5
Austria,AUT,2012,f,55,958.9999999999999,stmf,5
Austria,AUT,2012,f,60,1462,stmf,5
Austria,AUT,2012,f,65,1991.0000000000002,stmf,5
Austria,AUT,2012,f,70,3201,stmf,5
Austria,AUT,2012,f,75,3757,stmf,5
Austria,AUT,2012,f,80,7019.000000000001,stmf,5
Austria,AUT,2012,f,85,10783.999999999998,stmf,5
Austria,AUT,2012,f,90,10520,stmf,-1
Austria,AUT,2012,m,0,155,stmf,5
Austria,AUT,2012,m,5,18,stmf,5
Austria,AUT,2012,m,10,30,stmf,5
Austria,AUT,2012,m,15,107.99999999999999,stmf,5
Austria,AUT,2012,m,20,166,stmf,5
Austria,AUT,2012,m,25,215,stmf,5
Austria,AUT,2012,m,30,187,stmf,5
Austria,AUT,2012,m,35,271,stmf,5
Austria,AUT,2012,m,40,486.99999999999994,stmf,5
Austria,AUT,2012,m,45,896,stmf,5
Austria,AUT,2012,m,50,1407.0000000000002,stmf,5
Austria,AUT,2012,m,55,1841.9999999999995,stmf,5
Austria,AUT,2012,m,60,2791,stmf,5
Austria,AUT,2012,m,65,3418,stmf,5
Austria,AUT,2012,m,70,5075,stmf,5
Austria,AUT,2012,m,75,4705,stmf,5
Austria,AUT,2012,m,80,6303,stmf,5
Austria,AUT,2012,m,85,5555,stmf,5
Austria,AUT,2012,m,90,3612.9999999999995,stmf,-1
Austria,AUT,2012,t,0,296,stmf,5
Austria,AUT,2012,t,5,33,stmf,5
Austria,AUT,2012,t,10,51,stmf,5
Austria,AUT,2012,t,15,152,stmf,5
Austria,AUT,2012,t,20,215,stmf,5
Austria,AUT,2012,t,25,281,stmf,5
Austria,AUT,2012,t,30,274,stmf,5
Austria,AUT,2012,t,35,401,stmf,5
Austria,AUT,2012,t,40,741.9999999999999,stmf,5
Austria,AUT,2012,t,45,1400,stmf,5
Austria,AUT,2012,t,50,2156,stmf,5
Austria,AUT,2012,t,55,2800.9999999999995,stmf,5
Austria,AUT,2012,t,60,4253,stmf,5
Austria,AUT,2012,t,65,5409,stmf,5
Austria,AUT,2012,t,70,8276,stmf,5
Austria,AUT,2012,t,75,8462,stmf,5
Austria,AUT,2012,t,80,13322,stmf,5
Austria,AUT,2012,t,85,16339,stmf,5
Austria,AUT,2012,t,90,14133,stmf,-1
Austria,AUT,2013,f,0,121.00000000000001,stmf,5
Austria,AUT,2013,f,5,18,stmf,5
Austria,AUT,2013,f,10,17.999999999999996,stmf,5
Austria,AUT,2013,f,15,37,stmf,5
Austria,AUT,2013,f,20,58,stmf,5
Austria,AUT,2013,f,25,58,stmf,5
Austria,AUT,2013,f,30,88,stmf,5
Austria,AUT,2013,f,35,127.99999999999999,stmf,5
Austria,AUT,2013,f,40,253.99999999999997,stmf,5
Austria,AUT,2013,f,45,478,stmf,5
Austria,AUT,2013,f,50,724.9999999999999,stmf,5
Austria,AUT,2013,f,55,974,stmf,5
Austria,AUT,2013,f,60,1462,stmf,5
Austria,AUT,2013,f,65,1998.9999999999998,stmf,5
Austria,AUT,2013,f,70,3267,stmf,5
Austria,AUT,2013,f,75,3686,stmf,5
Austria,AUT,2013,f,80,6687,stmf,5
Austria,AUT,2013,f,85,10185,stmf,5
Austria,AUT,2013,f,90,11189,stmf,-1
Austria,AUT,2013,m,0,177,stmf,5
Austria,AUT,2013,m,5,18,stmf,5
Austria,AUT,2013,m,10,28.999999999999996,stmf,5
Austria,AUT,2013,m,15,87,stmf,5
Austria,AUT,2013,m,20,160,stmf,5
Austria,AUT,2013,m,25,174,stmf,5
Austria,AUT,2013,m,30,180.99999999999997,stmf,5
Austria,AUT,2013,m,35,264,stmf,5
Austria,AUT,2013,m,40,422,stmf,5
Austria,AUT,2013,m,45,932.9999999999999,stmf,5
Austria,AUT,2013,m,50,1445,stmf,5
Austria,AUT,2013,m,55,1929,stmf,5
Austria,AUT,2013,m,60,2653.0000000000005,stmf,5
Austria,AUT,2013,m,65,3518,stmf,5
Austria,AUT,2013,m,70,5003.999999999999,stmf,5
Austria,AUT,2013,m,75,4712,stmf,5
Austria,AUT,2013,m,80,6479,stmf,5
Austria,AUT,2013,m,85,5808,stmf,5
Austria,AUT,2013,m,90,3851,stmf,-1
Austria,AUT,2013,t,0,298,stmf,5
Austria,AUT,2013,t,5,36,stmf,5
Austria,AUT,2013,t,10,46.99999999999999,stmf,5
Austria,AUT,2013,t,15,124,stmf,5
Austria,AUT,2013,t,20,218,stmf,5
Austria,AUT,2013,t,25,232,stmf,5
Austria,AUT,2013,t,30,269,stmf,5
Austria,AUT,2013,t,35,392,stmf,5
Austria,AUT,2013,t,40,676,stmf,5
Austria,AUT,2013,t,45,1411,stmf,5
Austria,AUT,2013,t,50,2170,stmf,5
Austria,AUT,2013,t,55,2903,stmf,5
Austria,AUT,2013,t,60,4115,stmf,5
Austria,AUT,2013,t,65,5517,stmf,5
Austria,AUT,2013,t,70,8271,stmf,5
Austria,AUT,2013,t,75,8398,stmf,5
Austria,AUT,2013,t,80,13166,stmf,5
Austria,AUT,2013,t,85,15993,stmf,5
Austria,AUT,2013,t,90,15040,stmf,-1
Austria,AUT,2014,f,0,139,stmf,5
Austria,AUT,2014,f,5,20,stmf,5
Austria,AUT,2014,f,10,18,stmf,5
Austria,AUT,2014,f,15,41,stmf,5
Austria,AUT,2014,f,20,52.99999999999999,stmf,5
Austria,AUT,2014,f,25,76.00000000000001,stmf,5
Austria,AUT,2014,f,30,111.99999999999999,stmf,5
Austria,AUT,2014,f,35,133,stmf,5
Austria,AUT,2014,f,40,257,stmf,5
Austria,AUT,2014,f,45,462.0000000000001,stmf,5
Austria,AUT,2014,f,50,747,stmf,5
Austria,AUT,2014,f,55,1020,stmf,5
Austria,AUT,2014,f,60,1442.9999999999998,stmf,5
Austria,AUT,2014,f,65,2030,stmf,5
Austria,AUT,2014,f,70,3261,stmf,5
Austria,AUT,2014,f,75,3616,stmf,5
Austria,AUT,2014,f,80,6317.999999999999,stmf,5
Austria,AUT,2014,f,85,9519,stmf,5
Austria,AUT,2014,f,90,11433,stmf,-1
Austria,AUT,2014,m,0,157,stmf,5
Austria,AUT,2014,m,5,18,stmf,5
Austria,AUT,2014,m,10,24,stmf,5
Austria,AUT,2014,m,15,102,stmf,5
Austria,AUT,2014,m,20,142,stmf,5
Austria,AUT,2014,m,25,159,stmf,5
Austria,AUT,2014,m,30,199.99999999999997,stmf,5
Austria,AUT,2014,m,35,228,stmf,5
Austria,AUT,2014,m,40,456.99999999999994,stmf,5
Austria,AUT,2014,m,45,851.0000000000002,stmf,5
Austria,AUT,2014,m,50,1387,stmf,5
Austria,AUT,2014,m,55,1919.9999999999998,stmf,5
Austria,AUT,2014,m,60,2538,stmf,5
Austria,AUT,2014,m,65,3534,stmf,5
Austria,AUT,2014,m,70,5038,stmf,5
Austria,AUT,2014,m,75,4688,stmf,5
Austria,AUT,2014,m,80,6102,stmf,5
Austria,AUT,2014,m,85,5874.000000000001,stmf,5
Austria,AUT,2014,m,90,3869.0000000000005,stmf,-1
Austria,AUT,2014,t,0,296,stmf,5
Austria,AUT,2014,t,5,38,stmf,5
Austria,AUT,2014,t,10,42,stmf,5
Austria,AUT,2014,t,15,143,stmf,5
Austria,AUT,2014,t,20,195,stmf,5
Austria,AUT,2014,t,25,235.00000000000003,stmf,5
Austria,AUT,2014,t,30,311.99999999999994,stmf,5
Austria,AUT,2014,t,35,361,stmf,5
Austria,AUT,2014,t,40,714,stmf,5
Austria,AUT,2014,t,45,1313.0000000000002,stmf,5
Austria,AUT,2014,t,50,2134,stmf,5
Austria,AUT,2014,t,55,2940,stmf,5
Austria,AUT,2014,t,60,3980.9999999999995,stmf,5
Austria,AUT,2014,t,65,5564,stmf,5
Austria,AUT,2014,t,70,8299,stmf,5
Austria,AUT,2014,t,75,8304,stmf,5
Austria,AUT,2014,t,80,12420,stmf,5
Austria,AUT,2014,t,85,15393.000000000002,stmf,5
Austria,AUT,2014,t,90,15302,stmf,-1
Austria,AUT,2015,f,0,133,stmf,5
Austria,AUT,2015,f,5,5.999999999999999,stmf,5
Austria,AUT,2015,f,10,17,stmf,5
Austria,AUT,2015,f,15,33,stmf,5
Austria,AUT,2015,f,20,56.00000000000001,stmf,5
Austria,AUT,2015,f,25,67,stmf,5
Austria,AUT,2015,f,30,83,stmf,5
Austria,AUT,2015,f,35,133,stmf,5
Austria,AUT,2015,f,40,258.99999999999994,stmf,5
Austria,AUT,2015,f,45,445.00000000000006,stmf,5
Austria,AUT,2015,f,50,683,stmf,5
Austria,AUT,2015,f,55,1066,stmf,5
Austria,AUT,2015,f,60,1406,stmf,5
Austria,AUT,2015,f,65,2129,stmf,5
Austria,AUT,2015,f,70,3113,stmf,5
Austria,AUT,2015,f,75,4147,stmf,5
Austria,AUT,2015,f,80,6490,stmf,5
Austria,AUT,2015,f,85,10171,stmf,5
Austria,AUT,2015,f,90,12978,stmf,-1
Austria,AUT,2015,m,0,168,stmf,5
Austria,AUT,2015,m,5,16.999999999999996,stmf,5
Austria,AUT,2015,m,10,26,stmf,5
Austria,AUT,2015,m,15,95,stmf,5
Austria,AUT,2015,m,20,170,stmf,5
Austria,AUT,2015,m,25,150,stmf,5
Austria,AUT,2015,m,30,185,stmf,5
Austria,AUT,2015,m,35,259,stmf,5
Austria,AUT,2015,m,40,419.99999999999994,stmf,5
Austria,AUT,2015,m,45,791,stmf,5
Austria,AUT,2015,m,50,1382,stmf,5
Austria,AUT,2015,m,55,1917,stmf,5
Austria,AUT,2015,m,60,2520,stmf,5
Austria,AUT,2015,m,65,3512,stmf,5
Austria,AUT,2015,m,70,4932,stmf,5
Austria,AUT,2015,m,75,5599,stmf,5
Austria,AUT,2015,m,80,6363,stmf,5
Austria,AUT,2015,m,85,6616,stmf,5
Austria,AUT,2015,m,90,4432,stmf,-1
Austria,AUT,2015,t,0,301,stmf,5
