Year,Sex,Age,Deaths,age_spn,Code,Country,Source
2010,t,0,751,1,TWN,Taiwan,direct
2010,t,1,72,1,TWN,Taiwan,direct
2010,t,2,56,1,TWN,Taiwan,direct
2010,t,3,49,1,TWN,Taiwan,direct
2010,t,4,30,1,TWN,Taiwan,direct
2010,t,5,23,1,TWN,Taiwan,direct
2010,t,6,28,1,TWN,Taiwan,direct
2010,t,7,42,1,TWN,Taiwan,direct
2010,t,8,41,1,TWN,Taiwan,direct
2010,t,9,36,1,TWN,Taiwan,direct
2010,t,10,37,1,TWN,Taiwan,direct
2010,t,11,32,1,TWN,Taiwan,direct
2010,t,12,45,1,TWN,Taiwan,direct
2010,t,13,54,1,TWN,Taiwan,direct
2010,t,14,58,1,TWN,Taiwan,direct
2010,t,15,79,1,TWN,Taiwan,direct
2010,t,16,84,1,TWN,Taiwan,direct
2010,t,17,93,1,TWN,Taiwan,direct
2010,t,18,184,1,TWN,Taiwan,direct
2010,t,19,170,1,TWN,Taiwan,direct
2010,t,20,138,1,TWN,Taiwan,direct
2010,t,21,135,1,TWN,Taiwan,direct
2010,t,22,163,1,TWN,Taiwan,direct
2010,t,23,162,1,TWN,Taiwan,direct
2010,t,24,161,1,TWN,Taiwan,direct
2010,t,25,202,1,TWN,Taiwan,direct
2010,t,26,218,1,TWN,Taiwan,direct
2010,t,27,263,1,TWN,Taiwan,direct
2010,t,28,298,1,TWN,Taiwan,direct
2010,t,29,328,1,TWN,Taiwan,direct
2010,t,30,336,1,TWN,Taiwan,direct
2010,t,31,365,1,TWN,Taiwan,direct
2010,t,32,427,1,TWN,Taiwan,direct
2010,t,33,433,1,TWN,Taiwan,direct
2010,t,34,385,1,TWN,Taiwan,direct
2010,t,35,422,1,TWN,Taiwan,direct
2010,t,36,469,1,TWN,Taiwan,direct
2010,t,37,482,1,TWN,Taiwan,direct
2010,t,38,598,1,TWN,Taiwan,direct
2010,t,39,660,1,TWN,Taiwan,direct
2010,t,40,716,1,TWN,Taiwan,direct
2010,t,41,794,1,TWN,Taiwan,direct
2010,t,42,874,1,TWN,Taiwan,direct
2010,t,43,927,1,TWN,Taiwan,direct
2010,t,44,1017,1,TWN,Taiwan,direct
2010,t,45,1101,1,TWN,Taiwan,direct
2010,t,46,1253,1,TWN,Taiwan,direct
2010,t,47,1197,1,TWN,Taiwan,direct
2010,t,48,1331,1,TWN,Taiwan,direct
2010,t,49,1424,1,TWN,Taiwan,direct
2010,t,50,1494,1,TWN,Taiwan,direct
2010,t,51,1568,1,TWN,Taiwan,direct
2010,t,52,1576,1,TWN,Taiwan,direct
2010,t,53,1657,1,TWN,Taiwan,direct
2010,t,54,1716,1,TWN,Taiwan,direct
2010,t,55,1787,1,TWN,Taiwan,direct
2010,t,56,1874,1,TWN,Taiwan,direct
2010,t,57,2026,1,TWN,Taiwan,direct
2010,t,58,2130,1,TWN,Taiwan,direct
2010,t,59,2137,1,TWN,Taiwan,direct
2010,t,60,1943,1,TWN,Taiwan,direct
2010,t,61,2066,1,TWN,Taiwan,direct
2010,t,62,1776,1,TWN,Taiwan,direct
2010,t,63,1706,1,TWN,Taiwan,direct
2010,t,64,1468,1,TWN,Taiwan,direct
2010,t,65,1673,1,TWN,Taiwan,direct
2010,t,66,2063,1,TWN,Taiwan,direct
2010,t,67,2169,1,TWN,Taiwan,direct
2010,t,68,2237,1,TWN,Taiwan,direct
2010,t,69,2669,1,TWN,Taiwan,direct
2010,t,70,2818,1,TWN,Taiwan,direct
2010,t,71,2763,1,TWN,Taiwan,direct
2010,t,72,3042,1,TWN,Taiwan,direct
2010,t,73,3063,1,TWN,Taiwan,direct
2010,t,74,3162,1,TWN,Taiwan,direct
2010,t,75,3550,1,TWN,Taiwan,direct
2010,t,76,3679,1,TWN,Taiwan,direct
2010,t,77,3804,1,TWN,Taiwan,direct
2010,t,78,4276,1,TWN,Taiwan,direct
2010,t,79,4550,1,TWN,Taiwan,direct
2010,t,80,4804,1,TWN,Taiwan,direct
2010,t,81,4786,1,TWN,Taiwan,direct
2010,t,82,4964,1,TWN,Taiwan,direct
2010,t,83,4695,1,TWN,Taiwan,direct
2010,t,84,4686,1,TWN,Taiwan,direct
2010,t,85,4262,1,TWN,Taiwan,direct
2010,t,86,3933,1,TWN,Taiwan,direct
