Country,Code,Source,Year,Sex,Age,Deaths,age_spn
Albania,ALB,unpd_dy,2011,t,0,299,1
Albania,ALB,unpd_dy,2011,t,1,207,4
Albania,ALB,unpd_dy,2011,t,5,118.00000000000001,5
Albania,ALB,unpd_dy,2011,t,10,109,5
Albania,ALB,unpd_dy,2011,t,15,216,5
Albania,ALB,unpd_dy,2011,t,20,295,5
Albania,ALB,unpd_dy,2011,t,25,274,5
Albania,ALB,unpd_dy,2011,t,30,282,5
Albania,ALB,unpd_dy,2011,t,35,321,5
Albania,ALB,unpd_dy,2011,t,40,434,5
Albania,ALB,unpd_dy,2011,t,45,617,5
Albania,ALB,unpd_dy,2011,t,50,779,5
Albania,ALB,unpd_dy,2011,t,55,951,5
Albania,ALB,unpd_dy,2011,t,60,1457,5
Albania,ALB,unpd_dy,2011,t,65,2268,5
Albania,ALB,unpd_dy,2011,t,70,2811,5
Albania,ALB,unpd_dy,2011,t,75,3399.0000000000005,5
Albania,ALB,unpd_dy,2011,t,80,2726.0000000000005,5
Albania,ALB,unpd_dy,2011,t,85,2449,-1
Albania,ALB,unpd_dy,2012,t,0,312,1
Albania,ALB,unpd_dy,2012,t,1,71,4
Albania,ALB,unpd_dy,2012,t,5,57,5
Albania,ALB,unpd_dy,2012,t,10,53,5
Albania,ALB,unpd_dy,2012,t,15,126,5
Albania,ALB,unpd_dy,2012,t,20,157,5
Albania,ALB,unpd_dy,2012,t,25,154,5
Albania,ALB,unpd_dy,2012,t,30,151,5
Albania,ALB,unpd_dy,2012,t,35,232,5
Albania,ALB,unpd_dy,2012,t,40,304,5
Albania,ALB,unpd_dy,2012,t,45,456,5
Albania,ALB,unpd_dy,2012,t,50,679.0000000000001,5
Albania,ALB,unpd_dy,2012,t,55,965,5
Albania,ALB,unpd_dy,2012,t,60,1103,5
Albania,ALB,unpd_dy,2012,t,65,1551,5
Albania,ALB,unpd_dy,2012,t,70,2604,5
Albania,ALB,unpd_dy,2012,t,75,3574,5
Albania,ALB,unpd_dy,2012,t,80,3657,5
Albania,ALB,unpd_dy,2012,t,85,4664,-1
Albania,ALB,unpd_dy,2013,f,0,111,1
Albania,ALB,unpd_dy,2013,f,1,32,4
Albania,ALB,unpd_dy,2013,f,5,19,5
Albania,ALB,unpd_dy,2013,f,10,25,5
Albania,ALB,unpd_dy,2013,f,15,61,5
Albania,ALB,unpd_dy,2013,f,20,43.00000000000001,5
Albania,ALB,unpd_dy,2013,f,25,46.99999999999999,5
Albania,ALB,unpd_dy,2013,f,30,49.00000000000001,5
Albania,ALB,unpd_dy,2013,f,35,58,5
Albania,ALB,unpd_dy,2013,f,40,98,5
Albania,ALB,unpd_dy,2013,f,45,152,5
Albania,ALB,unpd_dy,2013,f,50,243,5
Albania,ALB,unpd_dy,2013,f,55,322,5
Albania,ALB,unpd_dy,2013,f,60,388,5
Albania,ALB,unpd_dy,2013,f,65,486,5
Albania,ALB,unpd_dy,2013,f,70,1088,5
Albania,ALB,unpd_dy,2013,f,75,1477.9999999999998,5
Albania,ALB,unpd_dy,2013,f,80,1794,5
Albania,ALB,unpd_dy,2013,f,85,1575.9999999999998,5
Albania,ALB,unpd_dy,2013,f,90,946,5
Albania,ALB,unpd_dy,2013,f,95,330.99999999999994,5
Albania,ALB,unpd_dy,2013,f,100,105,-1
Albania,ALB,unpd_dy,2013,m,0,171,1
Albania,ALB,unpd_dy,2013,m,1,38,4
Albania,ALB,unpd_dy,2013,m,5,23.000000000000004,5
Albania,ALB,unpd_dy,2013,m,10,32,5
Albania,ALB,unpd_dy,2013,m,15,94.99999999999999,5
Albania,ALB,unpd_dy,2013,m,20,121.00000000000001,5
Albania,ALB,unpd_dy,2013,m,25,96,5
Albania,ALB,unpd_dy,2013,m,30,116,5
Albania,ALB,unpd_dy,2013,m,35,127.00000000000001,5
Albania,ALB,unpd_dy,2013,m,40,192,5
Albania,ALB,unpd_dy,2013,m,45,298,5
Albania,ALB,unpd_dy,2013,m,50,461.99999999999994,5
Albania,ALB,unpd_dy,2013,m,55,632,5
Albania,ALB,unpd_dy,2013,m,60,775,5
Albania,ALB,unpd_dy,2013,m,65,962.0000000000001,5
Albania,ALB,unpd_dy,2013,m,70,1534,5
Albania,ALB,unpd_dy,2013,m,75,1948,5
Albania,ALB,unpd_dy,2013,m,80,1788,5
Albania,ALB,unpd_dy,2013,m,85,943,5
Albania,ALB,unpd_dy,2013,m,90,510.00000000000006,5
Albania,ALB,unpd_dy,2013,m,95,101.99999999999999,5
Albania,ALB,unpd_dy,2013,m,100,24.999999999999996,-1
Albania,ALB,unpd_dy,2013,t,0,282,1
Albania,ALB,unpd_dy,2013,t,1,70,4
Albania,ALB,unpd_dy,2013,t,5,42,5
Albania,ALB,unpd_dy,2013,t,10,57,5
Albania,ALB,unpd_dy,2013,t,15,156,5
Albania,ALB,unpd_dy,2013,t,20,164.00000000000003,5
Albania,ALB,unpd_dy,2013,t,25,143,5
Albania,ALB,unpd_dy,2013,t,30,165,5
Albania,ALB,unpd_dy,2013,t,35,185,5
Albania,ALB,unpd_dy,2013,t,40,290,5
Albania,ALB,unpd_dy,2013,t,45,450,5
Albania,ALB,unpd_dy,2013,t,50,705,5
Albania,ALB,unpd_dy,2013,t,55,954,5
Albania,ALB,unpd_dy,2013,t,60,1163,5
Albania,ALB,unpd_dy,2013,t,65,1448,5
Albania,ALB,unpd_dy,2013,t,70,2622,5
Albania,ALB,unpd_dy,2013,t,75,3426,5
Albania,ALB,unpd_dy,2013,t,80,3582,5
Albania,ALB,unpd_dy,2013,t,85,2519,5
Albania,ALB,unpd_dy,2013,t,90,1456.0000000000002,5
Albania,ALB,unpd_dy,2013,t,95,432.99999999999994,5
Albania,ALB,unpd_dy,2013,t,100,130,-1
Albania,ALB,unpd_dy,2016,f,0,131,1
Albania,ALB,unpd_dy,2016,f,1,24.999999999999996,4
Albania,ALB,unpd_dy,2016,f,5,11,5
Albania,ALB,unpd_dy,2016,f,10,20.999999999999996,5
Albania,ALB,unpd_dy,2016,f,15,41,5
Albania,ALB,unpd_dy,2016,f,20,31,5
Albania,ALB,unpd_dy,2016,f,25,40.00000000000001,5
Albania,ALB,unpd_dy,2016,f,30,39.00000000000001,5
Albania,ALB,unpd_dy,2016,f,35,62,5
Albania,ALB,unpd_dy,2016,f,40,80.99999999999999,5
Albania,ALB,unpd_dy,2016,f,45,143,5
Albania,ALB,unpd_dy,2016,f,50,199.99999999999997,5
Albania,ALB,unpd_dy,2016,f,55,313,5
Albania,ALB,unpd_dy,2016,f,60,451.99999999999994,5
Albania,ALB,unpd_dy,2016,f,65,578.9999999999999,5
Albania,ALB,unpd_dy,2016,f,70,918.9999999999999,5
Albania,ALB,unpd_dy,2016,f,75,1659.0000000000002,5
Albania,ALB,unpd_dy,2016,f,80,1948.0000000000002,5
Albania,ALB,unpd_dy,2016,f,85,1794.0000000000002,5
Albania,ALB,unpd_dy,2016,f,90,1005,5
Albania,ALB,unpd_dy,2016,f,95,446.00000000000006,5
Albania,ALB,unpd_dy,2016,f,100,165,-1
Albania,ALB,unpd_dy,2016,m,0,146.00000000000003,1
Albania,ALB,unpd_dy,2016,m,1,23,4
Albania,ALB,unpd_dy,2016,m,5,17,5
Albania,ALB,unpd_dy,2016,m,10,24.999999999999996,5
Albania,ALB,unpd_dy,2016,m,15,47,5
Albania,ALB,unpd_dy,2016,m,20,56.999999999999986,5
Albania,ALB,unpd_dy,2016,m,25,78,5
Albania,ALB,unpd_dy,2016,m,30,77.00000000000001,5
Albania,ALB,unpd_dy,2016,m,35,113.99999999999997,5
Albania,ALB,unpd_dy,2016,m,40,149,5
Albania,ALB,unpd_dy,2016,m,45,254.99999999999997,5
Albania,ALB,unpd_dy,2016,m,50,409,5
Albania,ALB,unpd_dy,2016,m,55,657,5
Albania,ALB,unpd_dy,2016,m,60,804,5
Albania,ALB,unpd_dy,2016,m,65,1030.9999999999998,5
Albania,ALB,unpd_dy,2016,m,70,1342,5
Albania,ALB,unpd_dy,2016,m,75,2015.0000000000005,5
Albania,ALB,unpd_dy,2016,m,80,2102,5
Albania,ALB,unpd_dy,2016,m,85,1333,5
Albania,ALB,unpd_dy,2016,m,90,451,5
Albania,ALB,unpd_dy,2016,m,95,129,5
Albania,ALB,unpd_dy,2016,m,100,22,-1
Albania,ALB,unpd_dy,2016,t,0,277,1
Albania,ALB,unpd_dy,2016,t,1,48,4
Albania,ALB,unpd_dy,2016,t,5,28,5
Albania,ALB,unpd_dy,2016,t,10,45.99999999999999,5
Albania,ALB,unpd_dy,2016,t,15,88,5
Albania,ALB,unpd_dy,2016,t,20,88,5
Albania,ALB,unpd_dy,2016,t,25,118,5
