"ALB" "ARM" "AUS" "AUT" "BEL" "BGR" "BRA" "CAN" "CHE" "CHL" "COL" "CRI" "CUB" "CYP" "CZE" "DEU" "DNK" "DOM" "ESP" "EST" "FIN" "FRA" "GBR" "GEO" "GRC" "GTM" "HRV" "HUN" "IRL" "IRQ" "ISL" "ISR" "ITA" "JPN" "KAZ" "KOR" "LTU" "LUX" "LVA" "MDA" "MEX" "MLT" "MNE" "MNG" "MUS" "NLD" "NOR" "NZL" "PER" "POL" "PRT" "PRY" "ROU" "SRB" "SVK" "SVN" "SWE" "SYC" "UKR" "URY" "USA" "ZAF" "ZMB"
"0" -0.114522245928825 -0.257468337936207 -0.199173327944181 -0.0581827359969203 -0.302891024921891 -0.273929769727591 -0.126933541087833 -0.169878160999417 -0.0437578310074157 -0.289082902306384 -0.214013635344355 -0.170632159750591 0.36711679635555 -0.0529589200495147 -0.294472354195637 -0.0417713246064597 -0.075826243892264 -0.466160816684134 -0.17646685169191 -0.242911369505937 -0.146427246739849 -0.0833284526534309 -0.191614986298113 -0.101661336000124 -0.226010008980294 -0.192715152853862 -0.0368554547295325 -0.213594480184684 -0.146748845180834 -0.251829718253212 0.0966860173449819 -0.196485161625899 -0.187992709648754 -0.0599676413131101 -0.0852502638883205 -0.444518766481634 -0.253067791440698 0.303582948339808 -0.169230245861389 -0.161011681442499 -0.494359034946363 -0.214653573075014 0.008259867934587 -1.16975835256752 -0.0250479060239617 0.0382260187321654 -0.128284749972258 -0.139375723727022 -0.482125496401384 -0.300678715389611 -0.0690960980749728 -0.189046128138009 -0.215931280378278 -0.149242607065887 -0.0493442013806065 -0.154538629805177 -0.108989356620015 -0.0857761392987656 -0.100871506485248 -0.148405835092334 -0.240332027945181 -0.249070524162057 -0.0431480261133592
"1" -0.12434053079108 -0.251792025865546 -0.185839771761388 -0.0547096292654031 -0.278227242450003 -0.257708927977139 -0.135793629728519 -0.146758728825406 -0.0427501642129618 -0.258571801150274 -0.205715921387764 -0.152864861650699 0.346068102722321 -0.0457303104051154 -0.272682321609042 -0.0402485287236768 -0.0648712085596942 -0.437045798431529 -0.157702996062397 -0.226759755987047 -0.131458525630864 -0.0816241794788902 -0.194281446479238 -0.101260753494191 -0.212582652198704 -0.159112644073767 -0.0412301677997418 -0.197731362444873 -0.145235737958753 -0.249295787587578 0.0968715554274973 -0.183249058058486 -0.170732786360751 -0.037119019810338 -0.10880509167037 -0.399985665797301 -0.230933966346884 0.277442230841616 -0.158758771644499 -0.150778195999445 -0.39763811529591 -0.202102480794106 0.00677970811248376 -1.17031450327183 -0.0242727493257241 0.0364066023683951 -0.111970296591814 -0.125824963013981 -0.43188034200193 -0.269981247747833 -0.0634032014390927 -0.168984351571659 -0.208425141487721 -0.145361923482332 -0.0547324663300108 -0.151344427850772 -0.104010772165816 -0.0928939426844843 -0.0963692456460623 -0.127048694046086 -0.212986287626297 -0.242765043702783 -0.0671940616481533
"5" -0.146906598266064 -0.233977168491087 -0.149190175512951 -0.0444991972381157 -0.21217789986604 -0.212313895912508 -0.126126711826744 -0.0791390302153108 -0.0393417327196872 -0.172600615075521 -0.170987391723922 -0.101603182787037 0.293779654225577 -0.0257777524510018 -0.212393213233795 -0.0355888780417489 -0.0352856964510472 -0.357551778957143 -0.106351726859628 -0.181962548389866 -0.0901824756940742 -0.073883761607521 -0.18960007158407 -0.096967466640459 -0.174054418104665 -0.0672398971943292 -0.0520789480449055 -0.153401808817395 -0.138894621843324 -0.226620246880088 0.0971577679201156 -0.145609854059095 -0.128045725146678 0.0218622095867024 -0.15915785605125 -0.278231158943241 -0.169881469090588 0.206259224342802 -0.129660921114492 -0.11951874380594 -0.106028335953683 -0.167675620671658 0.00323743414867211 -1.17054436079737 -0.0198216726713901 0.0326283463837628 -0.0683573307364519 -0.0870432338066559 -0.301272065519834 -0.185767808032179 -0.0477296150072884 -0.112484761467024 -0.184595130047729 -0.133515251013924 -0.0676907497925526 -0.142003306250095 -0.0884792806513075 -0.111865268163642 -0.0788761305924081 -0.0678349251664644 -0.129498900920956 -0.212514555973167 -0.122529080117258
"10" -0.157003166731122 -0.21306542077642 -0.115937932905173 -0.0347124423369795 -0.157372879239854 -0.17023042133693 -0.073097536536415 -0.0161705653624197 -0.035546259559904 -0.0954835306214144 -0.126537249227096 -0.0531131040101733 0.255319603713448 -0.00771278808116313 -0.157588359595682 -0.0299084409857278 -0.0106805057284032 -0.289912195216445 -0.0615852904617571 -0.140464497351326 -0.0534596484150473 -0.0620734201118332 -0.163201175281919 -0.0891688151350504 -0.136243069379613 0.00821346856961992 -0.0593525343467383 -0.11247124820351 -0.129294162389216 -0.194867499562634 0.0966935958684187 -0.111224218590813 -0.0994662684239467 0.0639923373877241 -0.182486322669558 -0.170070891962659 -0.114677478226971 0.143204063808663 -0.102785500889718 -0.0869579992280528 0.198876297720177 -0.136875986722188 0.00114012462190528 -1.17280668959259 -0.0123585047445537 0.0308213950354851 -0.0324148599857847 -0.051232055157065 -0.206846770282192 -0.112144537530587 -0.0339730139891707 -0.0630700933053604 -0.156448070382089 -0.120767975860313 -0.0755556495416266 -0.132214143845475 -0.070726521675692 -0.128059640351277 -0.059722513583268 -0.0158621371717319 -0.0560116869579989 -0.180498896726354 -0.157774605448147
"15" -0.153399271594296 -0.187107639268257 -0.082851217406485 -0.0269444418391344 -0.111773663957051 -0.129487605558046 0.00299194400943638 0.0386578818506396 -0.0328360389302822 -0.0271491013683853 -0.076891223831949 -0.00703301130632143 0.224613292961967 0.00946915896499215 -0.105140425870964 -0.0214778203419008 0.00819949096512416 -0.23338657495222 -0.0228480310735286 -0.0983134496412386 -0.0207377118429396 -0.0496359530098127 -0.121778787812591 -0.0807946918126644 -0.0973674275133097 0.0703816818948444 -0.0637151132530445 -0.0737244242768702 -0.116224903397027 -0.160585392388602 0.0946964295676756 -0.0797438136474644 -0.0817012994346712 0.0851666302944644 -0.186317292372893 -0.0677656077518444 -0.0617524542007208 0.0823491571705694 -0.0761139236422275 -0.0533976487956449 0.530494827055454 -0.107506547018905 0.000123243052188772 -1.18367041348429 -0.00335445548177754 0.0280638249832667 -0.00315431574197339 -0.0197909652969053 -0.139845700052967 -0.0489160190009524 -0.0222549484550862 -0.0211317380681144 -0.122307887091517 -0.107301150111808 -0.0793110346138906 -0.120872988050926 -0.0501103674693937 -0.143407980711005 -0.0435610216184246 0.0287078791190929 0.00505379582693396 -0.165592292409921 -0.181848667888159
"20" -0.13515348705904 -0.156640957115234 -0.0501171176420453 -0.0235393198673992 -0.0761935580152705 -0.0915014271370874 0.0679896367742008 0.0777189872947738 -0.0328438752186708 0.0268642873139546 -0.0274193577414486 0.0340851499785828 0.202043922759349 0.0243877391798476 -0.0580746502734217 -0.00948076143280327 0.0180895775645009 -0.192619666511078 0.00595274227194496 -0.0557858729061053 0.00440551240358115 -0.0404073055084991 -0.0738609785786058 -0.0727157774677498 -0.0598810023820576 0.120555357600392 -0.0652543587598584 -0.0419050861131496 -0.100067093749337 -0.121505141686497 0.0901069284383417 -0.0524428792214296 -0.0708546833905314 0.0818395966792904 -0.173538064303461 0.0241070497464996 -0.0126884863297299 0.0242576881324679 -0.0504301684933564 -0.0216949052732578 0.79202565605757 -0.0804786002807169 -0.00033770263155801 -1.20431425275765 0.00561443534883606 0.0217421097457719 0.0178559397444145 0.00378048315123058 -0.0869478580656355 -0.00365716881336427 -0.0139378098355338 0.0129366025913304 -0.0845066340846646 -0.09396306552951 -0.078894032968534 -0.108463018568722 -0.0288862609768661 -0.157815993545405 -0.0296310008360046 0.0617012153598225 0.0474612748461145 -0.174916281157533 -0.195616931800368
"25" -0.104047126038602 -0.122077321753712 -0.0180558052048907 -0.0258525180713143 -0.0490928269825791 -0.0560009566112982 0.102961345003059 0.0969032259725109 -0.0356786539603486 0.0647091052501524 0.0186710036902377 0.0694059652585415 0.189543370521889 0.035802357809946 -0.0194856823242555 0.00514948243914761 0.0178447983520972 -0.168873927798824 0.0210900329279027 -0.0131089005197875 0.0198325187946847 -0.0358781992439869 -0.0262218085582765 -0.0632906444270693 -0.0256350214416102 0.163945021756668 -0.0639363166420185 -0.0208580616197429 -0.081130340925493 -0.0747018145707836 0.0818845642347123 -0.0292792247950645 -0.0618396871075039 0.061194784900302 -0.145126439668951 0.100778393533553 0.0322564951151059 -0.0300748836112931 -0.0260279746368044 0.00598940064665156 0.910172218622742 -0.0563165967772264 -0.000859350839674361 -1.23228785143287 0.0140516053004316 0.0104510133530926 0.0303872702770172 0.019213116582597 -0.0327897750467696 0.0205410415848082 -0.00915415630485106 0.0418525286652509 -0.0483624641026937 -0.0804526740361912 -0.0741334681762171 -0.0960210978207513 -0.00991768041797438 -0.17051374738145 -0.0148519107997433 0.0816735656498367 0.0746510334973455 -0.1934904271563 -0.197579893398576
"30" -0.0641656436318969 -0.0836460306286319 0.0127982237496759 -0.0342485413893223 -0.0288710929563161 -0.0215338216973234 0.116247084070384 0.0954127826735663 -0.0404840211924296 0.0878699953750323 0.0590736809053466 0.0986170099622364 0.188654104193758 0.0430305243213868 0.00788989940356238 0.0188415514437035 0.00899673967978193 -0.159648852015475 0.0200271760440662 0.0288174651884443 0.025376423801175 -0.035459617565303 0.0157884765961753 -0.0500697907580516 0.00420256173625185 0.206868158554444 -0.0598497184338905 -0.0120974684706139 -0.0601431769399429 -0.0210226645028531 0.0692329004257005 -0.00976260818976243 -0.0513276484976493 0.0377116255114828 -0.100487906009589 0.157988872286403 0.0735228900151963 -0.079175876549645 -0.00310792776730166 0.0283780821165815 0.895544236233457 -0.0352309985482752 -0.00184283441301859 -1.26415268002256 0.0220376546796149 -0.00658860551770721 0.0349085028892794 0.0289406749972859 0.0299317746750419 0.024826270760384 -0.00714339908110339 0.067959123667853 -0.02084359042567 -0.0655152474106133 -0.0654298916109763 -0.0848149881430515 0.00312646939929693 -0.180168981751668 0.00330314397631442 0.089640009012298 0.0949498248695112 -0.193475209764804 -0.18479679211858
"35" -0.0208030650733147 -0.042504344986006 0.0415528606197482 -0.0482124529619113 -0.0160025033638662 0.0130567735484907 0.129124635167376 0.0754511643023933 -0.0474541286161263 0.0997490164288918 0.090680840821612 0.120412924702209 0.19729398800867 0.0459470408013728 0.0224430593772054 0.0254251026761326 -0.00495537214172798 -0.159077782394727 0.00470131438267381 0.0670050305001748 0.0223752897901239 -0.0381109645487647 0.0465176966264067 -0.0321398445644469 0.0281414372258682 0.253708622906036 -0.0540899855405309 -0.0146877162352356 -0.0389102196941145 0.0365085691535831 0.051780415704401 0.00637078674980461 -0.0388635553089352 0.0227716764776492 -0.0408675943235979 0.192404481215296 0.110478036302037 -0.121486876081592 0.016981758374258 0.0451899649545692 0.81897777269793 -0.0174657865300548 -0.00340878121549505 -1.29629716942834 0.0290329793196792 -0.0310581508843225 0.0319880186682404 0.0358758220686269 0.0989135090062138 0.0110023272030156 -0.00756282491072353 0.0905633124205431 -0.00582681572617615 -0.0478461340227486 -0.054822707005028 -0.0760891708942874 0.00532801065346188 -0.185436371803916 0.0277752370109952 0.0878642027147594 0.105369614436727 -0.158094789615836 -0.154311783728954
"40" 0.0218001404499036 -0.00187125706606786 0.0667338705247384 -0.064473487451771 -0.0106137601389258 0.0484648875353407 0.135966766744359 0.0451278852743759 -0.0571436677141458 0.104635631225813 0.110262215504262 0.132377352857541 0.208132806581049 0.0446379490079514 0.0259865841649535 0.0198566662539492 -0.0194561819919095 -0.160028025535769 -0.0132760439513829 0.0969070156228422 0.0140403772059974 -0.0414045023082243 0.0636120863154235 -0.00966904496169322 0.0443583722296367 0.300189732628426 -0.0480717225631117 -0.0235983237859032 -0.018972899752057 0.087257042239834 0.0296263942996126 0.0187634486896953 -0.0241709506823144 0.0182217570767368 0.0242308125719068 0.202054850257165 0.141307555497904 -0.155681056889942 0.0321750091938783 0.0558120169836851 0.732789601135092 -0.00303521365285699 -0.00580079836002931 -1.31922871416792 0.0350251751099166 -0.0630461807275514 0.022473255099839 0.0421421509471103 0.169750971228599 -0.0148287685552535 -0.00968054934527891 0.109288047258141 0.00257606728819537 -0.0266714763264944 -0.0441545554091449 -0.0712293279143378 -0.00468811971751666 -0.185324213320405 0.0626316433121657 0.079332756882933 0.0883009675338887 -0.0957538579360665 -0.108936072175027
