"ALB" "ARM" "AUS" "AUT" "BEL" "BGR" "BRA" "CAN" "CHE" "CHL" "COL" "CRI" "CUB" "CYP" "CZE" "DEU" "DNK" "DOM" "ESP" "EST" "FIN" "FRA" "GBR" "GEO" "GRC" "GTM" "HRV" "HUN" "IRL" "IRQ" "ISL" "ISR" "ITA" "JPN" "KAZ" "KOR" "LTU" "LUX" "LVA" "MDA" "MEX" "MLT" "MNE" "MNG" "MUS" "NLD" "NOR" "NZL" "PER" "POL" "PRT" "PRY" "ROU" "SRB" "SVK" "SVN" "SWE" "SYC" "UKR" "URY" "USA" "ZAF" "ZMB"
"0" -0.127250804927456 -0.120287473525697 -0.148248971305036 -0.127827679750498 -0.508245111284844 -0.369360079821383 -0.128577292564899 -0.219787667075892 0.00856129511082458 -0.220472626521521 -0.238327492356733 -0.132539020974534 0.243516285453507 -0.0645610418689561 -0.210419906757106 -0.118375907204775 -0.0733927669498481 -0.570502464822853 -0.181071719116289 -0.271568546692373 0.024027282498372 -0.127512460901417 -0.183685331787882 -0.167274614430552 -0.0811438850875728 -0.242324761635533 -0.0979272294387279 -0.164299475133105 -0.0722888156091961 -0.277086977180202 0.165373131353199 -0.220221387964163 -0.215693140421204 -0.0709194448182514 -0.0662421071537896 -0.359187078858068 -0.224220019926342 -0.155672448145898 -0.148718397151735 -0.176587894738569 -0.261266807311381 -0.27612385285131 -0.104325577787186 -1.16841360298557 0.151726666086269 -0.00563442249156756 -0.109854215622572 -0.0921756210319558 -0.611211535654053 -0.308148706604429 -0.196930798362629 -0.259496564549084 -0.329038792425415 -0.17674898426895 -0.0539270348313097 -0.152974657501087 0.0210220968370213 -0.177806243829038 -0.165743692030405 -0.184044028712999 -0.285765172315686 -0.23526157566249 -0.0472192396915163
"1" -0.139126987690606 0.0274218538684914 -0.139551199708062 -0.12615244334102 -0.463221926226437 -0.343468430393263 -0.155878102313669 -0.197155928161385 0.00555956176415343 -0.201070054151654 -0.233250019963954 -0.133761411522343 0.227505786119496 -0.0651398667473774 -0.201442281643565 -0.10980143134674 -0.0637322698421471 -0.554232148199768 -0.163798237182543 -0.253564411710946 0.0265695502026926 -0.118486257310612 -0.19156972456954 -0.16794687148788 -0.0788479013784424 -0.222748971889029 -0.0980310988760404 -0.149310907325879 -0.0857603741584936 -0.295292099317191 0.153273836332854 -0.204885445766096 -0.207756065725672 -0.0551455886002643 -0.0975104790808034 -0.33496749454314 -0.212230385097183 -0.149752110089296 -0.147978951485873 -0.179001930154244 -0.253528876422317 -0.252736560313036 -0.103799191875848 -1.15000243252441 0.136641503333589 -0.0133046498485429 -0.0972899147276742 -0.0916677487934023 -0.57469787432757 -0.29102749669954 -0.173061699709111 -0.243020756111076 -0.301243983882588 -0.174232700238115 -0.0522114745845853 -0.1521569326583 0.0163873269738596 -0.170812791474565 -0.151143347972272 -0.157905379462942 -0.238883794706973 -0.228570533010326 -0.067338859479191
"5" -0.167228555476291 0.412737238605481 -0.115638381233994 -0.120196967744994 -0.341815798142123 -0.271622849425077 -0.202594041137803 -0.129995739528498 -0.00184610536156875 -0.145388638328774 -0.212817819529343 -0.13219473790352 0.191467905051432 -0.0659146998800715 -0.174918685889426 -0.0857379512516738 -0.0378274545491704 -0.50724554116155 -0.114197733220376 -0.203694590590219 0.0339853900732785 -0.0944730382670268 -0.198977638411623 -0.166290083316568 -0.0706882530712705 -0.167120115588733 -0.0973010361707737 -0.107976983772578 -0.119196294641234 -0.326038762535955 0.120830593415318 -0.160322212831263 -0.18772113046463 -0.0112167510756051 -0.166665924922124 -0.268556005909317 -0.178583544388744 -0.133214225183112 -0.145073154176367 -0.181745655379368 -0.293387558403488 -0.189023803551897 -0.101802162409021 -1.09881321902789 0.0997457698188274 -0.030660391248728 -0.0629879444246423 -0.0870762540775196 -0.476312231881461 -0.240773651796615 -0.108330615425811 -0.191958600939766 -0.225227643830957 -0.164865734226372 -0.0469375463262743 -0.148553192277299 0.00321808406885943 -0.15084413600253 -0.108642936509314 -0.0847408879342652 -0.1123553232311 -0.195856421319303 -0.111593969897408
"10" -0.18208521478118 0.699390731247353 -0.0939223582017116 -0.112178899843186 -0.238181320497318 -0.205774898566708 -0.201547941614509 -0.06465194395197 -0.00773066584192007 -0.0947979074711937 -0.190569719818144 -0.123384192616207 0.172053328859577 -0.0646503578809856 -0.147055448160567 -0.0622688500282349 -0.0165556544943527 -0.461578097606314 -0.0663571003717999 -0.157713595651492 0.0406197640099316 -0.0755621545156599 -0.179726439826796 -0.160352466499492 -0.0596584210823477 -0.11962099869939 -0.095369335790941 -0.0713885901991478 -0.142011542982741 -0.335905436232555 0.0934076342365163 -0.117962941039686 -0.171920682086003 0.0265359456748188 -0.204421185624244 -0.208899474427691 -0.146336789715942 -0.117672191258387 -0.140536286923433 -0.177850064225539 -0.44243749389842 -0.132903941037313 -0.0988188885665706 -1.05728439956151 0.073967781538228 -0.0386329672444572 -0.0335533095285776 -0.0780127737279532 -0.400004375449137 -0.188735630103298 -0.053445477692053 -0.137904805026097 -0.158767779074715 -0.151085001716978 -0.0415564846861431 -0.142250088183837 -0.0111717508332163 -0.131473396800728 -0.0733947027209172 -0.0193215601858875 -0.0239410512549443 -0.155277300345979 -0.137864985091734
"15" -0.182799364727271 0.863651126586769 -0.0722655505638688 -0.102080582303764 -0.146548655966241 -0.141873540733731 -0.148226763003528 -0.00120187850865738 -0.0154770382715621 -0.0491405394631062 -0.165074192898286 -0.109084851503272 0.163508228188041 -0.0608383135966715 -0.115939545947181 -0.0355373968571676 -0.000303510745850486 -0.413803289307283 -0.0207312316821101 -0.111518747878745 0.0440325152915633 -0.0626261735429655 -0.144054157344045 -0.152972352232138 -0.0460658303341919 -0.0765259491661658 -0.0948254588704112 -0.0397929994657121 -0.155069032606063 -0.329868858287147 0.0689937368251046 -0.078170767368123 -0.154635250241145 0.0524886703992314 -0.221631075668861 -0.150992492625556 -0.111736090662264 -0.101762466293303 -0.133857779736244 -0.168759808220955 -0.645152338542176 -0.0802438749969403 -0.094699302598082 -1.02924616588234 0.0546582863316416 -0.0386642739391431 -0.00947943960631833 -0.0654243333165753 -0.337530264086422 -0.132185364136208 -0.00891672827848994 -0.0800652240022595 -0.100179639526697 -0.131574414730736 -0.0373231288083913 -0.132592390306826 -0.0320295747509958 -0.111490575637553 -0.0497104586007253 0.037239898018528 0.0232571776547807 -0.118002531475907 -0.1565272509216
"20" -0.16773771922345 0.866694611185187 -0.0507386689087856 -0.090357512806262 -0.0719878631436943 -0.0826657435312456 -0.072862542239706 0.055759316961085 -0.027982654418983 -0.0119956097714738 -0.131442677592647 -0.0894922713007522 0.162595193160246 -0.0547981931696251 -0.0838924061091378 -0.00451575463736179 0.00793024150412415 -0.36293024727923 0.0156857935346133 -0.0660695989202362 0.0409871625575861 -0.0548034821132215 -0.103291115234921 -0.144606292601477 -0.0331672992022129 -0.0329597362488983 -0.0987581931616082 -0.0186365309072854 -0.156553138971405 -0.30040206017909 0.0482328276322602 -0.0443130882454512 -0.131229543982039 0.0587343207558702 -0.220432804512304 -0.0963451466872711 -0.0738034989813868 -0.0857857479909079 -0.124496628310785 -0.155256903696692 -0.782269879207898 -0.0328965832738846 -0.0897184926674466 -1.01720181516412 0.0409093160863759 -0.031971061166534 0.00638860446012501 -0.0497392658949024 -0.277121237190258 -0.0791896739334422 0.0181380500146667 -0.0233171176858368 -0.0541853037300292 -0.10705713736585 -0.0358576299669244 -0.120529365829046 -0.0602540814225813 -0.0919211991810125 -0.0371948123504324 0.0770217274347822 0.0398661583350713 -0.0992659235106659 -0.169701063071655
"25" -0.136875922931387 0.720005818529869 -0.0294684554424166 -0.0771275635712782 -0.016759768232743 -0.028917297300945 -0.0123965666746661 0.0997798512201502 -0.0457165970878241 0.0151253702480772 -0.0885235082871416 -0.0641495084263482 0.167260465138333 -0.0469886720214592 -0.0540138949364368 0.0290854095195728 0.00644348770957931 -0.307255386652169 0.0358133552656464 -0.02219214865581 0.0316521185737496 -0.0481286175114776 -0.0634267474477462 -0.133352085651267 -0.0236811399518305 0.0162982745971035 -0.107319167719066 -0.0113989491944275 -0.146238911584755 -0.239996388916082 0.031321214705625 -0.018297775396706 -0.10088896310217 0.0471608490817637 -0.197302704467506 -0.0466200857773553 -0.0299188281621412 -0.069862482777794 -0.110008467286694 -0.137484222311347 -0.777060269694608 0.00757153531008617 -0.0834815132790307 -1.0213746939661 0.0319212275037913 -0.0200631471544662 0.0136108973302271 -0.0314009662676835 -0.200957025126833 -0.0381783662517977 0.0239613842381957 0.0267315843251377 -0.0236553565531685 -0.0784100470925155 -0.0378724997528171 -0.107410941204905 -0.0907783265188595 -0.0736744575363313 -0.029130068069267 0.0965566505054877 0.0577851227035401 -0.107461321254759 -0.176258527692363
"30" -0.0923978047922587 0.478190935679116 -0.00867655196569263 -0.0633294505744743 0.0198068947774744 0.0187459953508437 0.0240027199009825 0.122753336881856 -0.0663546760651375 0.0332716162354718 -0.0385445770513089 -0.0335240858326751 0.176981479661735 -0.0375989731376324 -0.0301038835736923 0.0588991033930504 -0.00459195441808471 -0.246135489442828 0.0339502615690064 0.0190819324948703 0.0194166196253196 -0.0397795753763781 -0.025570239356443 -0.116040707330149 -0.0184314631229655 0.0757191916496821 -0.117308239731398 -0.0181880312112235 -0.125876875821112 -0.149787607401168 0.0178150057473201 -0.000920456312127735 -0.0678894877344861 0.0287404407654648 -0.14700829422673 -0.00342016917293072 0.0215552590850167 -0.0540600008617296 -0.087503461790286 -0.115583132606556 -0.63618218808123 0.0401192523164915 -0.0749123988247934 -1.04193932938385 0.0260871343900339 -0.00616477389244606 0.0136142166921036 -0.0118880099403317 -0.0932437916213507 -0.0143341721690758 0.0107369453507951 0.0655481317049157 -0.0094316689007876 -0.0472645898477973 -0.0437043340578559 -0.0945772221352103 -0.114447133868413 -0.057230402488987 -0.0174180320321416 0.0976542518089371 0.0998598610400714 -0.134259062252892 -0.17246395800898
"35" -0.040031423877484 0.201589365140357 0.011251027005492 -0.0523195964308019 0.0396450773854417 0.0554093757711898 0.0635578049696433 0.119900597007105 -0.0865310094249352 0.046440220969756 0.0196716456207433 -7.83641782175293e-05 0.190964268150186 -0.0268459746525367 -0.0167615807371886 0.0735721936971739 -0.0234272944662204 -0.181581890124583 0.00867792018924491 0.0553501891503097 0.00689170159136322 -0.0333482389168105 0.0086510798295632 -0.0898891707407412 -0.0167817983265185 0.151199030457596 -0.124490366210199 -0.0359092585119418 -0.0985311775592094 -0.0454512922250762 0.00643673166567027 0.00826298918154282 -0.03896098100366 0.0140514515079204 -0.0738616273366418 0.0318132033052371 0.0754505547401371 -0.038876872199505 -0.0581370674497959 -0.0909580666555633 -0.415894664502504 0.0642756510750232 -0.0631154909616054 -1.07732271843764 0.0200170214797893 0.0021405470541918 0.0075249022698529 0.00581403408098905 0.050539910402509 -0.00919144863932986 -0.0126105488683688 0.09287427752006 -0.00963148244961094 -0.0182653593817127 -0.0540048304560192 -0.0836415102715369 -0.123933915267302 -0.0426349211349018 0.00190793461538382 0.0847207804725729 0.138398243753211 -0.150618653309856 -0.152586098111812
"40" 0.0129900534058371 -0.0589133485101409 0.0296509621918388 -0.0462414367725569 0.0472577536832353 0.0771678994482298 0.0985010862570282 0.0931337042462625 -0.102735010237229 0.0607589879559892 0.076633104281494 0.0334451863088923 0.203881512161615 -0.0157335804893225 -0.0140965298838849 0.0650248614321484 -0.046759618255742 -0.117172530643838 -0.0269575858353335 0.0835803849416871 -0.00697524835047208 -0.0345106304714458 0.0411559065334222 -0.0555585378457766 -0.0169071984508952 0.239655470182955 -0.123866263131336 -0.0557589624817237 -0.066808217604426 0.048393522586663 -0.00434238799843821 0.0143941550087424 -0.0181863691170292 0.00460682540201286 0.000579490220982645 0.0578806337874908 0.121734955500661 -0.0247927812864076 -0.028728892298689 -0.0669049563809607 -0.177731895223016 0.0800067467487587 -0.0472714592365891 -1.12023411789718 0.0093111041843101 -0.00132932135102007 -0.00420558185678266 0.01798729391492 0.215964767622326 -0.0192399045314212 -0.0328176093401796 0.113173320642032 -0.0136828446773766 0.000956128473751702 -0.0651748769722909 -0.0765020782670238 -0.117478127046808 -0.0298218008490266 0.0268413965996612 0.0629862165367766 0.137686104983752 -0.140511199614951 -0.117079097619223
